p,Paper,Min Time,Time opt
500,6869093,11071241,2547103.5300798216
500,7194368,11821867,2849320.0245010094
500,6927028,11141405,2658518.9630830013
500,7943304,13011426,3361476.3688198314
500,7246183,11768322,2905712.2504670806
500,6786525,10739467,3351200.881228615
500,7254523,11976406,2972818.371188702
500,7828262,12866745,3095131.2823507753
500,7199536,11863754,3210127.8681118703
500,7856388,13023793,3666075.9834557706
500,8180674,13650897,3312491.6434867806
500,7647410,12680545,3466769.7614891455
500,7025892,11458008,2678546.2687065285
500,7545156,12509652,2884320.576185625
500,7397152,12154763,2855555.341572062
500,7060072,11661601,3211876.9008780825
500,7860233,13144601,3449115.5063979668
500,8092710,13497947,3433096.065092318
500,7357144,11844488,2709615.3784222496
500,8279684,13993516,3585994.1066697566
500,6898323,11319893,2984192.5739304777
500,7769757,12836925,3236066.5569386333
500,8673895,14383194,3448805.7306323815
500,7192003,11489031,3072250.2002753937
500,7124720,11543027,3321199.8735822258
500,7296731,11893635,2788239.340423356
500,7721553,12770992,3073658.263744339
500,8110156,13390545,3621389.36389113
500,7969085,13160770,3249280.9089484657
500,6994311,11234425,2815057.4192547267
1000,5265650,8645212,2531156.2613913054
1000,5953309,9553435,2834326.558760838
1000,5540457,9271000,2641459.5601339308
1000,6384249,9938736,3354949.241082998
1000,5961094,9679016,2889208.0328141972
1000,5413604,8721781,3329117.2800730695
1000,5804916,9810477,2954648.0060329004
1000,6419860,10463490,3076590.586060945
1000,5808453,9065336,3196001.1219723397
1000,6606187,10711597,3645161.4476170326
1000,6749533,11578849,3289652.4189181887
1000,6323617,10432733,3439715.143690093
1000,5776964,9007919,2659210.953797838
1000,6060840,10131942,2865172.794780374
1000,5953386,9580595,2840684.6507358407
1000,5778374,9290808,3197617.888400477
1000,6468520,10496867,3430038.531230058
1000,6607158,11015673,3419099.6194730117
1000,5804968,9212378,2689187.5762371724
1000,6895193,11516186,3568268.488653907
1000,5529441,9025834,2968604.7012269753
1000,6451148,10667656,3216285.834467035
1000,7244574,11795757,3432428.039784456
1000,5583827,9248639,3054705.392966854
1000,5746522,9426709,3304156.0978099704
1000,6012047,9864528,2776215.6944442764
1000,6318256,9998417,3054139.0915395864
1000,6668953,11347735,3607574.7529685763
1000,6488674,10310574,3233605.1278693182
1000,5573328,8922881,2806849.367633671
1500,4421586,6445432,2530387.6966619184
1500,4903205,6936345,2833546.0159696555
1500,4979636,7061524,2640271.093031301
1500,5446474,7850312,3354861.39268329
1500,5045091,7577832,2888507.7741282145
1500,4759890,6953694,3327395.5774612105
1500,4974326,8118290,2953893.9975096094
1500,5287052,8505629,3076084.667716298
1500,4881065,6934906,3195223.281512647
1500,5718602,8205414,3643897.7936968915
1500,5802008,8325857,3288467.0555668334
1500,5313069,8111920,3437401.5475101783
1500,4842426,7012450,2658192.0466264766
1500,5235158,7877723,2864360.2615199517
1500,4951973,7000298,2840260.459851173
1500,4941140,7157408,3197049.450735302
1500,5336254,8197901,3429092.271985058
1500,5562144,8195493,3418069.1244566618
1500,4779803,6882688,2688118.010895679
1500,5865093,8476581,3567757.22441211
1500,4454537,6842036,2967594.727706387
1500,5633891,8171395,3215244.6995527553
1500,6083156,9035564,3431089.872701989
1500,4857752,7090705,3053971.7112605283
1500,5166276,6992276,3302794.362042187
