n,Paper,Min Time,Time opt
100,1701019,2606403,1146373.0535937555
100,1008368,1743815,647384.3645777764
100,778631,1273210,384181.36098241596
100,1319834,2185662,1120564.1231308226
100,1490887,2463931,1073918.1197484932
100,1412594,2347410,969292.8704206579
100,1126294,1942282,792167.0185347272
100,1320996,1987722,923197.8878109042
100,878357,1309500,667190.3228845568
100,1344885,2399907,875773.8170781265
200,2369509,3860320,1708014.0209111753
200,2921752,5219372,1815841.9270388046
200,2115701,3792299,1440562.812218708
200,2802164,4924679,2085704.6201084722
200,2251031,3926746,1439959.4728242324
200,1833184,2839204,1170841.9436842096
200,1976728,3397214,1183569.903570774
200,1966091,3358879,1005007.1881227524
200,2957910,5009408,2100398.6370794415
200,2351262,4247493,1350017.1308358624
300,3642869,6148196,2310989.9063810613
300,3725687,6712197,1761462.3664118021
300,3365258,5697377,2111062.2881638
300,2776050,4695838,1922370.6643510184
300,4198486,7463762,2432510.58776345
300,3174101,5734550,1862439.1844325068
300,3764869,6826890,2150481.983904951
300,3242291,5790814,1747623.8271543845
300,3935254,6835838,2022314.7443085196
300,3902623,7076683,2107419.139755765
400,3942009,6611044,2458553.869983603
400,4672862,8045008,3160567.9504661364
400,4921742,8774801,2647465.198569733
400,3640059,6248931,2173121.4421500624
400,3966504,6796247,2431371.2974342145
400,5359621,9840693,2738194.4482743596
400,4208979,7459522,2322684.493580923
400,4933550,9038882,2523480.1371936416
400,4320483,7520470,2401866.113154801
400,4713453,8432498,2576851.3995875185
500,4940883,8732862,2282985.1722206073
500,5266469,9308307,2438794.3242341354
500,5072555,8887051,3126536.1247788626
500,5843402,10542539,3549863.429435884
500,5234893,9383096,2499766.3649432
500,4885804,8332544,3222917.548953929
500,5367622,9560579,3115974.4139731484
500,5786253,10477204,2898599.4703043927
500,5316491,9458910,2730150.1716028093
500,5924107,10706024,3073673.2979543903
600,6268999,11053133,3101571.722473453
600,7036842,12766320,3313259.180862771
600,6699870,12087567,3056819.4601988406
600,6372308,11373088,3125936.59055564
600,7306509,13099904,3720610.0881352387
600,6998112,12571491,3438576.894959554
600,6325480,10945472,3026840.0092641357
600,6391434,11334794,3403274.425599343
600,6571711,11736395,3257692.198350559
600,6351926,11365958,3390065.514837678
700,7538646,13539402,3356044.2580729076
700,7115338,12696230,3466094.697970861
700,7220118,12803999,3822563.698015707
700,9138807,16602724,4244784.3447157405
700,8357401,15047669,3710185.4394489424
700,7893527,14025425,3748088.488408955
700,9187748,16806591,4124086.524821029
700,7510326,13519075,3366651.5483856103
700,8265900,15003829,3881768.1508374703
700,8295029,14854650,4070819.9013207965
800,9850488,17878353,4457000.5816754205
800,8714257,15434429,4353948.757309563
800,8524558,15294163,3788190.8128024912
800,8022235,14182292,3708928.08880247
800,9854364,17909621,4982233.119846809
800,8969410,16090388,4337067.172446798
800,8572083,15243059,4057255.690345104
800,7593540,13239726,2915066.397146714
800,9264592,16580370,4165805.976885669
800,8846545,15902324,4201755.388980725
900,10744834,19397119,4295746.452018396
900,12447673,22921071,5166409.994987233
900,9729827,17516542,4039525.796563391
900,10241227,18478211,4766483.197147497
900,10812508,19621800,5322232.035904375
900,10087054,18198481,4749187.862620009
900,8498963,15031381,3709008.16161453
900,9566111,17239647,4102319.020547484
900,9382721,16818004,4018739.711924296
900,9679741,17286583,4866767.167141304
1000,11757353,20943923,5374343.613570095
1000,10691392,19136162,4967652.861359913
1000,12111179,22019973,4903647.455548828
1000,10357878,18438347,4196772.971651652
1000,12220687,22061950,4814467.088720228
1000,10346025,18453272,4985204.430284927
1000,11406786,20513876,4917380.6118413005
1000,12050303,21848481,5079302.342359702
1000,12920365,23520293,5125116.59588992
1000,9684392,17157181,4472505.47890256
