n,Paper,Min Time,Time opt
100,250362,310937,135264.95191661385
100,231710,295998,132074.59556803896
100,253723,294001,135657.59205852257
100,265289,315312,137265.97155590745
100,274947,318491,139215.89287995544
100,260108,286515,144551.16717179597
100,246188,319537,135780.7659983854
100,249634,309921,132581.37664140124
100,238038,298759,129562.18650004559
100,257045,317589,144803.15692082013
200,495425,620562,269115.41536577564
200,530589,656156,286299.98443799117
200,490850,638932,270786.0562738249
200,479729,608102,273913.5829820462
200,435293,539932,237157.02603838284
200,478433,588481,257738.01733123203
200,489285,584851,263256.4548820055
200,520519,646980,288877.2195751548
200,502678,614315,267404.74808868044
200,503767,620570,283601.9021258916
300,765744,941049,418786.3552329836
300,730893,880391,397626.57903151336
300,772560,945439,421388.39164478605
300,738920,877580,396805.2720480061
300,742905,930269,403542.7487819404
300,660958,819338,364297.22578645014
300,729807,882307,399115.47045688564
300,726738,893693,404387.397599672
300,745193,902927,402994.3076215725
300,761242,928740,412492.8426659085
400,967454,1183716,527019.572592095
400,900883,1114948,507521.7860540623
400,968939,1175812,527186.328555443
400,936430,1157572,520492.97119765717
400,992541,1190206,553652.1403919176
400,968687,1189400,546788.8911521651
400,937145,1136774,509607.5388928041
400,946299,1140155,517062.8064570028
400,971010,1162405,532846.2458092739
400,1013636,1229644,556610.2611466397
500,1210710,1459225,680994.575741888
500,1223800,1480195,665668.3560278681
500,1182311,1413239,651305.3816708077
500,1209468,1462903,695183.7690020413
500,1174227,1443099,661962.9561917708
500,1178873,1400440,656760.4495093515
500,1218057,1508737,688680.4760887198
500,1213921,1495388,682388.2379183229
500,1167891,1420423,654464.7830271883
500,1155385,1432477,671094.6253296196
600,1448699,1753622,810752.6431626381
600,1437373,1755778,815429.436989417
600,1368550,1644970,772065.0070346941
600,1511706,1815735,835802.8700134807
600,1496998,1861058,836158.0084916332
600,1476521,1786288,820026.635954944
600,1464601,1770658,808500.1381526012
600,1432292,1727037,796310.5517534814
600,1458441,1774925,808417.8742937929
600,1396831,1683883,776749.1510552632
700,1697626,2049587,950160.9664814121
700,1673215,2031260,942669.0211432279
700,1679280,2045730,943130.441858742
700,1639313,1987510,918673.9310559325
700,1733082,2043822,959848.6105146747
700,1685239,2075444,955614.8494181846
700,1691316,2056366,966037.9415197767
700,1559562,1867956,876164.5223701039
700,1624640,1975814,903611.3820643929
700,1650131,2008272,917312.0237686938
800,1987418,2406305,1089101.3585835067
800,1994567,2382795,1095096.4500514562
800,1970561,2324068,1091462.301144986
800,1837732,2214739,1036905.8603255189
800,1868803,2257324,1047139.8979693472
800,1887211,2282267,1071427.358158738
800,1903654,2308545,1067057.608011531
800,1946361,2314090,1092902.44475554
800,1888632,2302123,1063715.965358084
800,1952222,2332142,1077381.0639859766
900,2158271,2561066,1200420.4190975963
900,2179266,2622679,1234367.3352328413
900,2139598,2598237,1211849.0721664052
900,2130496,2614555,1209444.9745925602
900,2119906,2573295,1188119.1878513996
900,2064649,2520921,1177485.9993456504
900,2163910,2579916,1200844.1283749081
900,2101423,2511270,1168644.0656474705
900,2098064,2521267,1187154.0541903009
900,2136962,2585238,1213624.7074727179
1000,2432414,2913954,1364616.3845054149
1000,2324258,2789245,1310236.572839959
1000,2330504,2809867,1315742.6001533493
1000,2308104,2788073,1288360.9693238875
1000,2354979,2889821,1345047.1341998023
1000,2373657,2864022,1343462.4150484968
1000,2363526,2818376,1339714.0408837418
1000,2426633,2934793,1356490.9992859592
1000,2389443,2920222,1374270.2114800527
1000,2293648,2723610,1275217.8093126304
