n,Paper,Min Time,Time opt
100,1767040,2500529,1218816.8176072675
100,947494,1425667,682580.1619917236
100,724164,914840,433472.3172052692
100,1324960,1814325,1175153.9658848704
100,1556401,2222491,1108020.2284871612
100,1391359,1903152,1026270.0201393154
100,1047805,1301600,881459.5239089222
100,1311149,1769607,986673.4701493568
100,873536,1039778,742043.4038608936
100,1252478,2019542,928309.5222869414
100,1169901,1497608,277847.91784541594
100,1020318,1396980,293240.4956081472
100,1097210,1379754,276866.1924655077
100,774176,1088329,374164.7376562559
100,900934,1140378,468877.5277383715
100,1361690,1807663,419272.1471809935
100,1003792,1284295,554534.1149623462
100,716976,1030137,310866.7181758101
100,849097,1103595,346329.0921191839
100,1171913,1536591,348634.16320835793
100,859461,1022375,308954.8177704141
100,676490,882570,220240.24074521742
100,895794,1303092,276926.6401543128
100,1341269,1715240,497196.487964037
100,928114,1139351,273801.79772255325
100,750654,834401,325293.2405584997
100,1078627,1550118,399098.63952748064
100,976468,1258267,346207.35698636284
100,993579,1437669,538221.8679525758
100,862349,1114474,263107.75001302385
200,2461794,3611818,1787461.6755415578
200,2963047,4452943,1898772.1570215698
200,2101626,3201216,1546474.047168135
200,2778025,4047513,2168420.352597087
200,2036683,2735241,1525311.4199652907
200,1775962,2580506,1271163.4295726877
200,1905568,2813381,1254715.2336169665
200,1900141,2897556,1080146.3738569096
200,2872696,3890478,2218481.479519921
200,2053621,3176906,1428274.4892200988
200,2527143,3419185,579398.0854749092
200,2233133,2822514,577338.0677222233
200,2025098,2693148,436232.7407920073
200,1541081,2086347,275103.0933530278
200,1931160,2334633,274813.14197433466
200,2516251,3644992,618414.0172864294
200,1893933,2710265,346854.30105900543
200,2221472,3013703,498652.0719920035
200,1953518,2297766,363030.37162253854
200,2800509,4179786,627918.0453305551
200,2227956,3098293,382465.437110444
200,2627939,3764936,339392.26702974975
200,1492284,1990121,309417.663642821
200,1854435,2221483,339333.1634482129
200,2260230,2972571,282944.4362034914
200,2297651,3092500,598634.4106290016
200,1600871,2148453,436181.13251337304
200,2016150,2716795,535072.6683889343
200,1478730,1909702,352717.1215911636
200,1882202,2297933,312119.99117721705
300,3800896,5244926,2405586.347655423
300,3376772,4446476,1849496.997790707
300,3142865,4324239,2218610.3479320128
300,2736908,3750524,2048241.0775102729
300,3886329,5971602,2562769.282102758
300,2946186,4247382,1959408.837848736
300,3576403,5228015,2233813.5620175744
300,2876585,4448887,1847126.326500581
300,3553741,5271029,2104359.1781436615
300,3812832,5410607,2239526.555231482
300,3331877,4579191,401745.9560372975
300,2604140,3473283,698154.7529948053
300,3182948,4369220,567329.2069270281
300,3963853,5430387,620641.5510865152
300,3679738,4793486,645823.2793782689
300,3126488,4634157,536555.1360754876
300,2982016,4299943,405752.0831622696
300,2737573,3643074,376298.8265818693
300,2803221,4150697,406096.2341519055
300,3024955,4308034,399201.3501598062
300,2368633,3368398,403636.3996061459
300,2817690,3675225,373336.02781377715
300,3834531,4909577,477299.615418385
300,2668051,3447941,601402.3301782494
300,2634937,3467247,374889.3366793485
300,2282502,2930846,396928.31808078784
300,2203037,3380708,404377.68814419676
300,3070298,4054475,590954.9073343312
300,2552557,3221385,387084.7091068771
300,2891023,3926034,494301.15721315856
400,3960251,5692537,2567276.309721305
400,4474041,6386847,3306466.023723311
400,4943576,6958962,2783845.887059375
400,3503822,4897299,2298247.792528914
400,3784929,5364682,2572427.4961290755
400,4882877,7562657,2845410.5559152565
400,3882060,5653326,2446922.693131174
400,4507118,6735559,2659578.146086288
400,3931654,5463754,2516183.655308592
400,4352207,6623857,2676564.9104476743
400,3935485,5299158,593403.4579344614
400,3549519,4343331,566321.4874333469
400,4000546,5485821,581740.3639238977
400,4018105,5041108,516509.1977299856
400,3986921,5146343,594168.1046822491
400,3907073,5411409,534979.2803977546
400,4053454,5578769,560664.1812581917
400,3638638,5165142,508991.3310337156
400,4575168,6760535,518731.0345094204
400,4189375,5251986,539336.6001922236
400,4219475,5216236,604275.6434633114
400,4395345,5587707,545268.1116362872
400,4090459,5357065,542453.3439180889
400,3863873,5207392,643105.8430634844
400,4642683,6749991,532359.6959723688
400,4118195,5303914,541917.0660935827
400,3762461,5174867,592512.2195834038
400,3920053,5552162,539424.443066224
400,4263097,5775302,727864.7261948644
400,3969192,5832251,606748.0543698508
500,4407079,6401893,2436794.786857616
500,4922891,7042866,2576822.5545886937
500,4939511,6983347,3239000.320481847
500,5416487,8080514,3717236.234059817
500,5115947,7453545,2627516.7146240585
500,4625134,6700164,3341801.0130078397
500,4921601,7957089,3272292.2891452042
500,5250907,8298686,3025493.9419644517
500,4795209,7017886,2885393.1218928313
500,5523639,8084459,3180859.0830482217
500,5504079,7475287,695949.7503037443
500,5107963,7112279,689580.9764586004
500,4635319,6071023,648486.2089159007
500,5030933,6735520,654292.812703227
500,4870505,6022208,680483.9164037626
500,4619954,5709005,708446.0548684844
500,5227909,7123521,704820.8410827803
500,5329903,7019980,676624.4427130695
500,4584085,5731210,705587.8103228756
500,5623418,7388682,664365.370392963
500,4365386,5835024,640319.276471287
500,5435623,7023360,690307.7181537312
500,5721579,8056652,685089.6095134421
500,4547332,6287185,662003.7117180271
500,4613185,6026284,662512.3984567322
500,4846231,6401009,668547.9561378651
500,5082876,6973029,680043.2235309207
500,5543909,7497594,693004.7815155316
500,5094648,6441599,669099.2209609596
500,4676154,5831392,708630.5724702912
600,5371154,7458353,3254374.1517503792
600,6567871,9594448,3451701.033255329
600,6036236,8581168,3195094.262407901
600,5919532,9218363,3274360.885318499
600,6984887,10340102,3860237.514267894
600,6788501,9720372,3587267.995616929
600,5817474,8158948,3189547.7558371047
600,5920333,8759437,3547833.6257980797
600,6176742,8965605,3409397.913620103
600,5711826,7865318,3519466.9188120803
600,5960524,8487394,805607.5029466652
600,7136220,9150073,812931.9803677327
600,6383635,8369811,803710.4793955043
600,5204745,7544863,812768.4995630041
600,6230451,7915434,817400.1528878827
600,6968112,9103002,795006.6458947838
600,5531216,7254668,783448.1000541326
600,5558686,7411752,789298.9137192363
600,5061738,6627339,795624.9866965152
600,6158072,8167552,780614.165207067
600,5362430,6779451,819492.0931064385
600,6690149,9628292,775567.3257960264
600,6181090,7766237,795413.0333719507
600,6840276,9245317,796575.7391405118
600,6165026,8161098,786063.0910167503
600,5459392,7267075,754566.8258117366
600,6377055,8951475,803613.5496523128
600,5354324,6563838,804209.9389278324
600,5510255,7312900,787480.8989238718
600,5764517,7548425,794706.8778904192
700,7083425,10326505,3521064.42396931
700,6535858,9608044,3628119.591568967
700,6533292,9489820,3989171.1324369423
700,8590417,11823652,4423499.039045854
700,7483377,10282476,3868329.0622480502
700,7400718,11144737,3910269.5675324304
700,8219443,12902093,4286664.280678416
700,7030811,10057693,3504385.357195935
700,7903694,11150013,4024159.2762051933
700,7687652,11082374,4214737.595693875
700,7999129,10338176,952095.4546467185
700,6411856,8532491,962256.3678389275
700,6446717,7931451,920479.3401797042
700,7958652,10341382,964494.3570188988
700,7245497,9500542,918568.9310448653
700,5938512,7580798,953177.5717235516
700,6528778,8218504,915995.1048247466
700,7089525,9106906,910660.5712032485
700,6712171,8359864,929237.8674711693
700,7528212,9529086,959173.9116160651
700,6948523,9262593,922841.9076816961
700,6626669,9152969,929415.9048598892
700,6352702,8545885,922311.6994032844
700,8011312,10539151,940578.4523945717
700,6940375,9793843,938944.4955239854
700,6634768,8410368,907594.7244623161
700,7580935,9021392,955114.0559169108
700,6311064,7951044,897603.1734579015
700,6227580,8294257,910541.6114805706
700,6556688,9292091,930934.0413376777
800,9147552,13392690,4656155.874029316
800,8202409,12268337,4506851.87800163
800,8141061,10943942,3967181.6312809153
800,7412474,11390723,3836558.363888434
800,8727973,13099561,5158788.189123293
800,8355674,12879464,4498457.007667056
800,7881977,11550828,4267749.61160483
800,7301130,10392409,3053200.2539929817
800,8665318,12797370,4340017.007549289
800,8249377,12493995,4400291.486950671
800,9099109,11897111,1087658.5992467455
800,7862337,10610197,1071028.2456838442
800,8092471,10294777,1071315.7550936139
800,8735298,11926079,1051820.6820644764
800,7689287,9392732,1073443.971159189
800,8472374,11118502,1070285.5394161742
800,7083507,9420220,1061089.4329431092
800,7869127,10364454,1022765.9780034719
800,7384024,9634407,1066627.9589584807
800,8722562,12059213,1101176.699978575
800,7705068,9854087,1067316.9036839926
800,8560005,11829386,1090307.7171985866
800,8654352,11003041,1042137.0788991381
800,7461622,9737846,1075494.4056706573
800,6637963,8918811,1029810.2706698014
800,7588948,9993219,1099217.2335141522
800,7778429,10772096,1040609.1048369225
800,8570968,10889423,1101937.7848855555
800,7186556,9479059,1053338.7516629393
800,7932387,11516463,1101459.2277214269
900,9894816,14241084,4461120.556734006
900,11223713,15756499,5339477.80126936
900,8903545,13392357,4216048.101618573
900,9579770,14095094,4941968.054000866
900,9816210,14306548,5523081.151652654
900,8653524,11997820,4953761.031162996
900,8056844,10850133,3897411.405630652
900,8473293,12379399,4284848.622973644
900,8162187,11639867,4170808.471157755
900,9026489,13277783,5038102.464684132
900,10545272,13773024,1204863.7766133305
900,9533930,12962118,1234871.0117607177
900,9217442,13260168,1187896.5889687599
