density,Paper,Min Time,Time opt
0,825404,776916,680994.5757418879
0,837925,786340,665668.3560278681
0,811976,750470,651305.3816708076
0,818676,848924,695183.7690020413
0,805677,788277,661962.9561917708
0,801841,756643,656760.4495093515
0,839487,808652,688680.4760887198
0,836188,795532,682388.2379183229
0,796727,804709,654464.7830271883
0,808783,839399,671094.6253296195
0,855803,803074,687968.1991749884
0,855686,826439,689580.9764586003
0,810725,751853,648486.2089159007
0,806418,792381,654292.8127032269
0,835332,769972,680483.9164037625
0,792298,779381,648587.8302313235
0,824891,813036,677632.4893569171
0,833801,752814,676624.4427130694
0,865627,827923,705587.8103228756
0,810552,787775,664365.3703929629
0,806878,749034,640319.2764712868
0,856592,806325,690307.7181537312
0,840094,781419,685089.6095134421
0,771712,732511,630414.4107754434
0,823765,795603,662512.398456732
0,831134,802852,668547.956137865
0,827995,819696,680043.2235309207
0,849978,827176,693004.7815155316
0,815191,787461,669099.2209609594
0,869948,794849,708630.5724702912
0.1,827905,822993,680994.5757418879
0.1,836411,796194,665668.3560278681
0.1,801477,752126,651305.3816708076
0.1,820986,879619,695183.7690020413
0.1,812169,811240,661962.9561917708
0.1,805804,763953,656760.4495093515
0.1,838813,815337,688680.4760887198
0.1,835574,818074,682388.2379183229
0.1,801054,810102,654464.7830271883
0.1,813528,848437,671094.6253296195
0.1,852793,788575,687968.1991749884
0.1,854876,838528,689580.9764586003
0.1,809356,733561,648486.2089159007
0.1,812173,796871,654292.8127032269
0.1,842648,792746,680483.9164037625
0.1,801913,804271,648587.8302313235
0.1,834194,850487,677632.4893569171
0.1,829048,779446,676624.4427130694
0.1,864035,874339,705587.8103228756
0.1,813361,787813,664365.3703929629
0.1,808129,741820,640319.2764712868
0.1,864330,817290,690307.7181537312
0.1,846878,816787,685089.6095134421
0.1,768120,758452,630414.4107754434
0.1,816064,810135,662512.398456732
0.1,828134,819369,668547.956137865
0.1,833383,870108,680043.2235309207
0.1,851809,843910,693004.7815155316
0.1,820929,796171,669099.2209609594
0.1,874064,840344,708630.5724702912
0.2,829983,823954,680994.5757418879
0.2,837698,817725,665668.3560278681
0.2,806634,748321,651305.3816708076
0.2,821782,845383,695183.7690020413
0.2,810463,790768,661962.9561917708
0.2,805342,776362,656760.4495093515
0.2,845428,826516,688680.4760887198
0.2,837721,824357,682388.2379183229
0.2,801227,775939,654464.7830271883
0.2,807254,900863,671094.6253296195
0.2,855581,829879,687968.1991749884
0.2,860856,839676,689580.9764586003
0.2,814540,754877,648486.2089159007
0.2,812878,787755,654292.8127032269
0.2,843970,799093,680483.9164037625
0.2,796504,812263,648587.8302313235
0.2,837435,828514,677632.4893569171
0.2,831672,784801,676624.4427130694
0.2,860100,832634,705587.8103228756
0.2,811610,805646,664365.3703929629
0.2,813314,738722,640319.2764712868
0.2,859890,817697,690307.7181537312
0.2,845763,810363,685089.6095134421
0.2,773913,731386,630414.4107754434
0.2,826320,853895,662512.398456732
0.2,830534,815955,668547.956137865
0.2,834079,848321,680043.2235309207
0.2,846643,856432,693004.7815155316
0.2,818604,834347,669099.2209609594
0.2,874346,840319,708630.5724702912
0.3,831536,851770,680994.5757418879
0.3,833668,809957,665668.3560278681
0.3,814327,766934,651305.3816708076
0.3,833516,881364,695183.7690020413
0.3,804061,828971,661962.9561917708
0.3,803406,776201,656760.4495093515
0.3,842007,826302,688680.4760887198
0.3,841389,821631,682388.2379183229
0.3,797211,794623,654464.7830271883
0.3,811166,861871,671094.6253296195
0.3,858783,830224,687968.1991749884
0.3,861711,840762,689580.9764586003
0.3,814602,743984,648486.2089159007
0.3,811728,791134,654292.8127032269
0.3,837271,814135,680483.9164037625
0.3,802111,820382,648587.8302313235
0.3,835619,857577,677632.4893569171
0.3,827728,809199,676624.4427130694
0.3,860002,841520,705587.8103228756
0.3,816726,828707,664365.3703929629
0.3,809099,762424,640319.2764712868
0.3,862412,831712,690307.7181537312
0.3,850813,819545,685089.6095134421
0.3,773022,769434,630414.4107754434
0.3,822092,842263,662512.398456732
0.3,830426,855363,668547.956137865
0.3,835304,871094,680043.2235309207
0.3,848344,850488,693004.7815155316
0.3,819933,830465,669099.2209609594
0.3,872272,846107,708630.5724702912
0.4,830248,815819,680994.5757418879
0.4,835697,836655,665668.3560278681
0.4,813348,775440,651305.3816708076
0.4,836332,878264,695183.7690020413
0.4,812244,836135,661962.9561917708
0.4,807812,781847,656760.4495093515
0.4,843984,843284,688680.4760887198
0.4,839003,826617,682388.2379183229
0.4,796733,831760,654464.7830271883
0.4,811287,894864,671094.6253296195
0.4,859782,822394,687968.1991749884
0.4,857914,856760,689580.9764586003
0.4,816006,761744,648486.2089159007
0.4,811144,807366,654292.8127032269
0.4,837615,771980,680483.9164037625
0.4,794668,802974,648587.8302313235
0.4,830976,861150,677632.4893569171
0.4,830498,801232,676624.4427130694
0.4,866721,831407,705587.8103228756
0.4,802436,800159,664365.3703929629
0.4,810160,751600,640319.2764712868
0.4,859501,809402,690307.7181537312
0.4,847923,822884,685089.6095134421
0.4,769464,752428,630414.4107754434
0.4,818308,827473,662512.398456732
0.4,832226,833374,668547.956137865
0.4,836223,862165,680043.2235309207
0.4,855414,851666,693004.7815155316
0.4,817265,843529,669099.2209609594
0.4,869012,837664,708630.5724702912
0.5,832854,847493,680994.5757418879
0.5,837248,816531,665668.3560278681
0.5,812520,798575,651305.3816708076
0.5,826347,896621,695183.7690020413
0.5,824533,783224,661962.9561917708
0.5,804280,785529,656760.4495093515
0.5,837877,816191,688680.4760887198
0.5,841178,837495,682388.2379183229
0.5,801839,811501,654464.7830271883
0.5,806767,889150,671094.6253296195
