P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,72921.22563227217,25339.817846041748,2.8777328264679283
256,400,128350.89413814241,48679.56019676214,2.6366485978786534
8192,800,161914.43262222016,62137.90128877687,2.605727410550066
128,1000,214265.35051881726,125295.95783362567,1.7100739259548154
2048,600,238433.40556463666,95460.11175339336,2.497728121045919
256,900,184477.3423612458,77030.62312975689,2.39485719920111
256,100,56053.02130586526,26193.65899088914,2.139946210850573
4096,300,46930.34979662219,20887.76340872541,2.2467867372060555
256,200,70724.98976751458,25775.82693292296,2.7438494971107574
2048,400,74452.51588144165,34397.99854935305,2.164443253133457
8192,1000,156250.41566122137,71441.52524391812,2.187109179538732
1024,500,177499.64219176845,69330.81468246617,2.56018399617419
256,600,195823.59310418623,65997.13135384436,2.9671531032807446
8192,900,118770.26975659779,50985.945546331204,2.3294707685409226
8192,700,163593.94144014793,54661.38833726035,2.9928610746359854
256,1000,142823.15814297038,62174.13220982782,2.297147592843997
8192,900,445526.31226426427,200725.03795784948,2.219585143921213
2048,700,100318.73182886268,45736.33575987692,2.193414276901238
1024,600,167911.2440845411,69645.19944005155,2.410952160874691
4096,1000,117214.0933783967,51207.743830232605,2.288991558913293
2048,200,71346.08764085188,33208.183834406,2.148448948506854
512,800,139872.8570206364,58281.74602729851,2.3999428046497018
128,200,86854.8191280202,36920.89002320384,2.352457350660673
2048,800,189263.35361120277,69914.3129245496,2.7070759290083095
512,100,78220.94795822336,34744.80913128068,2.2512988246005703
1024,100,39805.250023824934,17424.209760559108,2.2844795012699426
512,900,155011.90231948622,65527.226447374065,2.365610612925586
256,800,213052.71056211172,88988.07431158595,2.3941714910710568
1024,100,47362.79665192331,17010.884101954263,2.784264260931748
1024,700,334438.8670594112,122698.14519501191,2.725704341560065
256,300,136172.33005330077,58817.967607809784,2.3151485097424542
1024,600,128257.86115202992,56839.82740281852,2.256478722974975
8192,200,110130.19803391577,48832.439654252754,2.2552671710376995
1024,300,110737.46565043264,51334.02512144949,2.15719428563107
4096,900,195832.02215068822,68798.33552250691,2.846464535273867
512,900,157494.59503870588,70503.79592528375,2.2338456103216124
4096,100,78162.30380516456,34460.69141352587,2.2681583160135244
8192,700,58013.37159119581,24919.342184621364,2.3280458673984574
1024,400,182157.8700721276,71121.47502380062,2.561221768968781
256,700,122078.1456375337,46686.09352875527,2.6148717189700688
256,400,169671.1128756983,59315.77823058138,2.8604718329097323
512,500,307790.8257150628,104189.08387589059,2.9541561770684286
256,900,142412.34852529163,57244.69321120439,2.487782544311331
8192,500,212787.15713037527,87191.89492611904,2.4404465267176243
8192,300,99402.13434016862,37997.38137569971,2.616025913926237
1024,800,170511.6265868679,76586.05734526525,2.2264055951877433
4096,800,189136.79929426778,69744.6297416748,2.7118474927002456
4096,800,176626.42844777042,49156.66889863417,3.5931325780433028
8192,500,203946.25368809386,93303.02350633578,2.1858482825505092
4096,700,329365.6061467651,121247.84298185878,2.716465695773616
4096,800,94883.49275439138,43369.83132383738,2.1877763841391866
4096,100,55252.317670547054,25235.008428580157,2.1895105692919246
8192,600,102786.10495748995,37566.49697046091,2.736110983100505
8192,800,275779.97425115656,84971.24391877686,3.245568283250882
512,300,104184.0092260713,47234.241688785194,2.2056881935887556
256,100,123014.7898093055,56270.53628076332,2.1861314631074418
128,600,148163.1175940556,74899.47399565695,1.9781596544008686
2048,900,359615.85475256364,156586.64072292217,2.2965934583710674
8192,1000,102532.68381397071,45312.78094590863,2.2627762338481805
4096,300,97926.1183064392,41796.45799396132,2.3429286357372052
256,500,206067.21189193116,95166.34282014595,2.1653370906705516
256,700,127439.75424564084,47967.297444383694,2.656804969956928
128,500,124020.41646846486,56182.17500713485,2.2074691208148294
2048,700,112375.54813707738,48971.50074361899,2.2947131786995514
128,800,217562.77500709213,93497.3020055607,2.3269417442029794
512,300,69180.33848017163,28600.5958497807,2.4188425599077887
4096,200,132111.35010255568,50831.013653404065,2.5990304069749435
4096,500,534745.2417786621,237564.50729901434,2.250947533612824
8192,1000,264717.3722634096,112393.23827909636,2.3552784519479717
128,900,211747.13618174667,109443.21737422631,1.9347670989761376
4096,300,63886.41034747577,27866.80417099782,2.2925632216544263
4096,400,176630.2647369925,56915.493482307924,3.103377550295645
128,900,201421.90891286387,109318.34627419793,1.8425261246419427
1024,400,92987.24322682474,44207.66491546582,2.1034190203132317
8192,600,72252.46728883023,32734.27780938007,2.20724183101196
128,400,176103.5558015286,81480.70461614145,2.16129151841726
4096,700,152563.54908616573,53915.74341202593,2.829666057282563
8192,500,124515.78845492625,54509.002824173345,2.2843160212739515
256,900,148927.56314297207,64837.41435415292,2.296938652264949
8192,1000,331894.3731834242,124535.58998606945,2.665056416567745
8192,600,72921.1629194601,25325.579367516788,2.8793482613468098
4096,900,101883.47145297422,44998.63267930536,2.26414593925717
8192,700,416975.51558448834,185768.68163866145,2.244595331712302
128,300,92613.0931046587,38152.527144095155,2.427443213784395
4096,700,237453.59693146215,86344.15596057125,2.7500830170821806
256,100,33691.94885522659,14891.07425106187,2.262559993133071
2048,500,85643.83660290431,38078.8838745444,2.249116252594707
512,600,108943.10528629417,50523.437090590436,2.156288478374008
512,500,76631.97929712365,33156.78306802833,2.3112006716663833
512,400,121807.90314088433,57470.31142497088,2.119492658394726
8192,1000,342587.23272171547,150569.03775101455,2.2752834038046252
128,600,120027.83333561929,72849.63176490327,1.6476107075320185
2048,800,185510.21706529107,41519.7534269463,4.467999006585984
8192,200,60161.972615069004,26972.824218293383,2.2304661954629963
512,400,244157.70734608322,109009.50865491609,2.239783578137174
1024,300,102240.34459094169,35788.66352580134,2.8567801789310443
