P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,26311.905315335473,18779.00655706,1.4011340395130467
256,400,67712.94367646948,43244.960742362484,1.5657996333926214
8192,800,63688.88342576532,46379.37991347244,1.3732155010391753
128,1000,142259.8843849836,119404.61005167404,1.1914103176034712
2048,600,135835.11043713512,111680.57587899217,1.216282324549569
256,900,68265.89712480338,51518.201495127876,1.3250830802247502
256,100,16901.420604002433,12924.548421892341,1.3076991204871682
4096,300,27321.76964327617,17279.41691731119,1.58117428232802
256,200,32918.05583726339,22891.533499154106,1.4380013395991922
2048,400,44346.732391734964,21733.26502109654,2.040500235408139
8192,1000,74968.40772486074,60202.342442558154,1.2452739325947586
1024,500,106123.44476016363,53664.96732667876,1.977518109983194
256,600,112269.24784506646,58028.72573355824,1.9347184765103453
8192,900,58633.5599332251,52575.017380802,1.1152361493015008
8192,700,66254.04998543378,35360.41439156067,1.873678550589791
256,1000,74917.84476065292,58863.710166351215,1.2727339909246644
8192,900,197907.04034927528,149649.57060028278,1.3224698176908856
2048,700,46654.91638661552,41611.35817859911,1.1212062866674304
1024,600,78784.77683410239,43965.34404781527,1.7919745322228946
4096,1000,39814.24783088457,33915.21825046568,1.1739345899782876
2048,200,18624.273560654892,12441.910416424595,1.4968982203945904
512,800,74620.63725940385,54149.74440156318,1.378042280422098
128,200,46967.56734402438,38939.521911435,1.206167026160428
2048,800,116291.53577161103,71810.48771496736,1.619422726011824
512,100,64928.62265555584,60573.79424177784,1.0718929442721696
1024,100,12504.265281730371,9640.921141579869,1.2969990209546807
512,900,63785.54679697764,46304.128599874144,1.3775347625730074
256,800,140950.00011528603,86969.02217444926,1.6206920187346423
1024,100,35530.40019466879,20829.72320776272,1.7057547928158496
1024,700,180499.16617966557,101971.47650017287,1.770094661514091
256,300,54566.98768692519,35896.699653227304,1.5201115482497938
1024,600,95292.42601515098,86765.25402755744,1.098278649479724
8192,200,28171.90420878504,18018.92824454402,1.5634617012982033
1024,300,25906.17089814542,18573.116360380285,1.3948209011067108
4096,900,83322.49196925854,52757.84825268096,1.5793383302933397
512,900,61230.66003158325,53309.00486140186,1.1485988191071455
4096,100,64316.93535500334,60573.79424177784,1.061794727572866
8192,700,44606.98214111769,41694.171098573366,1.0698613490998024
1024,400,95890.66932643522,63377.543120814065,1.51300704641773
256,700,52777.43132889436,38261.990551516115,1.379369723533714
256,400,40621.5681658579,22632.151942540644,1.7948610573572261
512,500,146488.7843171453,62904.27191045394,2.328757330276016
256,900,68795.50076479172,47728.093563071816,1.4414047498855094
8192,500,111081.4665724097,84889.56492633495,1.308540886842846
8192,300,44933.09739227682,23136.448596413335,1.942091380404962
1024,800,82422.64420967517,66116.18200423285,1.2466334520707558
4096,800,116291.53577161103,71810.48771496736,1.619422726011824
4096,800,86472.77921701131,64362.85987349461,1.343519840277045
8192,500,87236.05098029424,66624.56129320196,1.3093677359672968
4096,700,179981.19651843447,101971.47650017287,1.7650151071229154
4096,800,59909.93839829212,43948.578664085064,1.3631826152150568
4096,100,10872.921501722207,8321.239576006265,1.306646852600368
8192,600,68290.09244366261,60947.46333963169,1.1204747285890124
8192,800,107699.72354132429,62102.16000225037,1.7342347438063606
512,300,57543.06822106546,51521.92639179481,1.1168656191828563
256,100,29674.2369153671,17954.53769414384,1.6527430235670075
128,600,84635.02590074882,70900.57950763027,1.1937141626838248
2048,900,170107.57950554893,129752.604791726,1.31101475595499
8192,1000,39281.05348686829,28498.849543516073,1.3783382177195758
4096,300,25310.23120452996,18481.458954016285,1.369493137284472
256,500,88919.08519446486,66627.75825410518,1.33456516509748
256,700,94719.61408423075,61827.216222082076,1.5320051568228443
128,500,70342.39646986386,53535.80791606614,1.3139317254751666
2048,700,95501.6204577139,69714.60276884174,1.3698940632908176
128,800,131204.1662437013,89245.39881899078,1.470150483721991
512,300,33559.66669113272,25000.830378077444,1.3423420815878295
4096,200,71116.63435319507,53640.79281597229,1.3257938710409796
4096,500,231225.9186313989,173165.7012270452,1.3352870516097664
8192,1000,106809.46137644161,71753.33995595953,1.488564315500835
128,900,129168.89175423281,103084.41806074536,1.253039927703879
4096,300,25342.623281104592,19028.50780282153,1.3318239950137767
4096,400,65675.12420335886,45126.38541333707,1.455359732489202
128,900,124556.24502851676,103160.92321660006,1.2073975410921283
1024,400,35089.947729697364,26611.894241008282,1.3185813610977233
8192,600,35917.73035396271,18661.250273283804,1.9247226111845237
128,400,59518.95675847684,46532.57276323225,1.279081581440212
4096,700,55521.08187106739,36793.786558940206,1.508979832291189
8192,500,40392.32999132913,27177.07231873392,1.4862649485421413
256,900,62308.025407299414,51088.94408718974,1.2195990056275756
8192,1000,175542.2957271158,94799.79607328854,1.85171596351754
8192,600,26311.905315335473,18779.00655706,1.4011340395130467
4096,900,57078.30577093578,40761.55353335776,1.4002976045607534
8192,700,138837.8520914533,103650.17673083996,1.3394849528524118
128,300,51681.625322703054,32755.432020731212,1.5778031958178198
4096,700,119996.71481474923,80356.03512507299,1.493313036512766
256,100,20189.32116231277,14135.174116163842,1.4283036767991344
2048,500,39405.275035590814,36276.16196639806,1.086258107241091
512,600,40480.82316316118,30580.976963775065,1.3237256354207734
512,500,38578.77168311655,35496.811911768345,1.0868235654235314
512,400,46814.785215528216,34415.68964887445,1.360274505411786
8192,1000,197975.8232248997,146820.54879419197,1.3484204006239988
128,600,81895.25886456553,69365.62215019029,1.1806317931849022
2048,800,60207.380380783274,42695.059714644456,1.4101720616667055
8192,200,21702.256789148072,16319.454371522042,1.3298396070777456
512,400,97520.72718289618,68462.06472805722,1.4244491101789705
1024,300,33974.68103534212,16760.521743464207,2.0270658369325885
1024,800,104399.71596548121,75591.86163784155,1.3810972994111095
1024,100,20077.938597554315,17347.873752067557,1.1573717266164323
2048,200,36929.581125134304,27814.232772578187,1.3277224443718203
256,100,29808.292959173763,18702.315368100946,1.593829019160665
