P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,55263.255929607636,32086.250269673834,1.722334503568946
256,400,90485.73949242996,69344.18366491112,1.3048785739504882
8192,800,93960.9413785944,68639.61815064191,1.3689024489090298
128,1000,237379.75759576028,125295.95783362567,1.8945523997746614
2048,600,227628.0015701968,191374.78812730435,1.189435681667621
256,900,138627.72068078414,79309.82918527524,1.7479261032946711
256,100,33048.78195276409,27744.76099020595,1.1911719825025882
4096,300,28460.23067923891,24265.13520631133,1.172885724198909
256,200,46066.91368652174,32996.77807816611,1.3961033885609608
2048,400,63531.99967840824,49006.50439213838,1.2963993344646725
8192,1000,116305.15148596518,97895.23348711745,1.1880573480757914
1024,500,154757.7718149169,103433.70181766388,1.4962025828653862
256,600,173947.30483489233,107515.86756387605,1.6178756566471346
8192,900,83245.98875880853,76055.59330000391,1.0945413104653836
8192,700,118912.22919671808,80626.46962808013,1.4748534785814806
256,1000,146385.81267816087,66688.81108753479,2.1950580658278183
8192,900,344911.70315699483,294265.0674249581,1.172112293773886
2048,700,62893.27364324453,53921.858220267735,1.1663780833800101
1024,600,130024.59918117781,87981.12037524463,1.4778693272672054
4096,1000,72993.74951330938,57823.110280004155,1.2623629057628085
2048,200,50505.854575200385,43211.18708703341,1.1688143274905753
512,800,105622.93428136077,76745.1936743743,1.3762807704872457
128,200,69099.69069147407,55080.46923257345,1.2545225495393917
2048,800,147781.63650593863,91530.45019922058,1.6145625437685989
512,100,87087.91808758794,81541.92332472774,1.0680140293082634
1024,100,30745.51976855672,26126.125239736124,1.1768113138260088
512,900,99308.64807687882,83768.9354752691,1.1855068649666376
256,800,201225.89224276153,140690.70674223357,1.4302713868047978
1024,100,39197.965182462765,26128.92828146623,1.5001750075706957
1024,700,313328.28090414894,209079.4040392636,1.4986090205485192
256,300,97272.59222997648,73378.01257741736,1.3256367788286603
1024,600,130749.20559451853,121589.27436436518,1.0753350266957256
8192,200,81714.28978444537,66804.37457564907,1.2231877074444033
1024,300,72755.69998833358,60661.299768006524,1.1993758832497978
4096,900,140013.78004915267,83867.31024046338,1.6694678730927077
512,900,94952.39816702972,83934.36071927342,1.1312696892349867
4096,100,87087.91808758794,81541.92332472774,1.0680140293082634
8192,700,51279.17114335454,48366.36010081021,1.0602239043102095
1024,400,127784.74974897955,93715.09953214714,1.3635449397900439
256,700,109834.16373518737,54206.33391376397,2.026223797202756
256,400,105785.90469142358,62094.6152682652,1.703624448503311
512,500,270285.6125981832,150411.49619722992,1.796974429692303
256,900,119385.40493953315,65851.69814960258,1.8129434516375285
8192,500,175202.56970444234,145171.26830844925,1.2068680789657689
8192,300,69830.16542146963,49207.11959862682,1.4191069501946283
1024,800,129819.26320645821,113583.42103934956,1.142942007016006
4096,800,147781.63650593863,91530.45019922058,1.6145625437685989
4096,800,135069.08703645229,80495.74766274964,1.677965494554405
8192,500,148053.14188238123,126547.99516819877,1.1699366843828645
4096,700,312978.00704571255,209079.4040392636,1.4969337055645018
4096,800,90593.5611922292,76289.52886222344,1.1874966662310684
4096,100,32241.509959059542,27021.11397775278,1.1931969194758165
8192,600,84748.51496859308,71516.09563181561,1.1850271497608256
8192,800,211548.25164145732,111382.24810651336,1.8992995314581596
512,300,70374.91379253494,64288.232254330745,1.0946780044304945
256,100,82652.17157898031,66621.99147149005,1.2406139437358332
128,600,144271.08034907488,74899.47399565695,1.9261961753889012
2048,900,289742.7431204119,246837.67939689083,1.173818939751633
8192,1000,65442.632514826146,55350.7803146872,1.1823253826371278
