P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4912.609276278944,4118.24998149955,1.1928875853452077
256,400,30418.36158328808,23531.7252532983,1.2926532693995534
8192,800,15294.904281553452,14795.02099803586,1.0337872642143566
128,1000,141330.49872213235,119404.61005167401,1.1836268186041528
2048,600,93269.36608568268,91443.0979502153,1.0199716345618741
256,900,65258.02852276482,51518.201495127876,1.2666984993436996
256,100,5107.942744532565,4679.130547151785,1.0916435634910422
4096,300,1232.3931553985615,942.5154884959478,1.3075574570824253
256,200,15639.022429235463,11080.525409985707,1.4113971901676852
2048,400,16957.712730136493,16659.391108001237,1.017907114383789
8192,1000,31785.267802615333,31785.267802615333,1.0
1024,500,16908.40135617617,10972.920970408175,1.5409207267394733
256,600,46183.028064085105,34696.429261633115,1.3310599691926723
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,79820.59416905146,58863.7101663512,1.3560238378361689
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23647.258871703652,16874.141147700775,1.401390367943305
4096,1000,26346.974403284567,25339.795717781904,1.039746914170894
2048,200,6293.3725623613,5118.145442873633,1.2296197192137284
512,800,29502.326067259663,21229.958775728857,1.389655362919884
128,200,36644.20984964802,28092.671302858154,1.3044046062618413
2048,800,30223.46578302431,26497.37844693629,1.1406209804320788
512,100,54230.1079450288,52844.49103612885,1.0262206500948723
1024,100,7044.777168189238,6901.431727873591,1.0207703917053474
512,900,34752.433332611814,24134.145646769488,1.4399694872672508
256,800,70871.23190850075,46337.580997070676,1.5294547186867828
1024,100,18163.773528485857,16558.912626923186,1.096918254097997
1024,700,30750.4307028421,15601.0663687365,1.9710467205282787
256,300,22213.34842038836,17275.812740351696,1.2858062746017094
1024,600,73851.33511952183,70364.7320429823,1.049550434931092
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5632.642384064726,3799.3333703103463,1.4825343909225388
4096,900,16019.196667703854,12984.521812166118,1.2337147951566714
512,900,53848.92129192745,39234.60108057627,1.3724855053664924
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31674.479787837503,31347.334171878083,1.010436154288772
1024,400,19267.01608699366,16121.07512688779,1.1951446125859722
256,700,50462.46438873634,38261.990551516115,1.3188666784283858
256,400,25713.935167442312,22632.15194254064,1.1361683693501978
512,500,26739.46845144847,16731.4559896685,1.5981555023041518
256,900,60672.6680795619,47728.093563071816,1.2712149920546074
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44666.31223855533,40846.09768688062,1.093527038518094
4096,800,29719.045568229856,26497.37844693629,1.121584372119879
4096,800,35341.62799195702,29394.111289795015,1.2023370138163303
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.58127043795,15601.0663687365,1.6277465059264797
4096,800,13016.705062099529,12582.997544262242,1.0344677423890187
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41829.32953763832,37353.09082643066,1.1198358318460842
256,100,5824.190945617026,4829.618848163767,1.2059317989102591
128,600,78269.96459763014,70900.57950763027,1.103939701779261
2048,900,36735.636434698215,35054.15888407378,1.0479679902229342
8192,1000,8609.967138213582,7701.877971338275,1.1179049019284213
4096,300,7813.220397755444,7534.510577709549,1.036991098117301
256,500,34322.644703568534,27381.290499521965,1.2535071969733405
256,700,92486.23506901771,52807.571677195476,1.7513820865381156
128,500,70112.84268577848,53535.80791606614,1.3096438704297122
2048,700,73824.07305378297,69459.09380371566,1.0628424445386848
128,800,98315.11045199962,89245.39881899078,1.101626658102612
512,300,12323.380518376991,8874.280036111113,1.3886625696091222
4096,200,5917.549620729871,5846.530584549667,1.01214721023916
4096,500,31281.94741052828,31281.94741052828,1.0
8192,1000,18419.55274783386,11706.78763223605,1.5734079515642192
128,900,120972.81920930822,103084.41806074536,1.173531572327659
4096,300,11458.67666812596,11243.031887069747,1.0191803050300177
4096,400,16081.464921686897,16058.873985478984,1.0014067571753997
128,900,139791.86996610722,103160.92321660006,1.3550854878702048
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6244.269533910665,6143.604662733954,1.0163853106934642
128,400,51772.755452677186,46532.572763232245,1.1126132164689908
4096,700,8877.501466387926,7645.6808588148915,1.1611132651649774
8192,500,12395.199388157413,12395.199388157413,1.0
256,900,60869.08302064487,51088.94408718973,1.1914335695950986
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4384.308135357808,4118.24998149955,1.0646046634015598
4096,900,22644.2219387643,21576.530603346437,1.0494839209808953
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,50857.740586115135,32755.432020731212,1.5526505818615612
4096,700,37410.918406244986,37261.21500737222,1.0040176735740673
256,100,6225.874085099891,5731.651529726247,1.0862269021084834
2048,500,31911.61991525825,28634.316507153108,1.1144536977960149
512,600,31684.953328783427,17725.14487690757,1.78757090838015
512,500,24995.547779787677,24995.547779787677,1.0
512,400,15349.015427829498,10699.281702643733,1.4345837276194757
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,77754.05665239345,69365.62215019029,1.1209307181595018
2048,800,13689.39045823276,9344.456009563955,1.4649745736104711
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,16778.87448787317,9893.49469570031,1.6959502181939037
1024,300,6646.566292133135,3874.652043565825,1.7153969485260745
1024,800,57338.15704974907,54042.00044115176,1.0609924980883454
1024,100,9866.528455680853,8256.468069310878,1.1950059484096518
2048,200,7946.911105914817,7479.733511501313,1.0624591228678324
256,100,6803.375829667124,5741.098881538105,1.185030247701364
1024,700,15276.270153740987,9298.972325300192,1.6427912267442772
4096,800,10859.059463003972,8113.94962465907,1.3383198029726795
4096,800,17613.110545891,17329.60230789093,1.016359765963641
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.59980583012,16443.27112892882,1.0774984896198274
8192,1000,25632.921499828837,25339.795717781904,1.011567803675751
4096,900,15830.909961993264,15123.145179145105,1.046800105035305
512,700,35035.4711407802,23042.05276203695,1.5205012983262962
1024,200,10066.273751463033,7925.6844354705545,1.2700825819423873
4096,700,120982.29393795501,119281.29786603454,1.0142603752839012
2048,700,8964.527361082299,8384.147776288468,1.0692234440851847
8192,300,1216.6279492027497,1134.6245423979938,1.072273605708761
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,88536.88206841434,55694.48421872097,1.5896885178201152
2048,100,6624.709264264336,6527.528362389177,1.014887855935656
4096,700,53100.82231579502,51410.44753159222,1.0328799857881814
1024,800,89280.84913764478,83688.43623733887,1.0668242011888707
1024,400,42588.54300286079,40694.6858930326,1.0465381921071035
256,100,5778.740776471379,5063.0781886625155,1.1413493059244886
128,900,119490.18165095351,96720.06020199122,1.2354229453684058
512,900,40612.72541940341,27287.43887670948,1.4883304220267957
4096,1000,55420.91730641427,55420.91730641427,1.0
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,17023.99254954028,13699.604154479855,1.2426630986978793
128,800,85652.07293676861,79920.49096406845,1.0717160505842867
128,100,11741.005706771024,9931.189861419074,1.182235549879352
2048,200,3930.8477721357453,3631.3880687245173,1.082464252716568
4096,500,88420.50917743571,88189.90415189893,1.002614868762524
128,400,69068.62031728613,48772.789542903934,1.4161302022007285
1024,700,16949.14868242899,10218.636013742087,1.6586507885823183
128,300,42016.731584933674,36726.85726982461,1.1440328606459695
4096,500,27627.052090761845,25343.09726656832,1.0901213770428304
256,500,59053.76383865385,40962.13789004808,1.4416670340099902
512,500,91996.46789985034,81134.30977008452,1.1338787272677442
128,800,110430.92336633203,97370.5352483193,1.1341308033760467
128,400,90896.14420026333,56129.50996388722,1.6194002808637449
2048,600,8628.287092785537,7161.983183316524,1.204734341304332
4096,100,1609.8572306473563,1609.8572306473563,1.0
256,900,76618.67757551305,54102.139652541075,1.416185719595924
2048,500,28597.931349750186,26754.332671641892,1.0689084157222282
1024,500,31472.533788940753,29622.079368073526,1.0624687550753655
128,200,25615.315362024157,22418.17440326771,1.1426137963442031
8192,200,13392.711084435161,13392.711084435161,1.0
2048,800,85062.60295655385,83688.43623733887,1.0164200310221816
512,800,53989.8500395436,41317.49187667394,1.3067068591843523
512,800,43984.12153128109,29827.20615276463,1.4746309562487898
1024,600,21969.820376725325,17584.595758729552,1.2493787561661067
128,200,27089.779752121183,24735.736732623263,1.0951676938084984
2048,600,18098.193354712253,14204.411019232688,1.2741248708029786
8192,500,13638.724541750804,13172.843391400284,1.0353667872992907
512,300,12811.680362215442,7439.888445540946,1.7220258685322154
512,600,25700.0186654338,15899.34500755958,1.6164199627855327
4096,300,8964.445714442161,8964.445714442161,1.0
2048,200,4044.299791256767,3331.151264730722,1.214084702209911
512,800,36166.79068024168,23329.424969424435,1.5502649862841413
128,500,79922.88082767253,58552.39607217396,1.3649805334892955
4096,600,20811.81844442922,19273.016075016418,1.0798423227284881
8192,400,16058.873985478984,16058.873985478984,1.0
256,100,9666.797538945611,6271.106141717587,1.5414820480614577
2048,1000,25433.04828346078,19519.021354171116,1.3029878815120957
2048,500,11709.245742499574,8999.368116979864,1.30111865525389
2048,1000,16873.67283696316,11945.840872571735,1.4125144489163572
1024,600,10902.324713640768,7574.492106364061,1.4393472935935432
1024,800,34153.20071089675,30245.172080792294,1.1292116513559636
128,200,24968.66632957225,20554.7935583826,1.2147369059510498
512,100,2250.9693016391557,1647.1095834763269,1.366617815973328
4096,900,18016.840914575085,17795.006342265573,1.012466113697449
8192,900,29296.69464195967,29139.288958476114,1.0054018368021218
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65845.20954012003,64026.0449036331,1.0284128847756409
128,200,27851.708367314637,22869.25446081218,1.2178669145091803
4096,200,27366.490666336336,27366.490666336336,1.0
8192,600,11572.508574473477,6739.31208828464,1.717164663525626
4096,800,26351.918884989693,25954.7004250599,1.015304297619489
2048,500,36111.76258800367,29096.494408489692,1.2411035529237875
128,300,45932.22727202487,42868.394179046576,1.071470675579349
128,100,18276.891485649438,14368.875755705378,1.2719778357323692
128,400,53561.42428249049,47063.4505065966,1.138068367405044
4096,1000,13272.310403258642,11369.665935842593,1.167343920054679
2048,800,25724.552545208047,23176.40263872809,1.1099458766832935
2048,100,1124.4054100821252,779.9525417109743,1.4416331122090171
128,900,118950.9900703682,102028.33792508653,1.165862274044952
8192,700,15204.112281650303,13342.922112172426,1.139488948060332
1024,700,27734.76812020733,23892.917564519732,1.1607945344185437
512,700,63133.66998572014,46034.918306536856,1.3714300428497839
8192,1000,104842.27980968643,104842.27980968643,1.0
8192,1000,17224.156146148565,17013.83585258804,1.0123617210946898
1024,100,28623.963174177145,27862.279139187787,1.0273374633562573
8192,1000,44207.63257224421,44093.542638006584,1.0025874522075549
4096,900,11517.73406831423,11517.73406831423,1.0
8192,600,34044.58840001379,34044.58840001379,1.0
8192,1000,14363.139390056509,14355.924063056385,1.000502602756077
2048,100,8997.565870495497,8264.118251157186,1.088750862106264
512,800,44988.39633539333,21523.445853670353,2.090204172754315
2048,200,37921.96464896097,37184.08459662799,1.0198439751936208
2048,600,9940.464161723858,8424.948334473913,1.1798842873669182
1024,100,29415.724612706654,28456.760375258575,1.033698995416282
256,700,50802.16673099087,41979.70873698172,1.2101600573097133
128,1000,160940.0254632132,111804.66682439692,1.4394750240255128
1024,800,18579.678065711672,11723.473347553632,1.5848270828021067
1024,800,15097.898221154635,11709.843963234125,1.2893338518052095
1024,1000,26238.576297677977,18902.043005270345,1.3881344090880563
8192,600,6861.169541913843,5902.922290422559,1.1623343836062405
4096,200,6547.7260505282475,6514.510751938798,1.005098663561122
1024,700,125762.04079963206,119281.29786603454,1.0543315930455088
8192,800,29077.02614515899,28906.407718974442,1.0059024430791708
128,1000,151742.42269946312,109237.63657662571,1.389103860673716
2048,1000,21988.057367613786,19174.55975050672,1.146730754380565
1024,1000,32866.01116465799,21242.000587215385,1.5472182589260721
2048,900,52271.94673565745,50700.94643714276,1.030985620760795
512,600,27082.271373605574,16673.63804033263,1.6242568843161296
1024,700,20131.885743214716,16689.36111657461,1.206270605722663
1024,100,5261.098179217404,4381.662305208172,1.2007082729684369
4096,100,3011.031258518044,3011.031258518044,1.0
128,700,99506.03003131016,83214.36890509089,1.19577942296
128,300,37995.12662113157,34512.68583773152,1.1009032099029747
2048,1000,63187.478500993195,63187.478500993195,1.0
256,500,51181.754650044495,29342.10076145894,1.7443111884228855
128,500,61795.12772230438,56026.38095969651,1.1029648294926941
2048,400,15700.001904133478,13737.181606839427,1.1428837700097674
128,900,119236.5043636,103152.02937065497,1.1559297969325342
128,300,33746.824701733676,30815.596408708312,1.09512158240095
4096,200,12035.600289961603,11947.194373851893,1.0073997219215918
128,500,53122.072182043186,51649.5387557624,1.0285100982845952
256,200,17086.478469607777,11434.62723040609,1.4942750756380334
1024,300,4829.8100604953415,3530.140474026971,1.3681637022749369
2048,200,5150.905433946013,4697.6054528301665,1.096495967076747
4096,500,19875.375878528313,19728.656110545275,1.0074368860788554
8192,100,1349.367237235119,1186.6338026590806,1.1371387147503935
4096,700,8193.784043168767,7625.546039991353,1.074517680464763
1024,500,25387.91875366655,23184.603529300133,1.0950335519683103
2048,1000,84080.0238383467,83498.62870766157,1.0069629302862044
8192,1000,29314.382451789344,29314.382451789344,1.0
2048,1000,17903.427132563236,16073.252104701176,1.1138646377186334
8192,400,18304.526709376718,17342.848385000725,1.0554510022245087
128,700,79405.95843392758,75809.96321061932,1.0474343354226103
128,1000,157622.7238482858,118000.69589745268,1.3357779176596234
2048,900,22315.93730599385,20389.69610220296,1.094471305218854
4096,200,3453.5901764664063,2985.4729818217315,1.1567983356389413
2048,300,6614.698486004888,6322.060306833952,1.046288419434184
128,100,16622.774606969062,14446.766271911081,1.1506225195384245
128,1000,135603.44228654873,110076.46947736123,1.2319021760998383
4096,300,3880.032858217108,3786.839985685401,1.0246096673965586
256,200,14432.448422534804,11209.087201633854,1.287566789598274
4096,400,20712.283029273585,20712.283029273585,1.0
2048,200,5182.102769809821,4909.981711961932,1.0554220104700054
256,1000,74967.68571107066,58726.96709569049,1.2765461834410303
4096,600,14144.029713297,13993.535659909896,1.0107545410284162
256,500,35182.18162531057,27143.751524606912,1.2961429297426517
256,400,33720.00433032681,25877.93205935572,1.3030409173725273
512,500,28153.8691383865,19824.47658957861,1.420156996890728
2048,900,17847.286276698775,12984.521812166118,1.3745047014343177
8192,300,21585.589847035804,21585.589847035804,1.0
512,900,43461.76364915274,26610.781636185853,1.6332388970511333
2048,600,11523.16813489051,9821.146266439977,1.1733017534080052
256,700,51347.0966321681,42748.97540272856,1.2011304633254611
128,300,30470.366115321223,26988.128761182234,1.1290284845219647
128,300,37170.70012675437,33300.69501494735,1.1162139441855472
1024,700,14230.178790519485,9933.76849404138,1.4325055792326187
256,800,48120.41464939921,40732.385089797965,1.1813797434968198
1024,1000,17476.23870149415,14103.20000120165,1.239168323501411
4096,900,18872.133199252108,17976.093377004225,1.0498461931330494
512,600,18450.202931872373,14713.168401077037,1.253992507183006
2048,700,31187.793751437774,30411.41910911961,1.025529050108857
256,400,32799.461135067795,23558.171020774545,1.3922753640825474
2048,500,10279.523421040916,9178.81822404002,1.1199179643974282
128,800,119543.27868798269,92351.37447544445,1.2944396265565963
512,200,8356.53153132462,5266.246438150616,1.5868098140616527
128,900,109003.58492410021,94518.05570423095,1.153256741391273
512,300,12354.889910104675,7641.144258583433,1.6168900222275229
8192,400,22086.96327863959,20320.559616571347,1.0869269200946488
8192,500,11171.392958725457,11124.079955775882,1.0042532059404166
128,400,66502.76030200254,48720.513203685616,1.3649848067891808
512,400,108678.93589768694,104413.74225631413,1.040848968241198
8192,700,4280.411000743759,4280.411000743759,1.0
8192,400,10255.768893568642,10151.979392012567,1.0102235729160103
1024,600,17918.51455047259,12133.41732730136,1.4767904265646747
512,700,33617.25778394996,18464.180240983344,1.8206742647221694
4096,400,25560.220144811537,22260.07004728407,1.1482542548391539
8192,300,6377.7381355497455,4271.608920895634,1.4930529113635518
512,200,6107.666796794082,5669.957595651662,1.077197967314271
2048,500,39628.04022904148,39239.447684927094,1.0099031094228081
128,400,44856.4144172169,42797.12681057493,1.0481174265682978
2048,400,9551.238260880977,7285.308736360246,1.3110272476458964
4096,400,15665.754420776666,15665.754420776666,1.0
8192,800,10041.67978790421,9310.762513902644,1.0785024076073442
1024,900,24050.309934822915,17795.006342265573,1.351520166514363
512,700,50789.97887246914,37288.50469268564,1.3620814052764068
256,1000,75688.94446911619,60619.60441274142,1.2485885581465028
256,700,55834.67408333582,38598.26405198254,1.4465592029771077
256,500,42979.23280141452,33462.911979337,1.2843841213805227
8192,700,61588.71727987532,60842.37006297865,1.0122668991382835
128,500,65340.552900408235,55659.95529531376,1.1739239198761902
2048,900,19297.111163749923,16854.48258083057,1.1449245665777648
128,200,22929.769288191597,20296.955769157692,1.129714699533149
4096,400,21938.721961451156,20318.28143673186,1.0797528339079814
2048,400,8765.25506933938,3854.8376035280567,2.2738325114700477
2048,100,1414.9488886332415,833.252174483342,1.698104045765714
256,300,17306.853296210542,15498.608174263303,1.116671452146908
1024,800,26113.50851367955,20928.70695834475,1.2477363539780226
128,900,135163.70405949003,110304.68081578685,1.2253668934069872
1024,900,31147.12577328182,25912.067192668957,1.202031684376535
2048,400,5286.204827301491,4622.8071793391655,1.143505368540411
8192,900,8018.615255762397,8018.615255762397,1.0
256,500,41404.824001849665,31929.322741510005,1.2967648683641182
512,100,2423.1451197397037,1880.7124121824588,1.2884187417723174
2048,400,7764.900013564391,6270.369001678258,1.2383481755995736
128,700,104970.96346097674,87986.34911151881,1.1930369258523352
2048,400,52747.66756914114,35997.117371588596,1.4653303214432727
4096,1000,41409.604432376575,41409.604432376575,1.0
4096,800,29092.660685901,28906.407718974442,1.006443310726718
128,1000,128219.38473616375,110945.0778071714,1.155701426962051
128,1000,140952.1767180591,115948.15552755487,1.2156482876052486
128,600,75742.26215036563,64016.28039679616,1.1831718694195847
1024,400,6167.027778995129,4582.440601708277,1.3457954646910506
512,600,29287.958966238533,17345.047578477173,1.6885487822230523
128,700,108514.57804555068,78380.15232667144,1.3844650058000079
256,1000,138607.60100367188,108923.44647423936,1.2725230929637623
4096,700,12552.905146383477,9768.22412478058,1.285075463669856
8192,700,7686.334721090266,7484.086791654446,1.027023728487669
512,400,15896.895643063028,11152.828387449783,1.4253689818227382
256,400,31610.138608853475,27652.24575428372,1.1431309735107726
8192,600,52870.9532638953,49839.7359731086,1.0608192886981227
8192,900,27118.45129601455,27118.45129601455,1.0
4096,800,27585.779897521978,25342.891830072942,1.0885016628129047
512,500,17137.617129367176,13426.13210540065,1.2764373979661339
8192,800,20700.19327233675,20700.19327233675,1.0
2048,200,5626.213421085174,5109.555861150387,1.1011159431415756
1024,200,8696.957680049964,7513.109726671892,1.1575709654785629
8192,500,4973.900071915745,4177.777927367603,1.190561144797319
256,500,54184.64716158667,38661.03354732119,1.4015312626152259
1024,100,2345.5991432427527,1605.9517178483497,1.4605664150260886
1024,300,7198.806114875018,4541.790968760858,1.5850148464316216
512,900,56609.00058837667,36599.28152353617,1.5467243681265357
256,100,7957.837590094966,6870.079496840111,1.1583326792295736
128,700,122366.00143883025,92417.89181801837,1.3240509930672646
128,1000,162905.86491610855,122239.77769759363,1.3326747478150516
2048,700,7274.432048596178,4738.122700663707,1.5352983677643446
2048,800,55975.4990491701,32885.676260377506,1.7021240069985273
8192,1000,29105.038324566023,25799.344373669304,1.128130928562297
2048,700,18980.55490505888,18294.09667899773,1.0375234830178433
256,1000,70639.94640320922,58569.06192039527,1.206096599245865
4096,700,22215.068738908314,19438.269366218312,1.1428521912303464
128,200,32305.268051378072,17653.47852746701,1.829966145262214
8192,800,9484.748672635813,7004.310606132063,1.3541302215141917
2048,1000,33129.129269077515,31785.267802615333,1.042279381592991
1024,700,58262.4199149777,57560.291887936895,1.012198131802524
512,900,31971.5599044439,24328.171597373002,1.3141784937054721
128,300,36013.80307289765,34119.012930735975,1.0555347291555075
4096,900,35973.42708454127,35716.06923739481,1.0072056598791952
4096,200,3715.101130495427,2658.4430022282727,1.39747255343879
256,900,131227.05976262057,100564.3077226307,1.3049069071758708
1024,500,10687.784241300948,6456.1923444703,1.655431509944865
256,900,73783.9779977654,55083.88253782221,1.3394839760451371
1024,700,58957.75673214191,54656.13334591356,1.0787033974577709
128,700,88594.0303383429,78479.10754470208,1.1288868223670778
1024,900,42151.540340098516,42072.74163946224,1.0018729157541368
256,300,20048.96365762091,17059.506465367984,1.1752370268343775
1024,700,26165.925682811587,13605.432722820518,1.9231968740636405
1024,800,59721.590462831286,45529.77511399946,1.3117040511027724
256,300,16063.786131017156,14027.682915642352,1.1451489335494127
1024,800,44058.64203375423,40477.23944572463,1.0884794179907415
2048,700,5513.806032467513,4808.2961358245575,1.1467276300614064
1024,200,4201.9439356937555,3631.3880687245173,1.1571178447941641
8192,900,14696.611108058005,14696.611108058005,1.0
256,300,23545.616067275405,17617.037379123205,1.3365252942687043
512,100,5558.9397369796425,4060.884206636101,1.3688988540711136
2048,700,21076.9834134145,17584.11362731247,1.1986378079743947
1024,800,47201.977252825636,34870.55437275946,1.3536342654104565
128,700,83554.22301071767,74769.90115136474,1.1174847328147444
128,100,13867.32784807328,10273.213847784484,1.3498529334190685
1024,900,34160.82234221933,27913.73453249737,1.223799785816873
2048,300,20017.534954203646,18791.97786543751,1.0652170355638932
2048,900,30585.86732130393,29139.288958476114,1.0496435710867622
512,800,50071.82185400043,38986.0263058235,1.284353051557886
512,400,13301.877417147703,11033.377357211606,1.2056034146655346
1024,500,10859.430322071928,7026.026575761607,1.5456005190095354
2048,400,48319.172750729915,47152.81646231672,1.0247356653519375
512,800,53779.120331428785,29394.111289795015,1.8295882396723355
