P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,36871.646692123046,25339.81784604174,1.4550872826373793
256,400,73944.23421627752,48334.52807370665,1.5298428920939897
8192,800,67249.44550528488,40507.42758459579,1.660175664446749
128,1000,203627.82412105516,122342.327095179,1.6644102573154282
2048,600,185555.92688832319,151129.24419825306,1.2277963002640893
256,900,123435.33985526899,54809.75617591053,2.2520687641650214
256,100,37905.372032428226,26277.440229121807,1.4425062601957643
4096,300,17695.724882922976,14461.995710341227,1.2236018622429428
256,200,44095.88635955341,28639.31993050193,1.5396973973739394
2048,400,60623.21313648518,48402.57713588221,1.252479035698772
8192,1000,109876.66168399135,86941.7558164661,1.26379621221293
1024,500,101526.87638100426,61945.54745447425,1.6389697170021718
256,600,129731.78219609254,87906.4422511642,1.4757937970624038
8192,900,66454.78840834022,51759.85633102995,1.2839059672679323
8192,700,87688.76379335762,61004.81435234271,1.437407272267032
256,1000,110215.64818234087,60266.79191353534,1.8287956714282563
8192,900,238209.18592239276,198921.3860550627,1.19750415300472
2048,700,60353.345453710936,50318.98468300632,1.1994150087470548
1024,600,111580.75994450205,69227.82344495451,1.6117906701663653
4096,1000,74811.94196616647,51562.0110470629,1.4509120270325055
2048,200,48498.574411007845,37687.22034705516,1.286870561542952
512,800,75142.78692510011,59751.971053248635,1.2575783794334714
128,200,66679.03732943595,38616.9468705205,1.726678122768363
2048,800,115017.18097584088,74910.56325865745,1.535393354054754
512,100,33256.206308993584,25554.08998787344,1.3014044454243974
1024,100,23570.716714296927,16270.879577503554,1.4486442851489278
512,900,79096.04056774087,54814.08894506958,1.4429874160091354
256,800,148734.4423930812,105351.1225342505,1.4117974143533822
1024,100,30974.980885291665,17524.646577519117,1.7675095898953443
1024,700,149212.2292264339,90035.56093891147,1.6572588394009498
256,300,87392.6583203299,59520.11230056764,1.4682878600599756
1024,600,100254.24438206009,93962.56722509673,1.0669594003523872
8192,200,59019.30212229176,39439.94833382917,1.4964345699121675
1024,300,53166.32994231305,42559.26499070512,1.2492304543775485
4096,900,133173.41842682697,80527.65400433389,1.6537600663203198
512,900,93537.10102337511,77438.96240069586,1.207881641535716
4096,100,32879.20856663691,25509.78330366942,1.2888862353412247
8192,700,38974.93938032736,36383.636776576175,1.0712216488874875
1024,400,102246.71341804013,70446.65442750564,1.4514062342486242
256,700,75254.63985803285,45533.305579283064,1.652738339565501
256,400,78326.89751765598,36205.24077560651,2.1634132473558685
512,500,112057.17834551467,49051.18395225835,2.284494874875604
256,900,84028.96457445015,57524.791285656356,1.4607434933084673
8192,500,136140.0777179064,106590.45867809009,1.2772257424002462
8192,300,46564.9131335795,29931.832451898452,1.5556987100075153
1024,800,88968.28996761514,75099.1938804778,1.1846770300785165
4096,800,114986.78391095517,74875.55183262887,1.5357053283291708
4096,800,87135.90427334739,65871.74785380425,1.3228114800708919
8192,500,112111.9677240933,91384.73058369043,1.2268129151119047
4096,700,147849.06242302508,89704.13083446011,1.648185663778021
4096,800,54885.815080109125,47862.461864898854,1.1467403251223278
4096,100,35758.07884280574,25513.346625527105,1.4015440376225823
8192,600,66184.53035453871,40316.599781882396,1.6416198467282683
8192,800,118634.0463975817,83138.40291443179,1.4269464199316284
512,300,73308.97170048306,55298.68456635139,1.325691058935075
256,100,60101.388724106015,42169.020106715,1.4252498296619291
128,600,136011.04889848555,72905.33051695603,1.865584422072576
2048,900,174048.39066150726,138680.36028229067,1.2550327263876675
8192,1000,53358.84366288467,44746.27273079294,1.192475717115201
4096,300,47107.789322677876,35747.129315540355,1.3178062189793434
256,500,118861.86168379485,91652.47215266107,1.296875674949743
256,700,97306.53319050993,58575.713811607675,1.6612095160029812
128,500,104722.69443938027,55089.93942571088,1.9009404535759105
2048,700,74471.3113728024,61770.21371425966,1.2056184833242805
128,800,156350.12907143382,91299.30067015364,1.712500839807043
512,300,34099.648059265586,29315.379910080832,1.1631999368201795
4096,200,68639.97918239166,48449.352805894276,1.416736761322455
4096,500,285565.9047057519,230387.8143086843,1.2395009066023668
8192,1000,151189.86603299837,100649.75660009484,1.5021384168241088
128,900,194129.5180609902,106125.13242222022,1.8292511267608447
4096,300,28917.071648082183,24857.044966350284,1.1633350499718722
4096,400,102552.04867716829,65844.558400574,1.5574870751395957
128,900,180737.50871803192,106193.97181152053,1.701956388247873
1024,400,64371.575480830754,48012.334238965144,1.3407299707704905
8192,600,43976.69246968156,30879.271782953714,1.4241492732985375
128,400,133411.64399228065,100412.82389322805,1.3286315315077806
4096,700,68931.65957349088,46902.72070590232,1.469672942977408
8192,500,51486.20107974467,40213.293904934864,1.2803278736991606
256,900,119375.95769843191,68784.06403433165,1.7355176576779285
8192,1000,197423.97286645466,132362.96275782728,1.4915348580377707
8192,600,36828.495177539815,25325.579367516777,1.454201487085305
4096,900,61669.616615483195,47239.60737156168,1.3054642078293057
8192,700,200201.36282023985,154802.27547094636,1.293271447148812
128,300,86126.73257109744,37575.37625782499,2.292105659305587
4096,700,104962.78189167086,74294.70133872438,1.4127896068001482
256,100,21002.85492173173,14887.022202248138,1.4108163900340003
2048,500,52305.895646146484,42220.82558082555,1.2388648238536821
512,600,58206.131576482985,39911.47243417489,1.4583809623280894
512,500,47071.77984140589,40359.055700854355,1.1663251040932912
512,400,73918.5891201679,58094.73530829689,1.2723801688379688
8192,1000,210325.3906080737,170835.76031156772,1.2311555275340795
128,600,120692.00321363786,71185.27915940297,1.6954629473795562
2048,800,95946.44409243816,49405.80358577192,1.9420075604249294
8192,200,37550.23935895609,28474.386928972886,1.3187374131222631
512,400,93506.16971047613,72462.01273500008,1.2904164013831132
1024,300,41190.72506336415,24245.008504041936,1.6989363009089957
1024,800,137806.8646556082,113988.88034982161,1.2089500680477896
1024,100,14937.620750559881,14288.78959877594,1.0454084054705042
2048,200,66037.70789754794,54506.84394617546,1.2115489196688585
256,100,18387.113037128314,13225.770345359979,1.390248927434242
1024,700,131822.60707457343,48889.00339843507,2.696365192807204
4096,800,66702.05690250878,45625.20765580448,1.461956237124608
4096,800,160902.68489135333,125129.19990328405,1.28589238175997
8192,1000,95506.43764122158,75235.44555575492,1.2694340670906825
8192,700,138293.6205819724,105666.13632389191,1.308779003313507
8192,1000,74752.7999179394,51551.25276057881,1.4500675718806737
4096,900,80193.67383334177,55775.094322595265,1.4378043606616404
512,700,130687.41765237875,104086.64753350454,1.2555637130143102
1024,200,33594.15098236868,31346.100459060614,1.0717170713545092
4096,700,154911.65818441202,143908.0617433905,1.0764626825468788
2048,700,141077.82375802044,97418.28555385975,1.4481657417387273
8192,300,26736.209772441238,23095.471423504423,1.157638624567395
8192,500,143218.2763806804,82818.48977503512,1.729303163698262
8192,700,87541.21927385172,53786.429754195684,1.6275707399415733
256,1000,142923.50715439417,110364.33073667888,1.295015393111014
2048,100,77898.97776320491,66048.07099842197,1.1794285069289319
4096,700,112124.6727055326,72916.51693433772,1.5377129547548514
1024,800,134955.1964911017,121702.61525635065,1.1088931507908537
1024,400,330624.50728167,262665.24196528335,1.258729570794787
256,100,12942.705389580091,11573.58773801483,1.1182967358573028
128,900,162679.70938948,99628.06363260541,1.6328703324937412
512,900,141874.69732038188,90295.3145125921,1.5712298925610009
4096,1000,129647.47089180427,110350.43973567909,1.1748704509229606
8192,300,51005.444314431574,24730.1845315877,2.062477303769515
512,500,180271.47506109125,136998.6611845978,1.3158630420350301
128,800,145807.9662828744,82488.191480104,1.76762229437462
128,100,35167.057676689394,19727.62006951477,1.7826305227275385
2048,200,41763.33487822074,31247.49127757285,1.3365340118742712
4096,500,44356.54470555554,36770.09553853634,1.20632117093817
128,400,94115.043713118,50049.2365588324,1.88044913737069
1024,700,187814.03203768414,100915.9176950425,1.8610942290119066
128,300,86624.35787298344,46677.0896737702,1.8558217420667784
4096,500,156043.58327416662,86313.15153707848,1.8078772527166187
256,500,87793.83319578102,49468.92113219278,1.7747270647195825
512,500,175436.0692698925,146854.52670932093,1.194624865852075
128,800,178013.77731201766,100181.89320467891,1.7769057023939698
128,400,218327.06107183182,157171.77083510478,1.3890984361363945
2048,600,90644.43003344009,67932.24119574515,1.334335927063709
4096,100,60469.7120539934,51590.80212796017,1.1721025756492593
256,900,324128.364973574,237993.0451390816,1.3619236847200955
2048,500,47081.72959526267,35686.69921286148,1.3193074908506646
1024,500,84733.77389697364,63325.5846578035,1.3380654020780849
128,200,52955.43891968872,27723.977542298067,1.9100952898585848
8192,200,127620.36223930902,97068.3194000417,1.3147478294473716
2048,800,132705.05760551966,121673.3793836365,1.0906663255164488
512,800,72829.11050285365,56638.50285778082,1.2858586796640339
512,800,194733.69908694076,103707.48366040051,1.877720799056448
1024,600,92129.91771519005,67554.55869941709,1.3637853534817779
128,200,87700.42971736102,60071.03351509997,1.4599454110493355
2048,600,48774.775999583966,39911.47243417489,1.2220740810810007
8192,500,35556.120759965,25591.326174013364,1.3893817193448286
512,300,31238.24256329531,26628.624654509877,1.1731076226651735
512,600,112778.9876514485,71476.40813762604,1.5778491195905557
4096,300,135133.22545178817,100662.483794627,1.3424388149162787
2048,200,22948.93074882178,20061.201460168668,1.1439459792269506
512,800,108998.46231232626,90029.82672040864,1.2106927924100699
128,500,313904.11753506074,236553.09805824698,1.326992206450695
4096,600,128631.17005680967,87790.95808550628,1.4651983855959974
8192,400,102551.22185083368,65829.71148275904,1.557825783236071
256,100,60634.75787745416,43475.943543660454,1.3946737651952756
2048,1000,65609.1645846329,41399.41646168998,1.584784767325067
2048,500,107515.89092180261,48801.92720673471,2.203107481111224
2048,1000,213814.9174020963,124611.80764058269,1.7158479717973578
