P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,48373.25743782253,25339.817846041748,1.9089820507679287
256,400,90983.29089997595,48679.56019676214,1.8690245049918834
8192,800,110066.58373047938,62137.90128877687,1.7713276671344422
128,1000,266233.484618489,125295.95783362567,2.124836979753228
2048,600,164711.86341203898,95460.11175339336,1.7254522374491552
256,900,140598.52059631763,77030.62312975689,1.8252289139538909
256,100,39217.26421959444,26193.65899088914,1.4972045040838038
4096,300,31851.278667024486,20887.76340872541,1.5248774147699944
256,200,48920.53884301298,25775.82693292296,1.8979231576282714
2048,400,52755.76363012192,34397.99854935305,1.5336870124705013
8192,1000,108915.5366289796,71441.52524391812,1.5245410320834614
1024,500,122763.02696189733,69330.81468246617,1.7706849043120247
256,600,145484.47719646155,65997.13135384436,2.204406073598031
8192,900,77408.74929952434,50985.945546331204,1.5182370057093986
8192,700,111263.88291496881,54661.38833726035,2.0355114697868903
256,1000,161715.78346278897,62174.13220982782,2.601013921947859
8192,900,306657.0867695405,200725.03795784948,1.5277470608023291
2048,700,69493.82696502031,45736.33575987692,1.519444568753256
1024,600,120793.240193236,69645.19944005155,1.7344087053295194
4096,1000,79327.26708553673,51207.743830232605,1.5491263850351986
2048,200,50985.05525417846,33208.183834406,1.5353159783870618
512,800,97811.49710427021,58281.74602729851,1.6782526909618736
128,200,67830.62092222334,36920.89002320384,1.8371881306109772
2048,800,128365.99182697284,69914.3129245496,1.8360473908325947
512,100,52574.42398201513,34744.80913128068,1.51315909617942
1024,100,26260.346403003703,17424.209760559108,1.507118357955366
512,900,114081.67910636624,65527.226447374065,1.74098134914938
256,800,158870.85909607945,88988.07431158595,1.7853050571675873
1024,100,30800.968620580086,17010.884101954263,1.8106624227156762
1024,700,223033.5616725587,122698.14519501191,1.8177419171094833
256,300,100051.24345571017,58817.967607809784,1.7010319724550542
1024,600,87597.90264026425,56839.82740281852,1.5411359717802473
8192,200,77340.22799576215,48832.439654252754,1.5837879193288817
1024,300,80107.20130475647,51334.02512144949,1.5605088655182104
4096,900,134068.39490380816,68798.33552250691,1.9487156758312647
512,900,106856.89831761856,70503.79592528375,1.5156190800118043
4096,100,52567.38030928361,34460.69141352587,1.5254302265290836
8192,700,37708.9564878723,24919.342184621364,1.5132404462563975
1024,400,121793.26304473357,71121.47502380062,1.7124681821345207
256,700,107372.25269237268,46686.09352875527,2.299876570873061
256,400,122208.83228229001,59315.77823058138,2.0603090093030745
512,500,209842.67098886523,104189.08387589059,2.0140562061072402
256,900,134893.6581025676,57244.69321120439,2.3564395323925877
8192,500,149335.27190113786,87191.89492611904,1.7127196516106828
8192,300,68288.39476784227,37997.38137569971,1.7971868664484976
1024,800,116024.35422422862,76586.05734526525,1.5149540039797016
4096,800,127999.09627028593,69744.6297416748,1.8352537929354307
4096,800,119559.51822749755,49156.66889863417,2.4322135918941314
8192,500,141244.6740556576,93303.02350633578,1.5138274060975776
4096,700,221531.1214895312,121247.84298185878,1.827093299488032
4096,800,65076.64155611016,43369.83132383738,1.500504834113617
4096,100,38038.40324818974,25235.008428580157,1.5073663777781414
8192,600,72799.53580777711,37566.49697046091,1.9378845960809297
8192,800,191523.3237351941,84971.24391877686,2.25397810956221
512,300,73339.7634894324,47234.241688785194,1.5526821404829587
256,100,84090.77633163151,56270.53628076332,1.4944015445678067
128,600,165662.2718740359,74899.47399565695,2.2117948636547413
2048,900,239769.04375846172,156586.64072292217,1.531222859443863
8192,1000,69255.42581620615,45312.78094590863,1.5283861279421065
4096,300,62820.13631857438,41796.45799396132,1.5030014344194078
256,500,148191.9923981362,95166.34282014595,1.5571891070586057
256,700,108975.53575873496,47967.297444383694,2.2718714950553145
128,500,123388.1894300663,56182.17500713485,2.1962159602115197
2048,700,75317.3962053851,48971.50074361899,1.5379842369890817
128,800,201697.17446999985,93497.3020055607,2.157251280448756
512,300,46721.75745483438,28600.5958497807,1.63359384889153
4096,200,87872.50573730894,50831.013653404065,1.7287183438141858
4096,500,361267.3343270517,237564.50729901434,1.520712577962401
8192,1000,184864.76547714454,112393.23827909636,1.644803266706187
128,900,251599.3397333138,109443.21737422631,2.2989029906988554
4096,300,41438.80331671036,27866.80417099782,1.4870310589772435
4096,400,117128.7518400486,56915.493482307924,2.057941426379055
128,900,247025.29813079952,109318.34627419793,2.2596874774449835
1024,400,67323.89198840712,44207.66491546582,1.5229008842051326
8192,600,49180.23747121511,32734.27780938007,1.5024078966276266
128,400,130014.98926456181,81480.70461614145,1.5956537179822774
4096,700,105275.68535998026,53915.74341202593,1.9525963790475802
8192,500,88376.47556377505,54509.002824173345,1.6213188828430072
256,900,148514.7064726592,64837.41435415292,2.2905710838721416
8192,1000,229323.37827068949,124535.58998606945,1.8414284486574608
8192,600,48370.53574607273,25325.579367516788,1.9099478453833112
4096,900,70643.6667044035,44998.63267930536,1.5699069615706824
8192,700,283685.36551804456,185768.68163866145,1.5270892973759742
128,300,87728.76770234658,38152.527144095155,2.2994221947870184
4096,700,157764.44509832567,86344.15596057125,1.8271583449187716
256,100,23730.641797005377,14891.07425106187,1.5936151681812456
2048,500,58263.15924652941,38078.8838745444,1.5300647844218491
512,600,76398.68071837196,50523.437090590436,1.5121433757839207
512,500,50365.69673674087,33156.78306802833,1.5190163844726652
512,400,86690.67050745759,57470.31142497088,1.5084426786278113
8192,1000,230649.70254474916,150569.03775101455,1.5318534672856075
128,600,146393.1182805568,72849.63176490327,2.009524478490014
2048,800,128896.9861171894,41519.7534269463,3.1044737860493967
8192,200,41254.41464805424,26972.824218293383,1.5294807215654809
512,400,167530.30643143182,109009.50865491609,1.536841221455011
1024,300,67420.63825891951,35788.66352580134,1.8838545957524662
1024,800,178858.68093053132,105506.57662913551,1.6952372699877718
1024,100,15761.97507127892,10211.848879179503,1.5434986609932437
