P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,52243.78610386107,32086.250269673834,1.62822971412272
256,400,99213.59651283093,69344.18366491112,1.430741430200642
8192,800,97279.92394618869,68639.61815064191,1.4172561935395753
128,1000,386847.25287232344,125295.95783362567,3.087467940394365
2048,600,225750.93288383327,191374.78812730435,1.1796273432509907
256,900,191978.2045134917,79309.82918527524,2.420610490346821
256,100,33980.08588783395,27744.76099020595,1.2247388218564617
4096,300,27815.51117891668,24265.13520631133,1.146315936112398
256,200,51226.93233916435,32996.77807816611,1.5524828581085341
2048,400,58412.23627005755,49006.50439213838,1.1919282347228184
8192,1000,110549.69163295264,97895.23348711745,1.1292653145109506
1024,500,141465.8785934016,103433.70181766388,1.3676961774294998
256,600,172232.4359176979,107515.86756387605,1.6019257419410509
8192,900,80407.54872453661,76055.59330000391,1.0572207149494748
8192,700,115789.30729610503,80626.46962808013,1.436120269561928
256,1000,222395.12788465168,66688.81108753479,3.3348192036702975
8192,900,326581.3945079066,294265.0674249581,1.1098204668523546
2048,700,62349.6189670679,53921.858220267735,1.156295814442693
1024,600,120428.35881831845,87981.12037524463,1.3687977409776602
4096,1000,72141.56439425438,57823.110280004155,1.2476251112213468
2048,200,48220.724950006996,43211.18708703341,1.1159315029435242
512,800,104924.12539895202,76745.1936743743,1.3671751985425875
128,200,96292.14473168431,55080.46923257345,1.74820850427213
2048,800,137226.51596725843,91530.45019922058,1.499244411762185
512,100,85660.56169058327,81541.92332472774,1.0505094581771601
1024,100,28101.61630349915,26126.125239736124,1.075613626040437
512,900,107184.59110262696,83768.9354752691,1.2795267182817527
256,800,223117.11660115945,140690.70674223357,1.5858696126244032
1024,100,37074.09989991775,26128.92828146623,1.418890951077207
1024,700,291568.6085705177,209079.4040392636,1.3945352958618689
256,300,102368.1968683776,73378.01257741736,1.3950799874877258
1024,600,127503.60719004525,121589.27436436518,1.0486418958958228
8192,200,77402.08177840259,66804.37457564907,1.1586379225922205
1024,300,71624.25474671264,60661.299768006524,1.1807240369169951
4096,900,136338.61678456733,83867.31024046338,1.6256467078013928
512,900,96193.68723490737,83934.36071927342,1.1460584963128086
4096,100,85660.56169058327,81541.92332472774,1.0505094581771601
8192,700,48665.44124231179,48366.36010081021,1.0061836603142804
1024,400,117921.53153905808,93715.09953214714,1.2582980984681917
256,700,140835.1329846381,54206.33391376397,2.598130565492412
256,400,112580.57325583365,62094.6152682652,1.8130488894963874
512,500,253039.04257681646,150411.49619722992,1.6823118509838784
256,900,167747.16335150696,65851.69814960258,2.5473475713628093
8192,500,164720.33286878522,145171.26830844925,1.134662077338882
8192,300,66239.683013838,49207.11959862682,1.3461402243037712
1024,800,123314.62034283741,113583.42103934956,1.0856744691649727
4096,800,137226.51596725843,91530.45019922058,1.499244411762185
4096,800,127802.50099409712,80495.74766274964,1.5876925763774135
8192,500,141273.0837952125,126547.99516819877,1.1163597148057713
4096,700,291568.6085705177,209079.4040392636,1.3945352958618689
4096,800,83925.91490326793,76289.52886222344,1.1000974334870461
4096,100,33668.76209914741,27021.11397775278,1.2460168047426847
8192,600,85785.10519352455,71516.09563181561,1.199521652232942
8192,800,203313.60745824987,111382.24810651336,1.8253681436185754
512,300,71389.82239379222,64288.232254330745,1.1104648532155443
256,100,78372.7616993799,66621.99147149005,1.1763797504149727
128,600,235031.47531539557,74899.47399565695,3.1379589572154254
2048,900,278113.2682501817,246837.67939689083,1.126705083801257
8192,1000,65106.1364783192,55350.7803146872,1.1762460458221116
4096,300,54869.291051403605,44478.45983108848,1.2336149061765036
256,500,151415.8600560059,126547.99516819877,1.196509354847973
256,700,166963.87376774265,88059.66488743904,1.8960312190735877
128,500,191615.19841955637,56182.17500713485,3.4106048474488966
2048,700,117288.24879446882,82723.15596316708,1.4178405964914107
128,800,298518.4128150432,133043.65281458962,2.243762904127866
512,300,44790.01229189881,36792.68253707005,1.2173619644822347
4096,200,98564.19721165672,87248.16939999937,1.1296993150627344
4096,500,409925.2477330325,374127.1854931126,1.0956842048052104
8192,1000,192702.6602167171,150682.91879743664,1.2788620087441211
128,900,354496.8647150751,109443.21737422631,3.23909396324599
4096,300,39463.66748160078,36076.63280186646,1.09388444587764
4096,400,124287.60892191535,80803.01007103526,1.5381556802481995
128,900,347435.4264302373,109318.34627419793,3.1781987038002
1024,400,63151.2973938865,55614.3310578869,1.1355220173044005
8192,600,43085.992236789956,36813.11504024967,1.170397891883961
128,400,169093.41438497216,101350.91774796846,1.668395493028099
4096,700,104655.14499550824,83298.65199605712,1.2563846171299629
8192,500,79183.14673305479,62291.80850112228,1.2711646786050237
256,900,184297.67435881155,72343.07089417889,2.547551162548743
8192,1000,283148.5859936163,193587.99783544827,1.4626350246893687
8192,600,52243.78610386107,32086.250269673834,1.62822971412272
4096,900,80425.21932522452,74506.27131782444,1.079442279189511
8192,700,292863.7775363433,257665.43434439163,1.1366048313058015
128,300,110589.20780221911,39128.1871492468,2.8263309869276148
4096,700,164947.0864616591,120542.04638444567,1.3683780175391425
256,100,22321.332441790848,16062.953290333515,1.3896157224850767
2048,500,67112.43734669028,64798.784885890724,1.0357051828189965
512,600,69674.07502996565,54759.00301290296,1.2723766174769147
512,500,55912.62188658197,40793.162330552455,1.3706371041674708
512,400,83713.11986778863,74066.52558882261,1.1302422950486257
