P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4912.609276278944,4118.24998149955,1.1928875853452077
256,400,32081.40086473523,23531.7252532983,1.3633254901375569
8192,800,15294.904281553452,14795.02099803586,1.0337872642143566
128,1000,144774.47340238866,119404.61005167401,1.212469714023064
2048,600,93429.64717264962,91443.0979502153,1.021724430459649
256,900,61469.265759419926,51518.201495127876,1.193156282158513
256,100,5617.754982539656,4679.130547151785,1.2005980440018322
4096,300,1232.3931553985615,942.5154884959478,1.3075574570824253
256,200,15913.458171033622,11080.525409985707,1.4361645844602733
2048,400,16871.244467530934,16659.391108001237,1.0127167528606702
8192,1000,31785.267802615333,31785.267802615333,1.0
1024,500,16260.941052057684,10972.920970408175,1.4819154440198983
256,600,47646.71781433178,34696.429261633115,1.3732455710368714
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,69992.56810135924,58863.7101663512,1.1890614421611794
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,24045.328598919634,16874.141147700775,1.4249808857499089
4096,1000,26346.974403284567,25339.795717781904,1.039746914170894
2048,200,6182.0334092264275,5118.145442873633,1.2078659112421517
512,800,26930.441194911695,21229.958775728857,1.268511233554533
128,200,36085.826851424965,28092.671302858154,1.2845281412506182
2048,800,30138.611247320052,26497.37844693629,1.1374186056811508
512,100,53887.21609313804,52844.49103612885,1.0197319538245964
1024,100,6984.836538067907,6901.431727873591,1.0120851460223044
512,900,32310.793437662185,24134.145646769488,1.3387999687483114
256,800,73310.34787857208,46337.580997070676,1.582092683759356
1024,100,18155.54563025055,16558.912626923186,1.0964213677129617
1024,700,30223.34399319216,15601.0663687365,1.9372614203960912
256,300,21351.724670217318,17275.812740351696,1.2359317035397923
1024,600,73593.31149588224,70364.7320429823,1.0458834896284088
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5605.183797415032,3799.3333703103463,1.4753071792058026
4096,900,16019.196667703854,12984.521812166118,1.2337147951566714
512,900,48992.56990103794,39234.60108057627,1.2487082460816075
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31674.479787837503,31347.334171878083,1.010436154288772
