eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.6,0.25,3.5627157621022096,3.5627157621022096,0.6,0.25
2,0.46,0.25,3.103317888877699,3.103317888877699,0.46,0.25
3,0.24,0.7,4.949149899114055,3.103317888877699,0.46,0.25
4,0.38,0.15,3.207883941605457,3.103317888877699,0.46,0.25
5,0.44,0.1,3.798008326676218,3.103317888877699,0.46,0.25
6,0.74,0.0,22.255172814873088,3.103317888877699,0.46,0.25
7,0.72,0.25,3.9860121471271674,3.103317888877699,0.46,0.25
8,0.6,0.7,4.949149899114055,3.103317888877699,0.46,0.25
9,0.84,0.15,6.099970270168285,3.103317888877699,0.46,0.25
10,0.4,0.9,7.944171613476448,3.103317888877699,0.46,0.25
11,0.28,0.05,3.6101012085604416,3.103317888877699,0.46,0.25
12,0.4,0.8,5.6016309475608415,3.103317888877699,0.46,0.25
13,0.26,0.65,4.461519853508124,3.103317888877699,0.46,0.25
14,0.22,0.6,4.30621244485535,3.103317888877699,0.46,0.25
15,0.72,0.2,4.271690097685595,3.103317888877699,0.46,0.25
16,0.46,0.85,5.897964125703659,3.103317888877699,0.46,0.25
17,0.48,0.75,5.289491950850089,3.103317888877699,0.46,0.25
18,0.8,0.3,4.421006828821211,3.103317888877699,0.46,0.25
19,0.86,0.9,7.944171613476448,3.103317888877699,0.46,0.25
20,0.9,0.0,22.242228447986644,3.103317888877699,0.46,0.25
21,0.1,0.1,3.3663934567797917,3.103317888877699,0.46,0.25
22,0.1,0.15,3.383869636237649,3.103317888877699,0.46,0.25
23,0.1,0.35,3.481219180712632,3.103317888877699,0.46,0.25
24,0.48,0.45,3.7279561536780843,3.103317888877699,0.46,0.25
25,0.9,0.55,5.632244144493403,3.103317888877699,0.46,0.25
26,0.38,0.35,3.4192668787128406,3.103317888877699,0.46,0.25
27,0.1,0.45,3.7343256954194164,3.103317888877699,0.46,0.25
28,0.26,0.1,3.0831246244565595,3.0831246244565595,0.26,0.1
29,0.1,0.25,3.4293333170223224,3.0831246244565595,0.26,0.1
30,0.9,0.25,7.15331215818088,3.0831246244565595,0.26,0.1
31,0.68,0.4,3.679385821799014,3.0831246244565595,0.26,0.1
32,0.1,0.0,3.362104238200601,3.0831246244565595,0.26,0.1
33,0.28,0.25,3.1044737860493967,3.0831246244565595,0.26,0.1
34,0.6,0.35,3.428606249470991,3.0831246244565595,0.26,0.1
35,0.52,0.55,4.0521170734038785,3.0831246244565595,0.26,0.1
36,0.34,0.3,3.210178484345379,3.0831246244565595,0.26,0.1
37,0.1,0.05,3.362104238200601,3.0831246244565595,0.26,0.1
38,0.24,0.4,3.4884161300187553,3.0831246244565595,0.26,0.1
