eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,0.25,2.2934296495821194,2.2934296495821194,0.4,0.25
2,0.42,0.9,2.3003843641626545,2.2934296495821194,0.4,0.25
3,0.4,0.9,2.2934296495821194,2.2934296495821194,0.4,0.25
4,0.64,0.35,2.3335417290316127,2.2934296495821194,0.4,0.25
5,0.34,0.9,2.581114446628961,2.2934296495821194,0.4,0.25
6,0.74,0.85,2.308215440533129,2.2934296495821194,0.4,0.25
7,0.12,1.0,165.01219809326884,2.2934296495821194,0.4,0.25
8,0.36,0.6,2.4237236277979086,2.2934296495821194,0.4,0.25
9,0.54,1.0,165.01219809326884,2.2934296495821194,0.4,0.25
10,0.72,0.9,2.3202965239883446,2.2934296495821194,0.4,0.25
11,0.1,0.6,8.52677326694748,2.2934296495821194,0.4,0.25
12,0.34,0.55,2.581114446628961,2.2934296495821194,0.4,0.25
13,0.9,0.65,2.3523122255788187,2.2934296495821194,0.4,0.25
14,0.1,0.1,8.52677326694748,2.2934296495821194,0.4,0.25
15,0.66,0.2,2.32301466135718,2.2934296495821194,0.4,0.25
16,0.76,0.5,2.3353603680245136,2.2934296495821194,0.4,0.25
17,0.76,0.05,2.3353603680245136,2.2934296495821194,0.4,0.25
18,0.1,0.45,8.52677326694748,2.2934296495821194,0.4,0.25
19,0.4,0.95,2.2934296495821194,2.2934296495821194,0.4,0.25
20,0.44,0.4,2.2110992860791843,2.2110992860791843,0.44,0.4
21,0.38,0.4,2.3295032736677506,2.2110992860791843,0.44,0.4
22,0.46,0.4,2.242942547592798,2.2110992860791843,0.44,0.4
23,0.84,1.0,165.01219809326884,2.2110992860791843,0.44,0.4
24,0.44,0.3,2.2110992860791843,2.2110992860791843,0.44,0.4
25,0.28,0.0,3.1295110031367868,2.2110992860791843,0.44,0.4
26,0.44,0.15,2.2110992860791843,2.2110992860791843,0.44,0.4
27,0.44,0.7,2.2110992860791843,2.2110992860791843,0.44,0.4
28,0.8,0.8,2.369017817224178,2.2110992860791843,0.44,0.4
29,0.9,0.75,2.3523122255788187,2.2110992860791843,0.44,0.4
30,0.9,0.3,2.3523122255788187,2.2110992860791843,0.44,0.4
