eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.66,0.45,2.80668668191845,2.80668668191845,0.66,0.45
2,0.14,0.4,2.761369275713999,2.761369275713999,0.14,0.4
3,0.44,0.35,2.68572660019087,2.68572660019087,0.44,0.35
4,0.34,0.35,2.68572660019087,2.68572660019087,0.44,0.35
5,0.44,0.15,2.523578292462575,2.523578292462575,0.44,0.15
6,0.46,1.0,38.99262825088499,2.523578292462575,0.44,0.15
7,0.9,0.25,4.089776371675031,2.523578292462575,0.44,0.15
8,0.32,0.15,2.523578292462575,2.523578292462575,0.44,0.15
9,0.58,0.35,2.68572660019087,2.523578292462575,0.44,0.15
10,0.5,0.9,4.438460060302649,2.523578292462575,0.44,0.15
11,0.24,0.95,5.262706968154325,2.523578292462575,0.44,0.15
12,0.28,0.35,2.68572660019087,2.523578292462575,0.44,0.15
13,0.34,0.15,2.523578292462575,2.523578292462575,0.44,0.15
14,0.18,0.6,3.050620759410824,2.523578292462575,0.44,0.15
15,0.42,0.35,2.68572660019087,2.523578292462575,0.44,0.15
16,0.14,0.15,2.523578292462575,2.523578292462575,0.44,0.15
17,0.8,0.75,3.5347294319673623,2.523578292462575,0.44,0.15
18,0.7,0.95,5.262706968154325,2.523578292462575,0.44,0.15
19,0.64,0.85,4.033685022358836,2.523578292462575,0.44,0.15
20,0.5,0.55,2.94336315071382,2.523578292462575,0.44,0.15
21,0.44,0.2,2.552105932257039,2.523578292462575,0.44,0.15
22,0.44,0.5,2.8880697966020024,2.523578292462575,0.44,0.15
23,0.44,0.1,2.49030073797174,2.49030073797174,0.44,0.1
24,0.44,0.05,2.472530615315896,2.472530615315896,0.44,0.05
25,0.44,0.0,2.4637977798705224,2.4637977798705224,0.44,0.0
26,0.44,0.3,2.63901952088621,2.4637977798705224,0.44,0.0
27,0.44,0.65,3.155489126588991,2.4637977798705224,0.44,0.0
28,0.1,0.7,3.229893944259603,2.4637977798705224,0.44,0.0
29,0.44,0.8,3.6622889516271515,2.4637977798705224,0.44,0.0
30,0.9,0.0,4.548662294271123,2.4637977798705224,0.44,0.0
31,0.1,0.0,2.9770773017895653,2.4637977798705224,0.44,0.0
32,0.9,0.4,3.8224131076750725,2.4637977798705224,0.44,0.0
33,0.9,0.7,3.6959941202349835,2.4637977798705224,0.44,0.0
34,0.9,0.6,3.537725214525696,2.4637977798705224,0.44,0.0
35,0.1,0.45,3.020534440030151,2.4637977798705224,0.44,0.0
