P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,33138.09664449007,25339.81784604174,1.3077480211510863
256,400,141048.92729495378,48334.52807370665,2.91818153432396
8192,800,60801.23619286337,40507.42758459579,1.500989813926988
128,1000,479361.2907475839,122342.327095179,3.918196605616745
2048,600,174657.73187987876,151129.24419825306,1.1556845454130689
256,900,338930.3517857657,54809.75617591053,6.18375952445359
256,100,33632.65459785116,26277.440229121807,1.2799060450560165
4096,300,15866.744880162136,14461.995710341227,1.09713383947531
256,200,66377.11675055168,28639.31993050193,2.317691792669197
2048,400,55665.603942316324,48402.57713588221,1.1500545474271828
8192,1000,98108.60282534048,86941.7558164661,1.1284405508493247
1024,500,93811.2347299325,61945.54745447425,1.5144144911928878
256,600,224857.10072255318,87906.4422511642,2.5579137883898975
8192,900,59358.9954668296,51759.85633102995,1.1468153058076396
8192,700,80447.84243983652,61004.81435234271,1.3187130113239522
256,1000,278359.94775878306,60266.79191353534,4.618794844068448
8192,900,216488.46068894665,198921.3860550627,1.0883116440231382
2048,700,54645.0737235899,50318.98468300632,1.0859732975106031
1024,600,116830.97060425565,69227.82344495451,1.687630273356089
4096,1000,67213.35463422547,51562.0110470629,1.3035440873878426
2048,200,42340.523400009166,37687.22034705516,1.1234716439711534
512,800,146909.6107668455,59751.971053248635,2.4586571484968314
128,200,174895.25380683414,38616.9468705205,4.528976731206736
2048,800,108131.498975763,74910.56325865745,1.4434746485939176
512,100,36100.9678310945,25554.08998787344,1.412727584829905
1024,100,21236.544659369734,16270.879577503554,1.3051872554408066
512,900,163619.01180982258,54814.08894506958,2.9849809594352434
256,800,316313.3851678246,105351.1225342505,3.0024681043620447
1024,100,30225.59123379468,17524.646577519117,1.7247475491213915
1024,700,146576.32143116658,90035.56093891147,1.627982542704628
256,300,135291.07559327388,59520.11230056764,2.273031255553992
1024,600,115343.09340830144,93962.56722509673,1.2275430186149079
8192,200,53495.84958311031,39439.94833382917,1.3563874153766284
1024,300,51507.46053679003,42559.26499070512,1.2102525865528735
4096,900,120115.3932669019,80527.65400433389,1.4916042787045236
512,900,164739.08384999397,77438.96240069586,2.1273410534296318
4096,100,29924.995397667284,25509.78330366942,1.1730791689384035
8192,700,38277.15649524651,36383.636776576175,1.0520431679300786
1024,400,94482.9544395054,70446.65442750564,1.3411986020817317
256,700,200519.00376212737,45533.305579283064,4.40378753993561
256,400,136111.63244638703,36205.24077560651,3.7594455810964535
512,500,143831.21096490877,49051.18395225835,2.9322678756317093
256,900,182387.79099456462,57524.791285656356,3.1705945718058173
