P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,43262.098397609756,25339.817846041748,1.7072774027208562
256,400,160413.05376872505,48679.56019676214,3.295285600780648
8192,800,98422.81377250844,62137.90128877687,1.5839417124035573
128,1000,489356.5629429006,125295.95783362567,3.905605347561915
2048,600,146804.2725315542,95460.11175339336,1.5378598436046318
256,900,316298.3412366232,77030.62312975689,4.1061376422182585
256,100,34759.967100749454,26193.65899088914,1.3270374754760268
4096,300,28606.47282492813,20887.76340872541,1.3695325950014543
256,200,75584.98688456179,25775.82693292296,2.932398137264747
2048,400,50962.597925741844,34397.99854935305,1.481557069450494
8192,1000,96392.04460815876,71441.52524391812,1.3492439345192269
1024,500,112057.99054345686,69330.81468246617,1.61627973155487
256,600,240623.00291860712,65997.13135384436,3.645961543820809
8192,900,69711.63530797683,50985.945546331204,1.3672715992808153
8192,700,100429.1747399192,54661.38833726035,1.8372964499231514
256,1000,323676.3302989459,62174.13220982782,5.205964583576168
8192,900,273746.8242175908,200725.03795784948,1.3637901230591634
2048,700,61416.10264261729,45736.33575987692,1.3428295385328124
1024,600,112109.84788068678,69645.19944005155,1.609728291139255
4096,1000,71787.93880143922,51207.743830232605,1.4018961475716538
2048,200,44525.61586418952,33208.183834406,1.3408024987520657
512,800,146170.70807116514,58281.74602729851,2.508001527660143
128,200,115796.854875328,36920.89002320384,3.1363505810004204
2048,800,116862.05419235487,69914.3129245496,1.6715040068901275
512,100,46706.8312709004,34744.80913128068,1.3442822809710109
1024,100,23840.43475004236,17424.209760559108,1.3682362114353568
512,900,185152.26031507397,65527.226447374065,2.825577555365824
256,800,280749.9930236116,88988.07431158595,3.1549170514757265
1024,100,28569.506892111298,17010.884101954263,1.679483953972101
1024,700,209327.32257023038,122698.14519501191,1.7060349383239106
256,300,130313.40043660431,58817.967607809784,2.21553728795113
1024,600,103505.2189756453,56839.82740281852,1.820998122357296
8192,200,68855.03134428452,48832.439654252754,1.4100264461861272
1024,300,70424.04962180328,51334.02512144949,1.3718785825812279
4096,900,118628.76261981708,68798.33552250691,1.724296986531142
512,900,144231.35152064488,70503.79592528375,2.0457246255718453
4096,100,46699.147127617776,34460.69141352587,1.3551424887919774
8192,700,33827.618708161084,24919.342184621364,1.3574844174272522
1024,400,110869.80182572448,71121.47502380062,1.5588793931596916
256,700,188668.83504107318,46686.09352875527,4.041221288409294
256,400,131442.21184084367,59315.77823058138,2.2159738228483046
512,500,227502.4858797638,104189.08387589059,2.183553952262056
256,900,221655.9072219861,57244.69321120439,3.8720778256979433
8192,500,132024.79464527316,87191.89492611904,1.5141865509075438
8192,300,60565.15736888866,37997.38137569971,1.593929770318899
1024,800,106353.69877999878,76586.05734526525,1.3886822545327677
4096,800,114292.02949974584,69744.6297416748,1.6387215750240403
4096,800,107363.6327402008,49156.66889863417,2.1841112334441344
8192,500,126434.17524593843,93303.02350633578,1.3550919412311742
4096,700,199304.78969342774,121247.84298185878,1.6437800854176674
4096,800,58953.00253584729,43369.83132383738,1.3593090112721957
4096,100,33436.27017059175,25235.008428580157,1.3249954033192703
8192,600,64232.41056244426,37566.49697046091,1.7098323171561924
