P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,22088.598397896614,18779.00655706,1.1762389203486574
256,400,92772.51182834362,43244.960742362484,2.14527913162063
8192,800,52584.834594712614,46379.37991347244,1.1337977069296175
128,1000,264085.95902564476,119404.61005167404,2.2116898075489533
2048,600,126098.78925793475,111680.57587899217,1.129102247776417
256,900,153922.76216698883,51518.201495127876,2.9877355517068165
256,100,19087.45762767731,12924.548421892341,1.476837488213196
4096,300,22857.507355376365,17279.41691731119,1.3228170524942209
256,200,44157.16015613289,22891.533499154106,1.928973441546177
2048,400,35120.60657460998,21733.26502109654,1.6159839094824597
8192,1000,64598.54863471123,60202.342442558154,1.073023839501722
1024,500,90439.23676083394,53664.96732667876,1.6852565326332247
256,600,141790.66897158683,58028.72573355824,2.4434565325908704
8192,900,54553.60052111354,52575.017380802,1.037633523275525
8192,700,59465.588425914975,35360.41439156067,1.681699421489455
256,1000,171944.60435067146,58863.710166351215,2.9210629752142547
8192,900,165201.0684913517,149649.57060028278,1.1039194287607232
2048,700,43291.22710409138,41611.35817859911,1.0403704420865605
1024,600,63137.047145416356,43965.34404781527,1.4360639843225285
4096,1000,35677.692292228436,33915.21825046568,1.0519670558728766
2048,200,15337.994765305928,12441.910416424595,1.2327684617515173
512,800,75578.95728029656,54149.74440156318,1.3957398712691758
128,200,63042.474819288065,38939.521911435,1.6189843050121009
2048,800,96856.44099615986,71810.48771496736,1.3487784873513986
512,100,61765.411010153955,60573.79424177784,1.0196721500327324
1024,100,10711.191172301546,9640.921141579869,1.1110132543358082
512,900,82914.13064752409,46304.128599874144,1.7906422851406267
256,800,183031.76979621375,86969.02217444926,2.104562811216554
1024,100,31715.85169264496,20829.72320776272,1.5226247308377698
1024,700,150716.45168595004,101971.47650017287,1.4780255896921777
256,300,77139.87593438725,35896.699653227304,2.1489406179281434
1024,600,89380.42486243906,86765.25402755744,1.030140761577797
8192,200,23379.061861148526,18018.92824454402,1.297472388138707
1024,300,21696.00750424916,18573.116360380285,1.1681403962196968
4096,900,68057.91434897885,52757.84825268096,1.2900054987652079
512,900,72715.11474298182,53309.00486140186,1.3640306160663462
4096,100,61563.22391816093,60573.79424177784,1.016334285952665
8192,700,43254.60368770558,41694.171098573366,1.037425677211403
1024,400,78838.85990760708,63377.543120814065,1.2439557613856966
256,700,97932.04386974797,38261.990551516115,2.5595125203403057
256,400,78725.18312875295,22632.151942540644,3.478466534186559
512,500,123220.44409754404,62904.27191045394,1.9588565347827556
256,900,125847.24803396018,47728.093563071816,2.6367541344942955
8192,500,93292.34614579004,84889.56492633495,1.0989848543427785
8192,300,37091.552704792615,23136.448596413335,1.6031653496960045
1024,800,70887.05434653784,66116.18200423285,1.0721589208221303
4096,800,96856.44099615986,71810.48771496736,1.3487784873513986
4096,800,73792.78729325457,64362.85987349461,1.1465119393124312
8192,500,73366.40222203187,66624.56129320196,1.1011915245364299
4096,700,150712.90685745756,101971.47650017287,1.4779908267504793
4096,800,48673.91000280711,43948.578664085064,1.1075195485806144
4096,100,9032.38187154832,8321.239576006265,1.0854611009629607
8192,600,63111.94363927457,60947.46333963169,1.0355138701602926
8192,800,93872.75214669952,62102.16000225037,1.5115859439236556
512,300,53687.78429516155,51521.92639179481,1.0420375955451788
256,100,25269.113535853983,17954.53769414384,1.407394273598919
128,600,158387.42889126934,70900.57950763027,2.2339370142133155
2048,900,141139.8591995886,129752.604791726,1.0877612779037538
8192,1000,33492.28301101002,28498.849543516073,1.175215264737942
4096,300,20162.42492877834,18481.458954016285,1.0909541816446668
256,500,96714.17709574662,66627.75825410518,1.4515598247639931
256,700,141131.3297133196,61827.216222082076,2.282673203438091
128,500,149463.08294712252,53535.80791606614,2.7918338914666596
2048,700,90781.1440884934,69714.60276884174,1.302182620038784
128,800,259839.2126162989,89245.39881899078,2.9115138265369818
512,300,27793.914259698853,25000.830378077444,1.1117196444831123
4096,200,58903.20655992922,53640.79281597229,1.0981046973338167
4096,500,189889.3586441377,173165.7012270452,1.0965760384336467
8192,1000,89199.77418271432,71753.33995595953,1.243144559367731
128,900,219038.25356364832,103084.41806074536,2.124843479589456
4096,300,21058.530007272544,19028.50780282153,1.106683205298421
4096,400,53768.61538633872,45126.38541333707,1.1915116819980767
128,900,295403.01039506233,103160.92321660006,2.8635165446786908
1024,400,29058.623228710727,26611.894241008282,1.091941181095335
8192,600,29628.136658433614,18661.250273283804,1.587682294838007
128,400,127946.64703199592,46532.57276323225,2.7496147200589145
4096,700,46289.60981350353,36793.786558940206,1.2580822509080956
8192,500,32942.17031788184,27177.07231873392,1.2121309437431154
256,900,122313.26619384017,51088.94408718974,2.3941239808185726
8192,1000,146736.86092139207,94799.79607328854,1.5478605123575544
8192,600,22088.598397896614,18779.00655706,1.1762389203486574
4096,900,47518.83735018977,40761.55353335776,1.1657759145833857
8192,700,114549.39803770212,103650.17673083996,1.10515390953134
128,300,90195.03614561338,32755.432020731212,2.7535901858515595
4096,700,99128.43679334977,80356.03512507299,1.2336153300627366
256,100,15777.570402381303,14135.174116163842,1.1161921510637318
2048,500,37285.1732393266,36276.16196639806,1.0278147195908753
512,600,49174.89447679804,30580.976963775065,1.6080223511187544
512,500,39919.796511580316,35496.811911768345,1.124602305435368
512,400,46029.583272477146,34415.68964887445,1.337459273432939
8192,1000,162138.59199001643,146820.54879419197,1.1043317391307177
128,600,157360.93411542833,69365.62215019029,2.268572374002655
2048,800,48498.22306718567,42695.059714644456,1.1359211906793685
8192,200,17839.743262870496,16319.454371522042,1.0931580711424644
512,400,80085.90046885335,68462.06472805722,1.1697850596088206
1024,300,27515.54283883193,16760.521743464207,1.641687726670064
1024,800,85212.07560408785,75591.86163784155,1.1272652076269332
1024,100,18459.24204041918,17347.873752067557,1.0640636601485047
2048,200,30423.272515272274,27814.232772578187,1.0938023264573495
256,100,26539.41565774502,18702.315368100946,1.4190443875741285
1024,700,63999.52340002472,42452.09110493904,1.5075705750706534
4096,800,57869.110194179535,44366.085532812314,1.3043546551200835
4096,800,86213.58953797746,78733.61137126268,1.0950036208988747
8192,1000,65045.283896010114,45809.33523320091,1.4199132898324118
8192,700,72186.47805033077,57793.63501321383,1.249038549553531
8192,1000,35677.692292228436,33915.21825046568,1.0519670558728766
4096,900,36569.081883985105,32655.352187910106,1.1198495632064862
512,700,98368.63940004839,85438.48061711625,1.1513388193415717
1024,200,44188.46265027927,39819.40708715139,1.1097217633995773
4096,700,147931.21771138045,132452.11299022113,1.1168656684420137
2048,700,110709.20998183364,91119.24221630921,1.2149926545593908
8192,300,21531.161984673265,19674.24141386905,1.094383337671927
8192,500,80662.5468653661,53378.57096652857,1.5111409954370294
8192,700,59412.66000061793,49777.7756414471,1.1935579530224811
256,1000,158640.5686806373,90498.72860811553,1.7529590870562917
2048,100,38665.343858567954,34300.968848800694,1.1272376599333245
4096,700,97019.16970409678,82072.46511123,1.1821159456172057
1024,800,104443.96265113694,101845.3758611526,1.0255150198819731
1024,400,212714.19525564957,193515.84305327947,1.0992081676593495
256,100,19102.15377288443,17587.547381984677,1.086118112889987
128,900,205297.2273222877,96720.06020199122,2.122592013420409
512,900,99495.59443419843,72227.30001714897,1.3775344559546754
4096,1000,94189.25066523807,90498.72860811553,1.0407798221464912
8192,300,35741.39474250449,25922.78608210399,1.3787636340207605
512,500,108089.41883584116,86843.01321389293,1.2446530219952028
128,800,200841.55391026687,79920.49096406845,2.5130170183834766
128,100,37473.26728137324,22982.09428187623,1.630541882813735
2048,200,26999.65171063894,21228.428234486382,1.2718629666032923
4096,500,99118.64223413846,97935.06095418494,1.0120853682881477
128,400,140160.8634719986,48772.78954290394,2.873751220415706
1024,700,123866.35036280521,107260.20847207752,1.1548210853519896
128,300,111839.2882515295,36726.85726982461,3.0451635823307566
4096,500,106222.25347941698,71401.30747796739,1.4876793889550892
256,500,85215.31185428739,49937.16420129462,1.7064507610161448
512,500,160367.7232312775,147481.94731846493,1.0873718861671096
128,800,250680.36440578726,97370.5352483193,2.574499192866604
128,400,217039.69575779195,125078.80246001596,1.7352236469258906
2048,600,77480.89449705523,51282.51062023954,1.5108639097415022
4096,100,24824.629987726767,22656.454190491233,1.0956979313270256
256,900,271677.21912707353,184098.91857787647,1.4757132808042552
2048,500,38669.756717109034,37441.44378906292,1.0328062383215286
1024,500,46394.508672244905,44576.14394763512,1.0407923288911187
128,200,58289.44248520876,27723.977542298137,2.1024920539008973
8192,200,74387.2698328836,67151.768032449,1.1077484928905856
2048,800,104298.3451778209,101845.3758611526,1.0240852301435115
512,800,78001.21469206754,52828.81053104514,1.4764900800904783
512,800,98313.87560320568,76577.73322810722,1.2838441601601287
1024,600,74042.143564146,48408.82573041455,1.5295174474274928
128,200,69817.56401745422,24735.736732623263,2.822538288312788
2048,600,33675.75290257625,30580.976963775065,1.1011993809899248
8192,500,30562.267245111798,19560.487282935454,1.5624491763952264
512,300,49892.91782914882,33160.64237859692,1.5045823678419308
512,600,82348.63056940697,44462.8864987731,1.8520756760063088
4096,300,84978.4409880836,77306.4040908596,1.0992419319906137
2048,200,11263.590197030375,10040.691196847953,1.1217943044166445
512,800,77082.67489257571,50772.066671360866,1.5182103062993089
128,500,233605.31135604446,173629.6110728368,1.3454232254085288
4096,600,87802.87493123725,72740.10717064606,1.207076513171123
8192,400,53768.61538633872,45126.38541333707,1.1915116819980767
256,100,29882.98165204762,22363.056566867846,1.336265530728969
2048,1000,48540.3520738365,28109.406843986402,1.7268365833276555
2048,500,117947.90072278788,62891.775190494496,1.8754105821553373
2048,1000,111722.50581482482,75796.72432283711,1.4739753836718705
1024,600,22088.598397896614,18779.00655706,1.1762389203486574
1024,800,123053.22276446426,112592.55358879731,1.0929072913104954
128,200,70572.58941852914,22186.36413155776,3.180899267678884
512,100,13759.52972003417,12506.156799285585,1.100220470674107
4096,900,94933.86269236807,85663.51049156082,1.108218215055762
8192,900,126481.96283000914,114082.80036744605,1.108685642556345
