P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,54877.5056192798,32086.250269673834,1.7103122103098165
256,400,88649.22996439962,69344.18366491112,1.2783946003716107
8192,800,110477.36608452743,68639.61815064191,1.6095276905833757
128,1000,287145.0681148637,125295.95783362567,2.291734490717965
2048,600,238538.10663737945,191374.78812730435,1.2464447849771183
256,900,153031.49913210343,79309.82918527524,1.9295401428063528
256,100,38749.92884510397,27744.76099020595,1.3966575116211275
4096,300,30856.23362535455,24265.13520631133,1.2716283409510483
256,200,49699.49618108284,32996.77807816611,1.5061923944013453
2048,400,59876.839553692946,49006.50439213838,1.2218141305197519
8192,1000,118273.98578889019,97895.23348711745,1.2081689942999572
1024,500,145899.47736098265,103433.70181766388,1.4105603376564706
256,600,174280.12951713556,107515.86756387605,1.6209712432780614
8192,900,83457.02665642087,76055.59330000391,1.097316095178191
8192,700,125825.06063593783,80626.46962808013,1.560592460718585
256,1000,175089.85562812918,66688.81108753479,2.6254757398255113
8192,900,345842.3250470648,294265.0674249581,1.175274823047964
2048,700,67677.55076436937,53921.858220267735,1.2551042007475042
1024,600,123585.2760730513,87981.12037524463,1.4046794988055717
4096,1000,80790.89582592077,57823.110280004155,1.3972077156468548
2048,200,51317.19246562904,43211.18708703341,1.1875904349091126
512,800,102033.17946136756,76745.1936743743,1.329505791519516
128,200,68684.96995786962,55080.46923257345,1.2469931885992493
2048,800,145120.04171977946,91530.45019922058,1.5854837532637331
512,100,88122.21525336143,81541.92332472774,1.0806982673492838
1024,100,29574.523784432655,26126.125239736124,1.1319904315337104
512,900,109810.20325752134,83768.9354752691,1.3108702245588442
256,800,196470.5614287974,140690.70674223357,1.3964714939470797
1024,100,39485.52817135219,26128.92828146623,1.5111805484712537
1024,700,304557.5070751684,209079.4040392636,1.456659533131129
256,300,105563.15067873598,73378.01257741736,1.4386210115375058
1024,600,131835.95516331197,121589.27436436518,1.0842729003237628
8192,200,82070.17189931308,66804.37457564907,1.2285149351466058
1024,300,79472.55581734124,60661.299768006524,1.310103082546477
4096,900,148407.3395943418,83867.31024046338,1.7695492936262056
512,900,106062.69793480658,83934.36071927342,1.263638598375027
4096,100,88122.21525336143,81541.92332472774,1.0806982673492838
8192,700,48435.71147938358,48366.36010081021,1.0014338763228992
1024,400,125509.57365514137,93715.09953214714,1.3392673569331028
256,700,114365.85315707425,54206.33391376397,2.10982453340263
256,400,119200.61302816718,62094.6152682652,1.9196610287895162
512,500,269389.755375605,150411.49619722992,1.7910183874666243
256,900,135940.20231621337,65851.69814960258,2.0643385992474026
8192,500,175154.50127238283,145171.26830844925,1.2065369636382002
8192,300,69619.90937305614,49207.11959862682,1.4148340715923344
1024,800,129450.89750481118,113583.42103934956,1.1396988778843395
4096,800,145120.04171977946,91530.45019922058,1.5854837532637331
4096,800,132406.10075014475,80495.74766274964,1.6448831720264552
8192,500,151177.71419644268,126547.99516819877,1.1946274928773688
4096,700,304522.8825047088,209079.4040392636,1.456493928247096
4096,800,88447.16064376978,76289.52886222344,1.1593617363072546
4096,100,37241.64778444038,27021.11397775278,1.378242503810259
8192,600,90834.74224715511,71516.09563181561,1.2701300517690055
8192,800,214828.4366728725,111382.24810651336,1.928749332366096
512,300,73800.51693432734,64288.232254330745,1.1479630773228457
256,100,86615.44673802436,66621.99147149005,1.3001029363568368
