P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4907.315421596156,4118.24998149955,1.1916021231448628
256,400,29853.23733797226,23531.7252532983,1.2686378502480566
8192,800,15294.904281553452,14795.02099803586,1.0337872642143566
128,1000,151423.84135942685,119404.61005167401,1.2681574127991881
2048,600,93253.26845099348,91443.0979502153,1.0197955946523563
256,900,62463.57487744754,51518.201495127876,1.2124564341275537
256,100,6028.168017377549,4679.130547151785,1.288309431983455
4096,300,1221.6735801706134,942.5154884959478,1.2961840893672123
256,200,16843.133253916465,11080.525409985707,1.5200662992693044
2048,400,16788.717977441167,16659.391108001237,1.0077630009765373
8192,1000,31785.267802615333,31785.267802615333,1.0
1024,500,16353.609502274596,10972.920970408175,1.4903606383730537
256,600,50771.02059035812,34696.429261633115,1.4632923811125456
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,72255.04394193586,58863.7101663512,1.2274972769765993
8192,900,26450.778381756234,26446.50237773516,1.0001616850485557
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23306.386903248225,16874.141147700775,1.3811895194691963
4096,1000,26362.731359044552,25339.795717781904,1.0403687406424045
2048,200,6574.957527758996,5118.145442873633,1.2846367109230528
512,800,27183.93176488407,21229.958775728857,1.2804514625794794
128,200,35566.97707144959,28092.671302858154,1.266058919353497
2048,800,29999.246230485132,26497.37844693629,1.132159028130337
512,100,54115.6493192907,52844.49103612885,1.0240546981953669
1024,100,6968.969979095772,6901.431727873591,1.0097861217621564
512,900,32273.15095624367,24134.145646769488,1.3372402499180094
256,800,72923.04545628194,46337.580997070676,1.5737344049291635
1024,100,18338.684997095872,16558.912626923186,1.107481234442831
1024,700,30045.674689782576,15601.0663687365,1.9258731409535
256,300,22011.751238467798,17275.812740351696,1.2741369433262153
1024,600,72831.78894898434,70364.7320429823,1.0350609862977243
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,4936.697177256837,3799.3333703103463,1.2993587811573337
4096,900,16021.179309999721,12984.521812166118,1.2338674879030465
512,900,49115.76772870109,39234.60108057627,1.2518482761639866
4096,100,52845.76790741077,52844.49103612885,1.0000241628078328
8192,700,31679.85482662815,31347.334171878083,1.0106076214623818
1024,400,18797.80372430882,16121.07512688779,1.1660390871174966
256,700,48942.31165701104,38261.990551516115,1.2791365778817727
256,400,29042.389494524054,22632.15194254064,1.2832358835455844
512,500,25865.301667368887,16731.4559896685,1.5459085977538622
256,900,64735.533086590345,47728.093563071816,1.3563402234167075
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,43224.11282523033,40846.09768688062,1.0582189064076373
4096,800,29816.25949856366,26497.37844693629,1.1252531852641108
4096,800,35341.246192582,29394.111289795015,1.2023240248413871
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.65213087495,15601.0663687365,1.6277510479517059
4096,800,13016.705062099529,12582.997544262242,1.0344677423890187
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,40452.38703773023,37353.09082643066,1.0829729519760796
256,100,9496.450997674508,4829.618848163767,1.9662940899125159
128,600,90381.0021327402,70900.57950763027,1.2747568885951555
2048,900,36825.57242539209,35054.15888407378,1.0505336199101647
8192,1000,8609.967138213582,7701.877971338275,1.1179049019284213
4096,300,7813.2984147359375,7534.510577709549,1.0370014527355191
256,500,35648.52129438713,27381.290499521965,1.3019299179857684
