eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,3.5,5.908005211699433,5.908005211699433,0.4,3.5
2,0.9,1.5,3.3437627501596574,3.3437627501596574,0.9,1.5
3,0.3,3.0,5.310206935808596,3.3437627501596574,0.9,1.5
4,0.1,2.5,4.476490273966856,3.3437627501596574,0.9,1.5
5,0.2,3.5,5.908005211699433,3.3437627501596574,0.9,1.5
6,0.9,4.0,6.0468940454183215,3.3437627501596574,0.9,1.5
7,0.1,1.0,3.362104238200601,3.3437627501596574,0.9,1.5
8,0.1,1.5,3.4237534279266493,3.3437627501596574,0.9,1.5
9,0.9,1.0,22.242228447986644,3.3437627501596574,0.9,1.5
10,0.5,1.5,3.114036935046091,3.114036935046091,0.5,1.5
11,0.9,2.5,4.474500021681061,3.114036935046091,0.5,1.5
12,0.5,2.0,3.7934583692702364,3.114036935046091,0.5,1.5
13,0.9,2.0,3.7934583692702364,3.114036935046091,0.5,1.5
14,0.5,5.0,8.000406650790008,3.114036935046091,0.5,1.5
15,0.1,4.5,6.988207695883336,3.114036935046091,0.5,1.5
16,0.1,2.0,3.797698612691525,3.114036935046091,0.5,1.5
17,0.1,4.0,6.0468940454183215,3.114036935046091,0.5,1.5
18,0.9,3.0,5.310206935808596,3.114036935046091,0.5,1.5
