eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,3.5,2.293438926823901,2.293438926823901,0.4,3.5
2,0.9,1.5,2.352340442842188,2.293438926823901,0.4,3.5
3,0.3,3.0,2.8974049980327696,2.293438926823901,0.4,3.5
4,0.1,2.5,8.52677326694748,2.293438926823901,0.4,3.5
5,0.2,3.5,4.292555767011104,2.293438926823901,0.4,3.5
6,0.9,4.0,2.352340442842188,2.293438926823901,0.4,3.5
7,0.5,3.5,2.273832681874794,2.273832681874794,0.5,3.5
8,0.6,4.0,2.3817685006310327,2.273832681874794,0.5,3.5
9,0.5,1.5,2.273832681874794,2.273832681874794,0.5,3.5
10,0.9,3.5,2.352340442842188,2.273832681874794,0.5,3.5
11,0.7,3.5,2.297659860257752,2.273832681874794,0.5,3.5
12,0.5,1.0,2.3954686458221963,2.273832681874794,0.5,3.5
13,0.5,4.5,2.273832681874794,2.273832681874794,0.5,3.5
14,0.5,5.0,2.273832681874794,2.273832681874794,0.5,3.5
15,0.8,5.0,2.369046034487548,2.273832681874794,0.5,3.5
