P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,38448.104533917474,25339.817846041748,1.517299957226146
256,400,101405.44954055236,48679.56019676214,2.083121727695831
8192,800,86283.06379054353,62137.90128877687,1.3885738333767585
128,1000,367081.32527338184,125295.95783362567,2.9297140276529197
2048,600,128335.8492345045,95460.11175339336,1.3443924051339955
256,900,215394.88876205418,77030.62312975689,2.796224151000633
256,100,31357.88218474482,26193.65899088914,1.197155471698396
4096,300,25059.935271592432,20887.76340872541,1.199742393727238
256,200,49728.11579382783,25775.82693292296,1.929253944916548
2048,400,41197.78349579126,34397.99854935305,1.197679668387744
8192,1000,85375.56131367726,71441.52524391812,1.1950411336010125
1024,500,97828.66014078946,69330.81468246617,1.411041548968419
256,600,161170.74761313276,65997.13135384436,2.4420871681378693
8192,900,61069.96931349999,50985.945546331204,1.1977804600682629
8192,700,87659.27955309227,54661.38833726035,1.6036782493015944
256,1000,233877.21846238436,62174.13220982782,3.761648295678433
8192,900,239964.01421913086,200725.03795784948,1.195486206705918
2048,700,54487.82985652344,45736.33575987692,1.191346638318235
1024,600,99336.21628027692,69645.19944005155,1.4263182111465196
4096,1000,63314.86846322032,51207.743830232605,1.2364315185048198
2048,200,39776.632804503424,33208.183834406,1.197796091555361
512,800,111559.13196247714,58281.74602729851,1.9141350348396238
128,200,78446.24065776195,36920.89002320384,2.1247115280390174
2048,800,102576.17287993182,69914.3129245496,1.4671698624948282
512,100,41443.672115955465,34744.80913128068,1.1928018357897328
1024,100,20845.160225532036,17424.209760559108,1.196333177342509
512,900,132680.28863572353,65527.226447374065,2.0248116062455526
256,800,185752.8803238932,88988.07431158595,2.0873907179235225
1024,100,24843.491640342218,17010.884101954263,1.4604468228366871
1024,700,180379.04269778906,122698.14519501191,1.470104070530987
256,300,92198.6642806362,58817.967607809784,1.5675255033530633
1024,600,77700.2949575759,56839.82740281852,1.3670044141218305
8192,200,60601.06712952136,48832.439654252754,1.2410001949235745
