P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,34883.75766635099,18779.00655706,1.857593348208102
256,400,82400.76791776365,43244.960742362484,1.9054420793367581
8192,800,78652.83394162955,46379.37991347244,1.6958578163047455
128,1000,158483.34696759438,119404.61005167404,1.3272799676579359
2048,600,150431.86509985165,111680.57587899217,1.3469832503625983
256,900,83367.79319121064,51518.201495127876,1.6182201779519576
256,100,22182.132685588032,12924.548421892341,1.7162791272470816
4096,300,35002.610965609645,17279.41691731119,2.0256824135392364
256,200,42091.987576476924,22891.533499154106,1.8387578786730177
2048,400,57707.7976670899,21733.26502109654,2.6552751098867464
8192,1000,90025.172613619,60202.342442558154,1.4953765744167877
1024,500,129452.3235345472,53664.96732667876,2.412231479552059
256,600,133864.3083057752,58028.72573355824,2.306862792755777
8192,900,66250.42847863559,52575.017380802,1.2601123457322378
8192,700,81501.34743059677,35360.41439156067,2.3048753481251163
256,1000,94149.80650285227,58863.710166351215,1.5994541668675168
8192,900,240613.17905499335,149649.57060028278,1.6078440993170393
2048,700,50079.87908481437,41611.35817859911,1.2035146478484966
1024,600,90644.11375877082,43965.34404781527,2.061717375853792
4096,1000,47984.00958852228,33915.21825046568,1.4148223736659407
2048,200,22129.410628724687,12441.910416424595,1.7786183864104663
512,800,93591.04435710813,54149.74440156318,1.7283746283834052
128,200,61114.42273033386,38939.521911435,1.5694702895771038
2048,800,145770.0995543494,71810.48771496736,2.0299277193735974
512,100,67592.33884490246,60573.79424177784,1.1158676733227308
1024,100,15959.255796694544,9640.921141579869,1.6553662831930687
512,900,79049.66225053075,46304.128599874144,1.7071838870701825
256,800,171929.39037871582,86969.02217444926,1.9769037995373389
1024,100,48610.907912076626,20829.72320776272,2.333727982230726
1024,700,228233.21654335497,101971.47650017287,2.238206451222348
256,300,64050.4242031267,35896.699653227304,1.7842984124410508
1024,600,102342.81533636108,86765.25402755744,1.1795368605024317
8192,200,37005.853987568815,18018.92824454402,2.053721147303746
1024,300,31257.020545040097,18573.116360380285,1.6829173919201197
4096,900,102587.82519459518,52757.84825268096,1.9445035874711216
512,900,70754.71668552925,53309.00486140186,1.3272563775948267
4096,100,67592.33884490246,60573.79424177784,1.1158676733227308
8192,700,46921.630900658856,41694.171098573366,1.1253762735737505
1024,400,116364.90710090072,63377.543120814065,1.8360589787944126
256,700,63525.69741663121,38261.990551516115,1.6602820841508474
256,400,49901.27655117828,22632.151942540644,2.2048843025563594
512,500,177957.57126798297,62904.27191045394,2.829022034009244
256,900,74074.06242196016,47728.093563071816,1.5520012825166087
8192,500,139478.13482017416,84889.56492633495,1.643053948282216
8192,300,55093.90389961842,23136.448596413335,2.3812601864989427
1024,800,103995.13957756544,66116.18200423285,1.572915078050144
4096,800,145770.0995543494,71810.48771496736,2.0299277193735974
4096,800,100120.60666819739,64362.85987349461,1.555564915309617
8192,500,111863.9855979716,66624.56129320196,1.679020220571203
4096,700,228233.21654335497,101971.47650017287,2.238206451222348
4096,800,74132.0334713008,43948.578664085064,1.6867902381535211
4096,100,12912.757571043221,8321.239576006265,1.5517829348738246
8192,600,72309.61398626034,60947.46333963169,1.1864253247639316
8192,800,129852.24181651603,62102.16000225037,2.090945658118987
512,300,66127.69409039119,51521.92639179481,1.2834864439564595
256,100,30498.12576831435,17954.53769414384,1.6986305238180428
128,600,93928.99144215611,70900.57950763027,1.3247986419073985
2048,900,210096.2846150855,129752.604791726,1.6192066814560226
8192,1000,49849.19042014645,28498.849543516073,1.7491650090657047
4096,300,30231.87251394292,18481.458954016285,1.6357946950596722
256,500,115060.431792455,66627.75825410518,1.726914349326254
256,700,103970.03646870537,61827.216222082076,1.6816224766654082
128,500,81378.76197120681,53535.80791606614,1.5200809540185343
2048,700,103556.33638999179,69714.60276884174,1.4854324958769654
128,800,150253.3327541446,89245.39881899078,1.6835975270712977
512,300,41108.79919150958,25000.830378077444,1.644297352121423
4096,200,86123.55388654771,53640.79281597229,1.6055607936671517
4096,500,282583.5326644698,173165.7012270452,1.6318678044329462
8192,1000,128555.01940072252,71753.33995595953,1.7916241875239047
128,900,138454.72115822913,103084.41806074536,1.3431197824354097
4096,300,33383.404335253064,19028.50780282153,1.7543889768541392
4096,400,82716.05408798752,45126.38541333707,1.8329864741070276
128,900,145873.6340174858,103160.92321660006,1.4140396331196528
1024,400,43007.7241334772,26611.894241008282,1.6161090880634623
8192,600,45245.98821697365,18661.250273283804,2.424595756145537
128,400,73052.03642667529,46532.57276323225,1.5699118292551708
4096,700,65683.66567889608,36793.786558940206,1.7851836362011013
8192,500,48853.720695922275,27177.07231873392,1.7976079293223217
256,900,74691.81878828967,51088.94408718974,1.4619957433611985
8192,1000,214780.74524623872,94799.79607328854,2.2656245492363127
8192,600,34883.75766635099,18779.00655706,1.857593348208102
4096,900,66866.70149450228,40761.55353335776,1.6404355501264454
8192,700,174424.2484971416,103650.17673083996,1.6828167013172455
128,300,68823.59718854263,32755.432020731212,2.1011353825217003
4096,700,145625.2428476635,80356.03512507299,1.812250226395565
256,100,24859.650657457518,14135.174116163842,1.7587084851703405
2048,500,55953.35083862661,36276.16196639806,1.5424275283161204
512,600,50675.69588639848,30580.976963775065,1.6570986579803113
512,500,54405.29522681575,35496.811911768345,1.5326811704117753
512,400,55069.99833204129,34415.68964887445,1.60014222855599
8192,1000,246866.83682157996,146820.54879419197,1.6814188398630048
128,600,93568.19490597809,69365.62215019029,1.3489130783457033
2048,800,75638.31458485278,42695.059714644456,1.771594069440047
8192,200,25341.940610173002,16319.454371522042,1.552866905550193
512,400,117273.2036845235,68462.06472805722,1.7129662120234366
1024,300,43148.75298785935,16760.521743464207,2.574427792182858
1024,800,129529.94807797135,75591.86163784155,1.7135435650274846
1024,100,27025.70082429449,17347.873752067557,1.5578681981746327
2048,200,43519.57106407847,27814.232772578187,1.5646511417343152
256,100,33849.609741690285,18702.315368100946,1.8099154610249422
1024,700,94728.3811183122,42452.09110493904,2.231418492063189
4096,800,84377.59648694821,44366.085532812314,1.9018490243982455
4096,800,124633.90483052994,78733.61137126268,1.582982193498374
8192,1000,94304.97026497348,45809.33523320091,2.058640881490564
8192,700,106865.6510996757,57793.63501321383,1.8490903206770457
8192,1000,47984.00958852228,33915.21825046568,1.4148223736659407
4096,900,55749.02800690756,32655.352187910106,1.707194204677644
512,700,144501.45079183785,85438.48061711625,1.6912923749124966
1024,200,65235.88032605873,39819.40708715139,1.6382936135457558
4096,700,161643.82391412772,132452.11299022113,1.220394452492138
2048,700,168248.1126559188,91119.24221630921,1.8464608414599446
8192,300,31850.996928189044,19674.24141386905,1.6189186794127768
8192,500,128917.21029063751,53378.57096652857,2.4151491498615805
8192,700,69359.98851538808,49777.7756414471,1.3933926862259387
256,1000,138051.18942939906,90498.72860811553,1.525448937820981
2048,100,54292.01413527479,34300.968848800694,1.5828128463249826
4096,700,127429.0034879123,82072.46511123,1.5526401371667358
1024,800,118044.9797006436,101845.3758611526,1.1590607693527115
1024,400,322727.68132298137,193515.84305327947,1.667706768763769
256,100,26753.19486440641,17587.547381984677,1.5211441529255132
128,900,138656.6742379025,96720.06020199122,1.4335875510036946
512,900,118259.38833968689,72227.30001714897,1.6373225679432637
4096,1000,134260.681555003,90498.72860811553,1.4835642844927555
8192,300,53029.85800952903,25922.78608210399,2.045685129737603
512,500,150316.78537015215,86843.01321389293,1.7309024618932136
128,800,119871.99421979954,79920.49096406845,1.4998906134559775
128,100,38635.60678148906,22982.09428187623,1.6811177566161695
2048,200,42540.407392104746,21228.428234486382,2.0039358035465034
4096,500,106118.8259997921,97935.06095418494,1.0835631791706917
128,400,77784.29520467456,48772.78954290394,1.5948297387470545
1024,700,185732.96604804776,107260.20847207752,1.7316110857308156
128,300,53518.35538824834,36726.85726982461,1.457199427521393
4096,500,162805.89905627564,71401.30747796739,2.2801529104563434
256,500,70585.5136547323,49937.16420129462,1.4134866243146098
512,500,210236.66413518923,147481.94731846493,1.4255077855814786
128,800,133587.75135478048,97370.5352483193,1.371952521510724
128,400,199936.43090111855,125078.80246001596,1.59848373160618
2048,600,118080.74054954055,51282.51062023954,2.302553816523521
4096,100,36502.41444875189,22656.454190491233,1.611126531179434
256,900,311703.1359894048,184098.91857787647,1.6931285550031623
2048,500,47530.733418006595,37441.44378906292,1.2694684982177658
1024,500,70294.35977061883,44576.14394763512,1.576950214742568
128,200,49747.12355555285,27723.977542298137,1.7943718025183892
8192,200,110512.08275698214,67151.768032449,1.645706226284029
2048,800,117972.93318391967,101845.3758611526,1.1583533585732357
512,800,82609.47057175063,52828.81053104514,1.563720056184205
512,800,137046.04534613166,76577.73322810722,1.7896330900511699
1024,600,112564.0991559291,48408.82573041455,2.325280513573927
128,200,40795.96448095685,24735.736732623263,1.649272262311565
2048,600,50675.69588639848,30580.976963775065,1.6570986579803113
8192,500,42370.3081016972,19560.487282935454,2.166117208064699
512,300,70929.43583707788,33160.64237859692,2.138964469604434
512,600,123160.53034883337,44462.8864987731,2.769962547353552
4096,300,127545.12057854769,77306.4040908596,1.6498648731435188
2048,200,16564.075346081805,10040.691196847953,1.6496947293112372
512,800,85426.02440498873,50772.066671360866,1.682539829586555
128,500,288607.72916933656,173629.6110728368,1.6622033959879516
4096,600,129786.29396639332,72740.10717064606,1.7842466696112869
8192,400,82716.05408798752,45126.38541333707,1.8329864741070276
256,100,38479.707636268795,22363.056566867846,1.7206819435085048
2048,1000,72100.92824563007,28109.406843986402,2.565010661584096
2048,500,177952.52722520282,62891.775190494496,2.8295039643291653
2048,1000,165817.66443380987,75796.72432283711,2.1876626716419985
1024,600,34883.75766635099,18779.00655706,1.857593348208102
1024,800,190892.18774272525,112592.55358879731,1.6954246231938963
128,200,54451.496037777695,22186.36413155776,2.4542775785567406
512,100,19935.85835843317,12506.156799285585,1.5940835124961819
4096,900,137058.3429366624,85663.51049156082,1.5999617824460366
8192,900,188156.45143080095,114082.80036744605,1.6492972720232426
8192,300,54971.53491081341,24597.69281353905,2.23482484017997
4096,1000,155653.16200327713,97058.77161015228,1.6037001027426554
128,200,67940.28006173436,34129.72158000343,1.9906485290973044
4096,200,60599.09225705615,38939.460754354994,1.556238609449124
8192,600,172682.69462794106,85848.15788843864,2.0114898079973433
4096,800,92241.26709902637,60650.662845165505,1.5208616488579558
2048,500,79297.39349795713,35523.310698868714,2.2322636020657405
128,300,67983.55079732882,42868.394179046576,1.5858665130628604
128,100,29259.029069999047,17899.559780833548,1.634622830296026
128,400,93486.77020752015,47063.4505065966,1.986398557717664
4096,1000,63540.3789734406,30918.141407431434,2.0551163841358244
2048,800,85336.08405491184,50763.481713515124,1.6810526223655815
2048,100,36313.6925009534,21949.84902967429,1.6543937250712042
128,900,145116.0605655669,102028.33792508653,1.422311325625212
8192,700,51411.57947710411,31684.037608755014,1.6226334570092145
1024,700,126416.32663438239,66320.27242801076,1.906149085433939
512,700,75370.15133528158,61346.24441089266,1.2286025340110116
8192,1000,871696.8693607236,544585.7100480688,1.6006605632082815
8192,1000,85114.02295165496,52314.885183268474,1.6269561264157455
1024,100,49289.646413749855,31319.451246236975,1.5737710736445931
8192,1000,199189.22555305768,120557.43492411824,1.6522351000453204
4096,900,49707.55750178459,31640.39833817212,1.5710155406550492
8192,600,196483.51633631808,122634.8967329771,1.6021827519791334
8192,1000,85195.74903837056,49557.77241888677,1.7191198248027373
2048,100,39921.15674361581,23097.256435111492,1.7283938833068206
512,800,57919.46932138399,38336.594525084816,1.510814146089202
2048,200,38586.75684131115,37946.30536557415,1.0168778348660534
2048,600,82163.2040380189,33916.34753113008,2.4225251248709934
1024,100,46996.95312521072,29554.958545859663,1.5901545946101316
256,700,91668.44383919111,47523.960799855195,1.9288889708761485
128,1000,162583.4452839504,111804.66682439692,1.4541740510645038
1024,800,78426.47566122642,40421.19798120487,1.9402313533036137
1024,800,57753.82679172685,34904.751507598776,1.6546121744815696
1024,1000,101019.07626361985,55735.236402641,1.8124813454425948
8192,600,99524.40636451075,60144.36411673883,1.654758643242718
4096,200,29317.4155484903,15726.677746397436,1.8641836515793133
1024,700,161739.69302459597,132452.11299022113,1.2211182545388093
8192,800,198493.00073446316,107232.14310089932,1.8510587869878958
128,1000,167730.12207006678,109237.63657662571,1.5354609210389771
2048,1000,131133.07853520135,56446.32882143322,2.3231462749338063
1024,1000,152257.94981908475,70250.77350904822,2.1673490869032794
2048,900,128564.92768804982,82690.26725018611,1.5547770247139994
512,600,82911.314210689,28950.864730709705,2.8638631343795615
1024,700,42453.29438529576,29025.881672657724,1.462601372942501
1024,100,27564.076039732576,17402.954696611207,1.5838733433639287
4096,100,30237.23588616516,17809.6328420409,1.6978023159909295
128,700,122536.55100568057,83214.36890509089,1.472540771719823
128,300,60481.97743374498,34512.68583773153,1.7524564074240236
2048,1000,79301.49605396591,71261.14520805598,1.1128293801963902
256,500,82621.8297743034,35523.310698868714,2.3258482429942715
128,500,80803.83887188097,56026.380959696515,1.4422462684143122
2048,400,54417.783989946205,30788.555312709123,1.7674679255730859
128,900,148362.44080188574,103152.02937065497,1.4382891127500432
128,300,49759.98820044124,30815.59640870832,1.6147663520923885
4096,200,48432.56111369972,28939.495392742734,1.6735800143165362
128,500,131492.95286250752,62386.64500506909,2.1077099570240287
256,200,67118.45442829528,34123.56738045935,1.96692372986566
1024,300,33940.01132859415,20366.163083435094,1.6664902067979315
2048,200,104171.31252414068,61372.60518345501,1.6973584910197599
4096,500,189972.6584055618,114521.14245494771,1.6588435491751794
8192,100,23739.968825347965,12056.98525864028,1.9689804968729994
4096,700,94721.58070589298,42452.09110493904,2.23125830178181
1024,500,59151.60485921088,38397.17028659358,1.5405198981515504
2048,1000,95877.23646555972,90612.693267471,1.0580994009586364
8192,1000,272940.8915399442,162392.86932151654,1.6807443127293793
2048,1000,96421.77223529553,60543.78817954,1.5925956259849632
8192,400,51225.76285814016,30165.425795839306,1.698161438357873
128,700,107586.66295129967,75809.96321061933,1.419162579625538
128,1000,509915.89313242654,288023.0601366038,1.7703995398513692
2048,900,89845.01549390807,42076.23356110103,2.1352913008109335
4096,200,43744.806615085276,18050.62303154285,2.4234513422967567
2048,300,81028.63045576165,45111.95494347674,1.7961675692682106
128,100,30702.37478070634,14446.766271911083,2.1252074133988805
128,1000,258250.87726679762,110076.46947736123,2.3461042899809805
4096,300,33536.03743734173,20570.96909448887,1.6302604550762902
256,200,41691.12248426913,27723.977542298137,1.503792968402946
4096,400,112849.83308317629,66926.42590403692,1.68617749355071
2048,200,55200.614857783905,32540.902931029297,1.6963455185857026
256,1000,320661.6811481305,194547.19755313522,1.6482462105913942
