P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,122406.76191629282,32086.250269673834,3.814928852312325
256,400,193751.9177255343,69344.18366491112,2.794061556219239
8192,800,204242.8663802595,68639.61815064191,2.9755827885290977
128,1000,209806.02346293157,125295.95783362567,1.6744835754519922
2048,600,385803.7748203878,191374.78812730435,2.0159592524995897
256,900,239211.89314940159,79309.82918527524,3.0161695669597273
256,100,74589.11354125495,27744.76099020595,2.688403535629134
4096,300,58378.52480181169,24265.13520631133,2.405860272586798
256,200,96467.96580592809,32996.77807816611,2.92355712965081
2048,400,125777.06326844882,49006.50439213838,2.566538153017622
8192,1000,220081.78735580575,97895.23348711745,2.2481358848259703
1024,500,298652.4651171155,103433.70181766388,2.887380610660047
256,600,350078.6363173768,107515.86756387605,3.2560648418652463
8192,900,147837.5962002083,76055.59330000391,1.943809650094475
8192,700,246034.97731188772,80626.46962808013,3.0515409944999012
256,1000,183171.2476097822,66688.81108753479,2.7466563674280264
8192,900,695112.51819714,294265.0674249581,2.3621985588704097
2048,700,123466.27860101411,53921.858220267735,2.2897259604196383
1024,600,249564.0042291896,87981.12037524463,2.836563153149045
4096,1000,149201.00117739532,57823.110280004155,2.580300514014214
2048,200,97966.57484754206,43211.18708703341,2.2671576841946877
512,800,213671.89448432298,76745.1936743743,2.784172978843747
128,200,152220.31151128438,55080.46923257345,2.763598669948593
2048,800,318060.51986862725,91530.45019922058,3.4749148417423132
512,100,131778.43095761654,81541.92332472774,1.6160819561838136
1024,100,59416.32657617527,26126.125239736124,2.274211197832235
512,900,203278.7888039031,83768.9354752691,2.426660762137972
256,800,366436.36238297645,140690.70674223357,2.6045527161530484
1024,100,82916.49214744901,26128.92828146623,3.1733598582481215
1024,700,622984.9639344565,209079.4040392636,2.979657258911377
256,300,196664.86636807898,73378.01257741736,2.6801607110929586
1024,600,195271.50152777453,121589.27436436518,1.6059928192564639
8192,200,159966.4403444844,66804.37457564907,2.3945503772861296
1024,300,153438.42765715145,60661.299768006524,2.52942861831122
4096,900,281709.23634081444,83867.31024046338,3.3589873758094897
512,900,207865.9714792434,83934.36071927342,2.4765301087414153
4096,100,131778.43095761654,81541.92332472774,1.6160819561838136
8192,700,76874.26295823828,48366.36010081021,1.5894159245808228
