P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4845.514768099302,4118.24998149955,1.1765955903276515
256,400,33370.33710833268,23531.7252532983,1.4180998948921248
8192,800,15314.05652863922,14795.02099803586,1.0350817704599584
128,1000,163449.75232648893,119404.61005167401,1.3688730464908665
2048,600,93200.23220681319,91443.0979502153,1.0192156028829484
256,900,68235.78848167376,51518.201495127876,1.3244986529300113
256,100,6043.8490686609985,4679.130547151785,1.2916607065686434
4096,300,1245.6299728446274,942.5154884959478,1.3216015949322861
256,200,17096.06735412681,11080.525409985707,1.5428932042085237
2048,400,16862.027105164412,16659.391108001237,1.012163469591986
8192,1000,31786.444591159674,31785.267802615333,1.000037023080996
1024,500,17452.19484824946,10972.920970408175,1.5904784965930785
256,600,51433.377564882496,34696.429261633115,1.4823824427880505
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,78981.10168667132,58863.7101663512,1.3417622073679618
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23100.62948202128,16874.141147700775,1.3689958665048212
4096,1000,26553.166399143785,25339.795717781904,1.04788399618038
2048,200,6277.348043397688,5118.145442873633,1.2264887962764124
512,800,29825.004111873386,21229.958775728857,1.4048545466781976
128,200,38345.454637769675,28092.671302858154,1.36496291948813
2048,800,30196.565065968083,26497.37844693629,1.1396057586013573
512,100,54086.46613909269,52844.49103612885,1.023502451790381
1024,100,7041.384263004037,6901.431727873591,1.0202787683264625
512,900,36121.140837919025,24134.145646769488,1.4966819777502285
256,800,73714.91600523256,46337.580997070676,1.5908235695318795
1024,100,18686.546511532084,16558.912626923186,1.1284887439498636
1024,700,33015.19628351601,15601.0663687365,2.116214078139958
256,300,23657.452136864467,17275.812740351696,1.3693973471712253
1024,600,73967.51594123026,70364.7320429823,1.0512015578492817
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5687.8319591048885,3799.3333703103463,1.497060511602403
4096,900,16029.37499108379,12984.521812166118,1.2344986764213939
512,900,51874.13890264461,39234.60108057627,1.3221528312753956
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31666.028577195917,31347.334171878083,1.0101665552665635
1024,400,20055.013715734785,16121.07512688779,1.2440245801153618
256,700,52266.34054881896,38261.990551516115,1.3660120604140373
256,400,31877.212257120063,22632.15194254064,1.4084923226943302
512,500,27015.51292234156,16731.4559896685,1.6146540348325549
256,900,62310.986071777785,47728.093563071816,1.3055410643929228
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44627.16458669258,40846.09768688062,1.0925686201114484
4096,800,29728.71743232389,26497.37844693629,1.1219493842328094
4096,800,35257.361306005056,29394.111289795015,1.199470225801507
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.58127043795,15601.0663687365,1.6277465059264797
4096,800,13010.33542965949,12582.997544262242,1.0339615329252059
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41911.46065726259,37353.09082643066,1.1220346089166595
256,100,7067.313206811,4829.618848163767,1.4633273202290091
128,600,96928.81037731994,70900.57950763027,1.3671088593413898
2048,900,36924.18610590262,35054.15888407378,1.0533468005326594
8192,1000,8698.577738159313,7701.877971338275,1.1294099660537535
4096,300,7791.32631773949,7534.510577709549,1.0340852584094469
256,500,38230.342738175415,27381.290499521965,1.3962213628624573
256,700,89648.65711966404,52807.571677195476,1.6976477855803034
128,500,70549.56778175826,53535.80791606614,1.3178014963810099
2048,700,72628.78588905932,69459.09380371566,1.04563393951411
128,800,122239.79006504489,89245.39881899078,1.3697041156482919
512,300,12462.412037551896,8874.280036111113,1.404329363828953
4096,200,5917.549620729871,5846.530584549667,1.01214721023916
4096,500,31281.94741052828,31281.94741052828,1.0
8192,1000,18419.55274783386,11706.78763223605,1.5734079515642192
128,900,138864.10556455006,103084.41806074536,1.3470911334312479
4096,300,11511.247397071613,11243.031887069747,1.0238561548785015
4096,400,16081.464921686897,16058.873985478984,1.0014067571753997
128,900,137741.39355448016,103160.92321660006,1.33520900414272
1024,400,19728.15199103042,19518.106129237913,1.0107615903101306
8192,600,6183.7050416895545,6143.604662733954,1.0065271743800253
