eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.74,2.6,4.441469422096922,4.441469422096922,0.74,2.6
2,0.76,1.6,2.9081509186245467,2.9081509186245467,0.76,1.6
3,0.1,1.8,3.2900058010551483,2.9081509186245467,0.76,1.6
4,0.38,2.8,4.985088447511167,2.9081509186245467,0.76,1.6
5,0.18,2.4,4.029483574612439,2.9081509186245467,0.76,1.6
6,0.52,1.4,2.698761624978904,2.698761624978904,0.52,1.4
7,0.12,3.8,5.801842947226616,2.698761624978904,0.52,1.4
8,0.54,4.8,7.586401396440739,2.698761624978904,0.52,1.4
9,0.82,2.4,4.029483574612439,2.698761624978904,0.52,1.4
10,0.28,1.8,3.2900058010551483,2.698761624978904,0.52,1.4
11,0.56,2.8,4.985088447511167,2.698761624978904,0.52,1.4
12,0.6,1.0,7.972847811745682,2.698761624978904,0.52,1.4
13,0.9,4.0,6.351835405428835,2.698761624978904,0.52,1.4
14,0.64,4.0,6.351835405428835,2.698761624978904,0.52,1.4
15,0.24,3.6,5.605645838639343,2.698761624978904,0.52,1.4
16,0.7,4.8,7.586401396440739,2.698761624978904,0.52,1.4
17,0.44,4.6,7.375127747432227,2.698761624978904,0.52,1.4
18,0.74,5.0,7.933394597841402,2.698761624978904,0.52,1.4
19,0.52,2.6,4.441469422096922,2.698761624978904,0.52,1.4
20,0.14,2.4,4.029483574612439,2.698761624978904,0.52,1.4
21,0.1,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
22,0.12,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
23,0.14,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
24,0.16,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
25,0.18,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
26,0.2,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
27,0.22,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
28,0.24,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
29,0.26,1.4,2.5874464912921824,2.5874464912921824,0.1,1.4
30,0.1,1.6,2.9081509186245467,2.5874464912921824,0.1,1.4
31,0.28,1.4,2.6008273860043296,2.5874464912921824,0.1,1.4
