eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.5,2.6,4.7518509520355305,4.7518509520355305,0.5,2.6
2,0.32,1.8,3.490123482163116,3.490123482163116,0.32,1.8
3,0.46,3.4,6.0107447149965925,3.490123482163116,0.32,1.8
4,0.9,1.6,3.351972230064431,3.351972230064431,0.9,1.6
5,0.36,2.6,4.7518509520355305,3.351972230064431,0.9,1.6
6,0.26,4.2,7.861049825159607,3.351972230064431,0.9,1.6
7,0.28,4.8,8.68938919012673,3.351972230064431,0.9,1.6
8,0.64,4.8,8.68938919012673,3.351972230064431,0.9,1.6
9,0.68,1.8,3.490123482163116,3.351972230064431,0.9,1.6
10,0.34,4.0,7.731658665217852,3.351972230064431,0.9,1.6
11,0.38,3.4,6.0107447149965925,3.351972230064431,0.9,1.6
12,0.46,1.4,2.8900771852140412,2.8900771852140412,0.46,1.4
13,0.68,3.4,6.0107447149965925,2.8900771852140412,0.46,1.4
14,0.38,4.2,7.861049825159607,2.8900771852140412,0.46,1.4
15,0.26,1.2,3.3209266102297663,2.8900771852140412,0.46,1.4
16,0.36,1.8,3.490123482163116,2.8900771852140412,0.46,1.4
17,0.84,3.6,6.487010022912839,2.8900771852140412,0.46,1.4
18,0.6,4.8,8.68938919012673,2.8900771852140412,0.46,1.4
19,0.7,3.8,7.248274011779965,2.8900771852140412,0.46,1.4
20,0.4,3.0,5.830942697237684,2.8900771852140412,0.46,1.4
21,0.9,1.4,2.8900771852140412,2.8900771852140412,0.46,1.4
22,0.1,1.4,8.542921953419514,2.8900771852140412,0.46,1.4
23,0.58,1.0,2.4082917118141536,2.4082917118141536,0.58,1.0
24,0.78,1.0,2.333497180043287,2.333497180043287,0.78,1.0
25,0.4,1.0,2.3018377561435326,2.3018377561435326,0.4,1.0
26,0.38,1.0,2.3295032736677506,2.3018377561435326,0.4,1.0
27,0.7,1.0,2.2987253373671193,2.2987253373671193,0.7,1.0
28,0.42,1.0,2.2886509477545998,2.2886509477545998,0.42,1.0
29,0.36,1.0,2.4237236277979086,2.2886509477545998,0.42,1.0
30,0.68,1.0,2.312361899299464,2.2886509477545998,0.42,1.0
31,0.76,1.0,2.330092830863526,2.2886509477545998,0.42,1.0
32,0.66,1.0,2.3215554398448,2.2886509477545998,0.42,1.0
33,0.72,1.0,2.3210193496741285,2.2886509477545998,0.42,1.0
34,0.44,1.0,2.287769842209554,2.287769842209554,0.44,1.0
35,0.58,1.2,2.541858937142586,2.287769842209554,0.44,1.0
36,0.64,1.0,2.333459566973824,2.287769842209554,0.44,1.0
37,0.1,2.2,8.548981501494858,2.287769842209554,0.44,1.0
38,0.46,1.0,2.2986967726732583,2.287769842209554,0.44,1.0
39,0.48,1.0,2.225564983785908,2.225564983785908,0.48,1.0
40,0.9,1.0,2.3495903653884427,2.225564983785908,0.48,1.0
41,0.5,1.0,2.225381627605596,2.225381627605596,0.5,1.0
42,0.86,1.0,2.3460403577090183,2.225381627605596,0.5,1.0
43,0.52,1.0,2.5828307428710247,2.225381627605596,0.5,1.0
44,0.74,1.0,2.3091069873884402,2.225381627605596,0.5,1.0
45,0.8,1.0,2.3662998112656544,2.225381627605596,0.5,1.0
46,0.62,1.0,2.3578262990141154,2.225381627605596,0.5,1.0
47,0.82,1.0,2.3641059241127964,2.225381627605596,0.5,1.0
48,0.84,1.0,2.3546754854732552,2.225381627605596,0.5,1.0
49,0.6,1.0,2.3817685006310327,2.225381627605596,0.5,1.0
50,0.88,1.0,2.352272339180589,2.225381627605596,0.5,1.0
51,0.54,1.0,2.5092664031662606,2.225381627605596,0.5,1.0
