P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,44334.40119080778,25339.817846041748,1.7495943127994156
256,400,90262.6131743937,48679.56019676214,1.8542199808205622
8192,800,99981.52312423268,62137.90128877687,1.6090263921142602
128,1000,318552.318055465,125295.95783362567,2.5423990012387705
2048,600,147538.55081375653,95460.11175339336,1.5455518342037968
256,900,168520.65875620022,77030.62312975689,2.1877099250817404
256,100,35459.51637162489,26193.65899088914,1.353744292996968
4096,300,28959.154707084293,20887.76340872541,1.3864172118584623
256,200,48254.60280828133,25775.82693292296,1.8720874769160818
2048,400,46974.08238288142,34397.99854935305,1.3656051038982586
8192,1000,98271.67477836485,71441.52524391812,1.3755539854845247
1024,500,111358.8710277626,69330.81468246617,1.6061959106897004
256,600,147211.81873560636,65997.13135384436,2.2305790526913745
8192,900,70138.56944741515,50985.945546331204,1.3756451644832173
8192,700,101734.10670865799,54661.38833726035,1.861169461722401
256,1000,194515.7147927822,62174.13220982782,3.128563405377699
8192,900,277251.44792600675,200725.03795784948,1.381249946427845
2048,700,62851.2404092242,45736.33575987692,1.3742080419210507
1024,600,110044.82111875698,69645.19944005155,1.5800776220546282
4096,1000,72919.73842059878,51207.743830232605,1.4239982660112356
2048,200,45307.17506270248,33208.183834406,1.3643376370303357
512,800,100075.7677927578,58281.74602729851,1.7171031174303433
128,200,73015.58525057152,36920.89002320384,1.9776225655633728
2048,800,116687.42080352221,69914.3129245496,1.6690061866080184
512,100,47784.11155407022,34744.80913128068,1.3752877839541875
1024,100,24100.984452412908,17424.209760559108,1.3831895267334957
512,900,105280.6017620412,65527.226447374065,1.606669585604904
256,800,170635.6416345763,88988.07431158595,1.9175113401949424
1024,100,28265.990061255237,17010.884101954263,1.6616414462554567
1024,700,203668.87266878792,122698.14519501191,1.6599181050788023
256,300,96418.50738778534,58817.967607809784,1.6392696196286627
1024,600,82689.32112123397,56839.82740281852,1.4547778362383565
8192,200,69860.31096328415,48832.439654252754,1.4306127536923112
1024,300,71665.97805677686,51334.02512144949,1.3960716676166474
4096,900,120762.69581473387,68798.33552250691,1.7553142077867157
512,900,96182.58711272242,70503.79592528375,1.364218562283536
4096,100,47778.5010095568,34460.69141352587,1.3864637954072991
8192,700,34236.07934932296,24919.342184621364,1.3738757265611647
1024,400,112000.44306243377,71121.47502380062,1.574776718634605
256,700,121286.38982469501,46686.09352875527,2.5979125828977603
256,400,110539.08707205331,59315.77823058138,1.863569700499399
512,500,192887.5955041402,104189.08387589059,1.8513225025944824
256,900,163691.48848199667,57244.69321120439,2.8595050353061837
8192,500,134227.61197349743,87191.89492611904,1.5394505657576718
8192,300,61582.48607317961,37997.38137569971,1.6207034233301973
1024,800,105829.50320244422,76586.05734526525,1.3818377243960174
4096,800,116148.39684866206,69744.6297416748,1.6653382099648515
4096,800,108032.637349785,49156.66889863417,2.1977208743041317
8192,500,128747.77447398705,93303.02350633578,1.3798885570438602
4096,700,200880.69889727622,121247.84298185878,1.656777505949794
4096,800,59784.66950178616,43369.83132383738,1.3784851745302196
4096,100,34198.98961087052,25235.008428580157,1.3552200589771992
8192,600,65970.11045100045,37566.49697046091,1.7560889561481796
8192,800,174725.44235870705,84971.24391877686,2.056289096176176
512,300,67309.18648020175,47234.241688785194,1.4250083006240564
256,100,76541.36192153282,56270.53628076332,1.3602387142647385
128,600,198754.9466902458,74899.47399565695,2.653622730404897
2048,900,216959.379433411,156586.64072292217,1.385554849582076
8192,1000,62442.028800286054,45312.78094590863,1.3780224364252809
4096,300,57075.101433648655,41796.45799396132,1.3655487611389168
256,500,142107.68070303183,95166.34282014595,1.4932556667812686
256,700,123953.93439204026,47967.297444383694,2.584134212184046
128,500,144850.41254511185,56182.17500713485,2.5782272140001092
2048,700,68102.68601468939,48971.50074361899,1.390659566902556
128,800,233012.31500637942,93497.3020055607,2.492182234226621
512,300,42081.88140762804,28600.5958497807,1.4713638005535017
4096,200,79838.66334116623,50831.013653404065,1.5706683302747706
4096,500,328618.51426813315,237564.50729901434,1.383281189620267
8192,1000,166369.83827898314,112393.23827909636,1.4802477517895816
128,900,293483.5138309559,109443.21737422631,2.681605318924686
4096,300,38618.310695346365,27866.80417099782,1.3858177083520076
4096,400,105701.8747848732,56915.493482307924,1.8571722446319547
128,900,299152.09573018725,109318.34627419793,2.736522330660203
1024,400,60371.97179957594,44207.66491546582,1.365644892464228
8192,600,45382.601459702695,32734.27780938007,1.3863938506289033
128,400,136368.87945272733,81480.70461614145,1.673634022866715
4096,700,94708.83545812863,53915.74341202593,1.7566081716496147
8192,500,79839.73707582084,54509.002824173345,1.4647073499648386
256,900,175304.58758801094,64837.41435415292,2.703756609269883
8192,1000,207405.2802270389,124535.58998606945,1.6654297799547844
8192,600,44312.16347285261,25325.579367516788,1.749699891552668
4096,900,63733.64514941186,44998.63267930536,1.4163462610881206
8192,700,256166.50149156945,185768.68163866145,1.3789541877130762
128,300,96660.83690480754,38152.527144095155,2.533536940809639
4096,700,143948.21727724813,86344.15596057125,1.6671448771006756
256,100,23077.079596399617,14891.07425106187,1.5497256415032656
2048,500,52358.9592200977,38078.8838745444,1.3750129702488334
512,600,81678.09853081348,50523.437090590436,1.61663780681353
512,500,55389.32594143148,33156.78306802833,1.6705277417229611
512,400,78624.15763670558,57470.31142497088,1.3680830273445037
8192,1000,208589.88435613087,150569.03775101455,1.3853438095358046
128,600,175648.48060648842,72849.63176490327,2.4111100681103306
2048,800,115904.29153008084,41519.7534269463,2.791545757467312
8192,200,37159.07746782255,26972.824218293383,1.377648746274804
512,400,152803.44813232115,109009.50865491609,1.4017442149568853
1024,300,60732.06596196895,35788.66352580134,1.696963786261116
1024,800,162961.88679181525,105506.57662913551,1.5445661493182552
1024,100,14055.876708145282,10211.848879179503,1.3764281938017318
2048,200,55267.1335382778,40359.96560634527,1.3693553180230873
256,100,62779.16806421452,37681.884279448226,1.6660304882485508
1024,700,137589.18536391892,66874.51640802078,2.05742325708118
4096,800,76211.50010754631,46857.31231092819,1.6264590594064452
4096,800,176380.29010329628,127268.05412448723,1.385896023292459
8192,1000,120782.02652337904,61631.005637657836,1.9597607612227357
8192,700,165677.6413716378,116555.24523591898,1.4214516132353407
8192,1000,72897.46463587938,51177.51428416821,1.424404167641066
4096,900,85521.71025363807,60367.665223331875,1.4166807667192047
512,700,174232.70020062404,123260.96281991307,1.4135270098058683
1024,200,43178.758522042226,30960.64519433914,1.39463367933744
4096,700,103601.16031525539,65060.34510421777,1.5923856559521856
2048,700,164071.6016471025,89844.51474818445,1.8261727174659599
8192,300,38087.37886069753,27325.43722463806,1.3938433463145443
8192,500,126617.6509703571,68815.17228508745,1.839967070718149
8192,700,87116.46621863026,46993.19158217273,1.8538103773245025
256,1000,186748.92464235844,111749.61276708746,1.6711371074867816
2048,100,66336.48868199218,47958.62701914873,1.383202414354056
4096,700,135599.68045066393,86817.79328982205,1.561888125836075
1024,800,97743.34246118419,53472.408401124616,1.8279210789976028
1024,400,354270.5609671049,257567.86842644215,1.3754454821226263
256,100,17736.719981286282,13011.59979464646,1.3631467506850268
128,900,254839.09049470656,102373.53702350879,2.4893062983277208
512,900,180550.27325917827,114159.9168451615,1.581555753093829
4096,1000,150598.5518374735,109849.57632880178,1.370952504966445
8192,300,67366.52682581886,34770.69707161906,1.9374511441936417
512,500,201687.8666590921,134723.51647863665,1.4970501953240962
128,800,216134.29528379996,84426.00544789649,2.5600440780914036
128,100,38564.874789786714,26068.19735827815,1.4793840272020249
2048,200,46972.58526424834,20752.375075557742,2.2634799676290016
4096,500,48165.120025372584,35418.499695506645,1.3598859477236138
128,400,155415.71700037716,51327.80354104017,3.027905078309291
1024,700,247430.76163547163,145939.20363147225,1.6954372470079204
128,300,122030.89978184382,46426.00783958498,2.6285029762519145
4096,500,184166.88476332513,110169.6014202929,1.6716669788132879
256,500,111324.28199146621,40888.66155932382,2.7226198595410125
512,500,157796.7057344885,114576.28797187006,1.3772195672217065
128,800,302650.6630217282,103240.3095790912,2.931516422758022
128,400,207854.08021120875,142772.5734921948,1.455840397963912
2048,600,103727.27311196264,51881.5556249558,1.9993092316235075
4096,100,43375.561495200265,31218.56877485844,1.3894154407915182
256,900,430832.1127365111,303266.1858379448,1.4206401269105986
2048,500,44360.95429671578,24114.557614326197,1.8395922913535607
1024,500,102364.43529578709,69563.61906013438,1.4715225670949923
128,200,72827.33933221045,25374.187301930957,2.870134852621205
8192,200,137637.42319801028,99756.89480744647,1.3797284234205751
2048,800,96226.20958504372,53333.70966416959,1.8042286987152887
512,800,77123.03261906226,36819.879889469856,2.0946030473369017
512,800,217266.92257154582,117323.0806231038,1.851868544685662
1024,600,133188.84406063988,74481.33456651334,1.788217743892593
128,200,94959.42429965247,60040.30731987671,1.581594574353812
2048,600,68271.17768528366,50265.19690701414,1.358219640750217
8192,500,57798.96415490702,34006.78819154014,1.699630198222767
512,300,50661.53628807,24111.71881778852,2.10111675036183
512,600,169954.3946058626,94447.6501421378,1.799456040992993
4096,300,155545.60482457388,112569.83265804852,1.3817698858722847
2048,200,17703.89334297252,12653.47289062971,1.399133146765012
512,800,111704.29105522482,66646.61187663602,1.6760685638752546
128,500,347655.39771640644,253115.47456998134,1.3735051098991053
4096,600,111969.11723364003,71456.619906994,1.56695233246935
8192,400,105697.76257412555,56844.504840111076,1.8594191799440611
256,100,65778.47021514982,47410.329663996534,1.3874290830992064
2048,1000,82735.62180250535,41036.23401408571,2.0161602006194403
2048,500,187222.86709985844,102237.81420332319,1.8312487268900637
2048,1000,280580.8952213174,186143.3911687721,1.5073373997303021
1024,600,49739.79365737141,25425.24871719152,1.9563149297233573
1024,800,225396.7273808649,163828.9339260643,1.3758053719777366
128,200,96843.37738931923,50493.626094343745,1.9179327150792116
512,100,23770.618638551576,16101.63022849706,1.4762864567888132
4096,900,133679.57319627365,97276.29608484646,1.3742255675491126
