P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4908.446390753035,4118.24998149955,1.191876746871436
256,400,31228.150429985522,23531.7252532983,1.3270659118208283
8192,800,15314.05652863922,14795.02099803586,1.0350817704599584
128,1000,148173.1077956815,119404.61005167401,1.2409328897063316
2048,600,93305.79104691048,91443.0979502153,1.0203699692863566
256,900,60879.81878596124,51518.201495127876,1.1817147536044847
256,100,6066.380940027445,4679.130547151785,1.2964761036043517
4096,300,1247.4265007967267,942.5154884959478,1.3235076940617192
256,200,16439.368118706414,11080.525409985707,1.4836271305231925
2048,400,17099.3003700659,16659.391108001237,1.02640608286418
8192,1000,31786.444591159674,31785.267802615333,1.000037023080996
1024,500,16158.258494008327,10972.920970408175,1.4725576296032747
256,600,48254.773833433246,34696.429261633115,1.3907706026335334
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,69673.29022619502,58863.7101663512,1.1836374232833016
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23018.27389725661,16874.141147700775,1.3641152871589568
4096,1000,26545.379531295228,25339.795717781904,1.0475766982078438
2048,200,6470.297387508657,5118.145442873633,1.2641878703384102
512,800,26553.473448947007,21229.958775728857,1.2507548285635042
128,200,38536.44991623326,28092.671302858154,1.3717616776555013
2048,800,30701.121776576292,26497.37844693629,1.1586475182085816
512,100,54033.9429641852,52844.49103612885,1.0225085321995653
1024,100,7026.409473301318,6901.431727873591,1.0181089591776973
512,900,31458.055342016276,24134.145646769488,1.3034667065675531
256,800,73794.09354804522,46337.580997070676,1.5925322807142277
1024,100,18222.956381727585,16558.912626923186,1.1004923325761635
1024,700,30350.748900699975,15601.0663687365,1.9454278434146566
256,300,22277.2114782738,17275.812740351696,1.289502949186302
1024,600,73379.95681880515,70364.7320429823,1.0428513644304223
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,4656.935667253979,3799.3333703103463,1.2257244135629983
4096,900,16016.296969556111,12984.521812166118,1.2334914755620272
512,900,48544.41869329588,39234.60108057627,1.2372858995966338
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31666.028577195917,31347.334171878083,1.0101665552665635
1024,400,19423.404212998226,16121.07512688779,1.204845462236113
256,700,47004.1273964863,38261.990551516115,1.22848097338793
256,400,28654.452921058764,22632.15194254064,1.2660949340481527
512,500,27008.889756835575,16731.4559896685,1.61425818371774
256,900,63519.08821245414,47728.093563071816,1.3308532453431188
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,42926.7163711373,40846.09768688062,1.0509380039240557
4096,800,29714.013909243167,26497.37844693629,1.121394479410426
4096,800,35335.851052601196,29394.111289795015,1.2021404799154116
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25422.88045877025,15601.0663687365,1.629560432466079
4096,800,13019.262530878863,12582.997544262242,1.0346709903647366
