eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.42,0.6,2.2886509477545998,2.2886509477545998,0.42,0.6
2,0.58,0.6,2.4082917118141536,2.2886509477545998,0.42,0.6
3,0.3,0.3,2.8974049980327696,2.2886509477545998,0.42,0.6
4,0.28,0.5,3.1295110031367868,2.2886509477545998,0.42,0.6
5,0.62,0.0,2.3578262990141154,2.2886509477545998,0.42,0.6
6,0.7,0.85,2.2987253373671193,2.2886509477545998,0.42,0.6
7,0.86,1.0,165.01219809326884,2.2886509477545998,0.42,0.6
8,0.22,0.35,3.858106869765955,2.2886509477545998,0.42,0.6
9,0.64,1.0,165.01219809326884,2.2886509477545998,0.42,0.6
10,0.68,0.35,2.312361899299464,2.2886509477545998,0.42,0.6
11,0.2,0.4,4.292555767011104,2.2886509477545998,0.42,0.6
12,0.9,0.2,2.3495903653884427,2.2886509477545998,0.42,0.6
13,0.48,0.85,2.225564983785908,2.225564983785908,0.48,0.85
14,0.42,0.75,2.2886509477545998,2.225564983785908,0.48,0.85
15,0.9,0.35,2.3495903653884427,2.225564983785908,0.48,0.85
16,0.5,0.6,2.225381627605596,2.225381627605596,0.5,0.6
17,0.56,0.5,2.4647251958860954,2.225381627605596,0.5,0.6
18,0.46,0.55,2.2986967726732583,2.225381627605596,0.5,0.6
19,0.68,0.1,2.312361899299464,2.225381627605596,0.5,0.6
20,0.1,0.85,8.52677326694748,2.225381627605596,0.5,0.6
21,0.9,0.8,2.3495903653884427,2.225381627605596,0.5,0.6
22,0.1,0.0,8.52677326694748,2.225381627605596,0.5,0.6
23,0.9,0.7,2.3495903653884427,2.225381627605596,0.5,0.6
24,0.9,0.05,2.3495903653884427,2.225381627605596,0.5,0.6
25,0.1,0.2,8.52677326694748,2.225381627605596,0.5,0.6
26,0.9,0.15,2.3495903653884427,2.225381627605596,0.5,0.6
27,0.9,0.3,2.3495903653884427,2.225381627605596,0.5,0.6
28,0.9,0.0,2.3495903653884427,2.225381627605596,0.5,0.6
29,0.88,0.8,2.352272339180589,2.225381627605596,0.5,0.6
30,0.48,0.8,2.225564983785908,2.225381627605596,0.5,0.6
