eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.64,0.4,2.761369275713999,2.761369275713999,0.64,0.4
2,0.12,0.1,2.5719693280518756,2.5719693280518756,0.12,0.1
3,0.3,0.3,2.63901952088621,2.5719693280518756,0.12,0.1
4,0.72,0.45,2.80668668191845,2.5719693280518756,0.12,0.1
5,0.84,0.9,4.438460060302649,2.5719693280518756,0.12,0.1
6,0.9,0.3,3.8668309387394952,2.5719693280518756,0.12,0.1
7,0.58,1.0,38.99262825088499,2.5719693280518756,0.12,0.1
8,0.6,0.05,2.475190657398536,2.475190657398536,0.6,0.05
9,0.52,0.75,3.5347294319673623,2.475190657398536,0.6,0.05
10,0.34,0.95,5.262706968154325,2.475190657398536,0.6,0.05
11,0.34,0.0,2.4637977798705224,2.4637977798705224,0.34,0.0
12,0.6,1.0,38.99262825088499,2.4637977798705224,0.34,0.0
13,0.32,0.85,4.033685022358836,2.4637977798705224,0.34,0.0
14,0.26,0.85,4.033685022358836,2.4637977798705224,0.34,0.0
15,0.12,0.45,2.80668668191845,2.4637977798705224,0.34,0.0
16,0.7,0.55,2.94336315071382,2.4637977798705224,0.34,0.0
17,0.48,0.8,3.6622889516271515,2.4637977798705224,0.34,0.0
18,0.84,0.25,2.990244697830154,2.4637977798705224,0.34,0.0
19,0.2,0.7,3.229893944259603,2.4637977798705224,0.34,0.0
20,0.66,0.95,5.262706968154325,2.4637977798705224,0.34,0.0
21,0.34,0.15,2.523578292462575,2.4637977798705224,0.34,0.0
22,0.54,0.5,2.8880697966020024,2.4637977798705224,0.34,0.0
23,0.34,0.2,2.552105932257039,2.4637977798705224,0.34,0.0
24,0.1,0.35,2.996520557295312,2.4637977798705224,0.34,0.0
25,0.34,0.6,3.050620759410824,2.4637977798705224,0.34,0.0
26,0.34,0.65,3.155489126588991,2.4637977798705224,0.34,0.0
27,0.1,0.25,2.986014726322578,2.4637977798705224,0.34,0.0
28,0.9,0.1,4.157579488750894,2.4637977798705224,0.34,0.0
29,0.9,0.0,4.4238339405948555,2.4637977798705224,0.34,0.0
30,0.52,0.0,2.572019508048224,2.4637977798705224,0.34,0.0
