P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,38962.41898042374,25339.817846041748,1.5375966479770862
256,400,74525.31498104641,48679.56019676214,1.5309364891510127
8192,800,88347.17119660847,62137.90128877687,1.4217920039820435
128,1000,220868.87174828805,125295.95783362567,1.7627773119510284
2048,600,131383.49608974575,95460.11175339336,1.3763182723811909
256,900,139284.69826033106,77030.62312975689,1.8081730693740872
256,100,31511.700243601084,26193.65899088914,1.2030278112180395
4096,300,25621.123246349405,20887.76340872541,1.2266092230653445
256,200,41284.864268984624,25775.82693292296,1.6016892251961963
2048,400,41761.35115016291,34397.99854935305,1.214063402271652
8192,1000,87129.09588043934,71441.52524391812,1.2195861662102003
1024,500,98874.6618891676,69330.81468246617,1.4261286607118595
256,600,134903.51245877007,65997.13135384436,2.044081457654324
8192,900,62476.83362512857,50985.945546331204,1.2253736388659406
8192,700,90122.26046923317,54661.38833726035,1.6487371289067796
256,1000,149892.97873583005,62174.13220982782,2.410857593154096
8192,900,246145.70414400895,200725.03795784948,1.2262830120659756
2048,700,55662.83988260105,45736.33575987692,1.2170375907427273
1024,600,96575.82614792725,69645.19944005155,1.3866831730600004
4096,1000,64629.822177464535,51207.743830232605,1.2621103244019052
2048,200,40191.32655775978,33208.183834406,1.2102837890254856
512,800,83960.1662203259,58281.74602729851,1.4405911274689662
128,200,70105.65854966897,36920.89002320384,1.8988073826391871
2048,800,104079.15695566172,69914.3129245496,1.4886673787094535
512,100,42305.334008556325,34744.80913128068,1.2176015659982118
1024,100,21373.497930469675,17424.209760559108,1.2266552242070714
512,900,94780.15483855995,65527.226447374065,1.4464240282576184
256,800,138078.1376175568,88988.07431158595,1.5516476638665668
1024,100,25340.72058053699,17010.884101954263,1.489676869741636
1024,700,186514.98254794776,122698.14519501191,1.5201124862279518
256,300,86659.08927380823,58817.967607809784,1.4733438232962972
1024,600,74540.29972265291,56839.82740281852,1.311409677485345
8192,200,61849.46492325094,48832.439654252754,1.2665651227168322
1024,300,63550.14742318883,51334.02512144949,1.2379732014553235
4096,900,107200.24097255008,68798.33552250691,1.5581807344376848
512,900,85456.62133490194,70503.79592528375,1.2120853950256014
4096,100,42082.86178062238,34460.69141352587,1.221184487439065
8192,700,30868.146680517042,24919.342184621364,1.2387223728388346
1024,400,98826.58712419774,71121.47502380062,1.3895463654420226
256,700,109987.80417816302,46686.09352875527,2.355900780398738
256,400,96902.59288681595,59315.77823058138,1.6336731267373976
512,500,180143.178093742,104189.08387589059,1.729002419373679
256,900,130617.92974762409,57244.69321120439,2.2817473973650104
8192,500,118861.9044500573,87191.89492611904,1.3632219434016597
8192,300,54748.66891707517,37997.38137569971,1.4408537360968863
1024,800,93475.98592033138,76586.05734526525,1.2205352927220547
4096,800,103489.50312569045,69744.6297416748,1.4838347197340118
4096,800,96100.45238397086,49156.66889863417,1.9549830071305143
8192,500,113793.57921451278,93303.02350633578,1.2196129872124195
4096,700,179197.4084012372,121247.84298185878,1.477943062690599
4096,800,53063.49042960782,43369.83132383738,1.2235115703676371
4096,100,30513.380100906266,25235.008428580157,1.2091686114258648
8192,600,58311.485811262624,37566.49697046091,1.552220476056466
8192,800,154225.31832015672,84971.24391877686,1.8150295465555277
512,300,58925.74829184283,47234.241688785194,1.2475218440065174
256,100,76094.21582259765,56270.53628076332,1.3522923514167975
128,600,143036.66113733043,74899.47399565695,1.909715162293722
2048,900,193885.9635000947,156586.64072292217,1.2382024584279392
8192,1000,55640.276954536406,45312.78094590863,1.227915740173971
4096,300,50625.13986103276,41796.45799396132,1.2112303838843712
256,500,119313.49031393761,95166.34282014595,1.2537362136467423
256,700,95261.69661633567,47967.297444383694,1.9859717284841425
128,500,111003.65715729285,56182.17500713485,1.975780701676216
