P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19860.463881479434,18779.00655706,1.0575886334100488
256,400,53292.93755181653,43244.960742362484,1.2323502354254912
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,154565.8505805027,119404.61005167404,1.2944713819140832
2048,600,121796.96709288632,111680.57587899217,1.0905832651226246
256,900,80155.33125614982,51518.201495127876,1.5558643145516284
256,100,13036.385005959264,12924.548421892341,1.0086530360996975
4096,300,20427.414199512354,17279.41691731119,1.182181916048763
256,200,26818.014877284684,22891.533499154106,1.1715254846633876
2048,400,33309.07176599434,21733.26502109654,1.5326308188696514
8192,1000,60202.342442558154,60202.342442558154,1.0
1024,500,80541.77883895737,53664.96732667876,1.5008260109182474
256,600,86610.06339819288,58028.72573355824,1.492537744079842
8192,900,52694.86333747482,52575.017380802,1.0022795229111343
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,89201.69998345879,58863.710166351215,1.515393775407143
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41611.35817859911,41611.35817859911,1.0
1024,600,59177.98971839767,43965.34404781527,1.3460144802696785
4096,1000,34364.25990318272,33915.21825046568,1.0132401227496413
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,57238.25543359871,54149.74440156318,1.057036484034565
128,200,43521.05685445302,38939.521911435,1.1176577091377335
2048,800,88776.61986222258,71810.48771496736,1.2362625946031418
512,100,61178.869682729004,60573.79424177784,1.0099890629029449
1024,100,9640.921141579869,9640.921141579869,1.0
512,900,58301.98300260561,46304.128599874144,1.2591098194808503
256,800,114783.11403755579,86969.02217444926,1.3198160812629909
1024,100,30358.8796513167,20829.72320776272,1.4574787839716805
1024,700,137962.4979576378,101971.47650017287,1.3529518517602706
256,300,42727.38231524666,35896.699653227304,1.1902872054535865
1024,600,87915.44539906378,86765.25402755744,1.0132563591773849
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19350.96630270598,18573.116360380285,1.041880421531466
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,59144.57340911828,53309.00486140186,1.1094668445394604
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71315.44919686498,63377.543120814065,1.1252479298687739
256,700,60212.378579759294,38261.990551516115,1.5736865153079027
256,400,37907.234365244476,22632.151942540644,1.674928414296828
512,500,110229.34179240781,62904.27191045394,1.752334753183734
256,900,81681.06544848396,47728.093563071816,1.7113833667071554
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66750.31538473112,66116.18200423285,1.0095911978168624
4096,800,88746.20712661993,71810.48771496736,1.2358390807603816
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137021.11352670754,101971.47650017287,1.3437200110216632
4096,800,43949.06052639459,43948.578664085064,1.000010964229656
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,60947.46333963169,60947.46333963169,1.0
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,51813.041603453654,51521.92639179481,1.0056503169047888
256,100,24466.281607639765,17954.53769414384,1.3626795645994179
128,600,95671.60463449775,70900.57950763027,1.3493769063509788
2048,900,129856.00972147932,129752.604791726,1.0007969391436826
8192,1000,30095.189684788515,28498.849543516073,1.0560141959006073
4096,300,18481.458954016285,18481.458954016285,1.0
256,500,70362.1036050352,66627.75825410518,1.0560478912811078
256,700,89963.49171317465,61827.216222082076,1.4550791255104816
128,500,70672.44418087798,53535.80791606614,1.3200967152990164
2048,700,88664.48171443987,69714.60276884174,1.2718207978381768
128,800,126572.05436066419,89245.39881899078,1.4182473946626653
512,300,25000.830378077444,25000.830378077444,1.0
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173166.4048789518,173165.7012270452,1.0000040634600365
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,140846.43854747212,103084.41806074536,1.36632132379575
4096,300,19028.628183265115,19028.50780282153,1.0000063263207413
4096,400,48786.97978211953,45126.38541333707,1.0811187143675056
128,900,136048.94508108238,103160.92321660006,1.318803097520071
1024,400,26611.894241008282,26611.894241008282,1.0
8192,600,26765.49781642046,18661.250273283804,1.4342821313928265
128,400,61923.53407847207,46532.57276323225,1.3307567237589106
4096,700,41663.861109039266,36793.786558940206,1.1323613306909213
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,76408.8163962562,51088.94408718974,1.4956037507029876
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19860.463881479434,18779.00655706,1.0575886334100488
4096,900,43598.44323267971,40761.55353335776,1.0695971927811914
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,56165.49801496805,32755.432020731212,1.7146926341689035
4096,700,92388.85545586015,80356.03512507299,1.1497438283516384
256,100,15294.30861961883,14135.174116163842,1.0820035532586398
2048,500,36276.16196639806,36276.16196639806,1.0
512,600,33545.35025475407,30580.976963775065,1.0969352056505741
512,500,37721.557833701954,35496.811911768345,1.0626745277143053
512,400,36112.65250473961,34415.68964887445,1.0493078265517384
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,90503.43760140835,69365.62215019029,1.3047304240341204
2048,800,44817.936654302335,42695.059714644456,1.049721840274877
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,75067.73012668204,68462.06472805722,1.0964865057001076
1024,300,24860.773821131523,16760.521743464207,1.483293551456775
1024,800,77545.52499277971,75591.86163784155,1.0258448900795447
1024,100,17347.873752067557,17347.873752067557,1.0
2048,200,27814.232772578187,27814.232772578187,1.0
256,100,22262.88421501716,18702.315368100946,1.1903811788453311
1024,700,57674.669829081824,42452.09110493904,1.3585825415881982
4096,800,52807.69621151402,44366.085532812314,1.1902717036520711
4096,800,78734.09605999557,78733.61137126268,1.0000061560586953
8192,1000,58676.89014369309,45809.33523320091,1.2808937271188832
8192,700,64966.29240789171,57793.63501321383,1.1241080854844645
8192,1000,34363.77027208787,33915.21825046568,1.013225685835474
4096,900,33219.39122054105,32655.352187910106,1.0172724835238423
512,700,85574.89318870314,85438.48061711625,1.0015966174796367
1024,200,39825.973307699605,39819.40708715139,1.0001649000080248
4096,700,144776.89101997757,132452.11299022113,1.0930508223048612
2048,700,99743.71174767292,91119.24221630921,1.0946503649678074
8192,300,19674.24141386905,19674.24141386905,1.0
8192,500,75288.1433121715,53378.57096652857,1.4104563301138482
8192,700,57385.630059631025,49777.7756414471,1.1528363676389208
256,1000,94624.54701757143,90498.72860811553,1.0455897941651957
2048,100,34300.968848800694,34300.968848800694,1.0
4096,700,91526.83913463607,82072.46511123,1.1151954435704212
1024,800,103404.05911604171,101845.3758611526,1.01530440868532
1024,400,196526.04316687633,193515.84305327947,1.015555316123487
256,100,17756.342917425478,17587.547381984677,1.0095974459527939
128,900,133988.85211712428,96720.06020199122,1.3853263928630783
512,900,75654.00055837502,72227.30001714897,1.0474432872392079
4096,1000,90498.72860811553,90498.72860811553,1.0
8192,300,32671.02721643224,25922.78608210399,1.26032082789847
512,500,91062.29353877307,86843.01321389293,1.0485851442589644
128,800,106925.8679054012,79920.49096406845,1.3379030410795916
128,100,28553.34919572063,22982.09428187623,1.2424171986030845
2048,200,24337.522142430917,21228.428234486382,1.146458978196685
4096,500,97935.06095418494,97935.06095418494,1.0
128,400,68347.57508626505,48772.78954290394,1.4013464418749673
1024,700,112391.85582866105,107260.20847207752,1.0478429739200015
128,300,49887.93728083199,36726.85726982461,1.3583502915677115
4096,500,97714.78989013619,71401.30747796739,1.3685294197208988
256,500,70119.49663380715,49937.16420129462,1.4041545561369564
512,500,149965.86764426433,147481.94731846493,1.016842199136656
128,800,137591.57909702728,97370.5352483193,1.4130720216966481
128,400,194183.5203164556,125078.80246001596,1.552489442633818
2048,600,69813.53712687362,51282.51062023954,1.3613517802172597
4096,100,22656.454190491233,22656.454190491233,1.0
256,900,227251.0719873332,184098.91857787647,1.2343965610596608
2048,500,37441.44378906292,37441.44378906292,1.0
1024,500,44620.13925819729,44576.14394763512,1.000986969860243
128,200,38371.09969250813,27723.977542298137,1.3840402097413982
8192,200,67151.768032449,67151.768032449,1.0
2048,800,102177.14602783458,101845.3758611526,1.0032575869437046
512,800,69133.28036738836,52828.81053104514,1.3086283728981898
512,800,86239.87179139606,76577.73322810722,1.1261742566146165
1024,600,67379.69361182515,48408.82573041455,1.3918886193823015
128,200,33382.092824790736,24735.736732623263,1.3495491638526391
2048,600,30580.976963775065,30580.976963775065,1.0
8192,500,28469.146325251975,19560.487282935454,1.4554415702152996
512,300,41760.88468143691,33160.64237859692,1.2593508956988995
512,600,74132.35443410496,44462.8864987731,1.6672861406816346
4096,300,77306.4040908596,77306.4040908596,1.0
