P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,38438.301545496535,25339.817846041748,1.5169130961807944
256,400,121305.8605288586,48679.56019676214,2.49192597547188
8192,800,86283.06379054353,62137.90128877687,1.3885738333767585
128,1000,438732.6183467074,125295.95783362567,3.5015704092328246
2048,600,128824.08401369987,95460.11175339336,1.349506947430538
256,900,244417.33617429694,77030.62312975689,3.172989211869411
256,100,31357.88218474482,26193.65899088914,1.197155471698396
4096,300,25045.941871782656,20887.76340872541,1.1990724608322718
256,200,55283.4943815413,25775.82693292296,2.14478063207853
2048,400,44614.1955164526,34397.99854935305,1.2969997499256158
8192,1000,85375.56131367726,71441.52524391812,1.1950411336010125
1024,500,98854.89252626529,69330.81468246617,1.4258435153116094
256,600,185570.90709813405,65997.13135384436,2.8118026237109235
8192,900,61069.96931349999,50985.945546331204,1.1977804600682629
8192,700,87659.27955309227,54661.38833726035,1.6036782493015944
256,1000,281689.8890460902,62174.13220982782,4.530660566285534
8192,900,239964.01421913086,200725.03795784948,1.195486206705918
2048,700,54487.82985652344,45736.33575987692,1.191346638318235
1024,600,101197.27478872784,69645.19944005155,1.4530402038095296
4096,1000,63313.84044232406,51207.743830232605,1.236411443008042
2048,200,39776.632804503424,33208.183834406,1.197796091555361
512,800,127340.42998536216,58281.74602729851,2.18491103416355
128,200,102678.42023605315,36920.89002320384,2.7810385982440393
2048,800,104394.40581138467,69914.3129245496,1.493176453354343
512,100,41443.672115955465,34744.80913128068,1.1928018357897328
1024,100,20836.897215433633,17424.209760559108,1.1958589515261333
512,900,152589.7824070237,65527.226447374065,2.328647047644706
256,800,237492.25170026987,88988.07431158595,2.668809877475337
1024,100,24905.801883716544,17010.884101954263,1.4641097860901473
1024,700,183625.9101685451,122698.14519501191,1.4965663081271263
256,300,107488.69259955472,58817.967607809784,1.8274805636990845
1024,600,87242.7649992845,56839.82740281852,1.5348879295674707
8192,200,60601.06712952136,48832.439654252754,1.2410001949235745
1024,300,62603.082254868845,51334.02512144949,1.2195241286214797
4096,900,105102.90534934495,68798.33552250691,1.5276954675009724
512,900,124911.24377625305,70503.79592528375,1.7716952986279983
4096,100,41124.25339912146,34460.69141352587,1.1933670426293341
8192,700,29745.454147160206,24919.342184621364,1.1936693162597691
1024,400,97219.81294609528,71121.47502380062,1.3669543961730393
256,700,174112.38366959043,46686.09352875527,3.729427127209728
256,400,112380.2838691051,59315.77823058138,1.8946102912490372
512,500,188663.59162982894,104189.08387589059,1.8107807901887676
256,900,214408.9495918229,57244.69321120439,3.745481678114
8192,500,116516.21690311412,87191.89492611904,1.3363193563099263
8192,300,53692.8999275042,37997.38137569971,1.4130684269164446
1024,800,93888.86504294351,76586.05734526525,1.2259263408700327
4096,800,101251.49508522512,69744.6297416748,1.4517461123565747
4096,800,94193.12010934467,49156.66889863417,1.9161819183390976
8192,500,111489.9485325808,93303.02350633578,1.194923211947253
4096,700,174164.21969075128,121247.84298185878,1.4364314894806822
4096,800,52021.11215184717,43369.83132383738,1.1994769304821986
4096,100,30190.44372454591,25235.008428580157,1.1963714539660477
8192,600,57485.20930945284,37566.49697046091,1.530225438764075
8192,800,150564.46827509667,84971.24391877686,1.771946147087357
512,300,71450.12489988477,47234.241688785194,1.512676447113348
256,100,68524.2353261377,56270.53628076332,1.2177640352356733
128,600,263666.3262724939,74899.47399565695,3.520269398524516
2048,900,188579.69054210736,156586.64072292217,1.2043153213548814
8192,1000,54282.646728133695,45312.78094590863,1.1979544312880002
4096,300,50017.69319721034,41796.45799396132,1.1966969355258958
256,500,151948.3212305577,95166.34282014595,1.5966602974091746
256,700,186902.93753083237,47967.297444383694,3.896465873390916
128,500,213889.46087931853,56182.17500713485,3.807069784182539
2048,700,61902.40601282735,48971.50074361899,1.2640496017654361
128,800,343616.75756847824,93497.3020055607,3.6751515840322515
512,300,49270.698752634366,28600.5958497807,1.722715813734075
4096,200,69132.41684310228,50831.013653404065,1.3600440336383615
4096,500,284120.7823825896,237564.50729901434,1.1959731931882251
8192,1000,144405.00298125859,112393.23827909636,1.2848193111285768
128,900,403680.15158378123,109443.21737422631,3.688489440176557
4096,300,33257.53070956538,27866.80417099782,1.19344617005555
4096,400,91202.56718982615,56915.493482307924,1.6024207401131696
128,900,428855.79677320854,109318.34627419793,3.922999307888634
1024,400,52697.790287282114,44207.66491546582,1.1920509800291683
8192,600,39144.70274557083,32734.27780938007,1.195832178535304
128,400,180363.15390377984,81480.70461614145,2.213568902643604
4096,700,81506.89149138433,53915.74341202593,1.5117456670958966
8192,500,69290.69461457353,54509.002824173345,1.2711789066859407
256,900,240932.39731173211,64837.41435415292,3.7159470301471096
8192,1000,179219.47331850475,124535.58998606945,1.439102455278465
8192,600,38394.10660388619,25325.579367516788,1.5160208596503588
4096,900,54729.78027167222,44998.63267930536,1.216254295140887
8192,700,222254.7816479961,185768.68163866145,1.1964060878695568
128,300,127639.10410296009,38152.527144095155,3.3454954011536486
4096,700,124677.45259688825,86344.15596057125,1.4439593648216535
256,100,26832.36760195639,14891.07425106187,1.801909462646256
2048,500,52624.73252307392,38078.8838745444,1.3819925157589341
512,600,99549.1543425904,50523.437090590436,1.9703559392464727
512,500,69703.30956388568,33156.78306802833,2.1022337848902355
512,400,88829.46629075303,57470.31142497088,1.5456583423377201
8192,1000,180181.30593057696,150569.03775101455,1.1966690404738465
128,600,250670.3855495105,72849.63176490327,3.440928656420139
2048,800,101840.3731729887,41519.7534269463,2.4528173885275133
8192,200,32632.09711153579,26972.824218293383,1.2098138796086544
512,400,143688.43116136675,109009.50865491609,1.3181275003837631
1024,300,54384.40275637584,35788.66352580134,1.5195985934810938
1024,800,146506.79973663436,105506.57662913551,1.3886034825261944
1024,100,12326.087056665274,10211.848879179503,1.2070377462984592
2048,200,48358.97689231389,40359.96560634527,1.198191727019486
256,100,59642.31658135896,37681.884279448226,1.582784877185348
1024,700,123437.78381311503,66874.51640802078,1.8458119840446456
4096,800,66518.94478543865,46857.31231092819,1.4196064926652852
4096,800,152236.80946133455,127268.05412448723,1.1961902812816179
8192,1000,105349.92241057027,61631.005637657836,1.7093656240163517
8192,700,143847.25440253713,116555.24523591898,1.234155134857951
8192,1000,63222.09762373583,51177.51428416821,1.235349127601018
4096,900,74473.71892340465,60367.665223331875,1.2336690287405854
512,700,183637.2842820765,123260.96281991307,1.4898251650879486
1024,200,38589.513336787655,30960.64519433914,1.246405334726144
4096,700,90120.59065094843,65060.34510421777,1.385184639069891
2048,700,142245.4640126447,89844.51474818445,1.583240383804501
8192,300,32769.70409257548,27325.43722463806,1.199238051460292
8192,500,109341.8450811527,68815.17228508745,1.5889206035577645
8192,700,75319.11995609596,46993.19158217273,1.6027666438529133
256,1000,273815.42252881173,111749.61276708746,2.4502583565950036
2048,100,57318.05527399756,47958.62701914873,1.1951563010991086
4096,700,117837.79072720592,86817.79328982205,1.3572999987897696
1024,800,93592.94094613692,53472.408401124616,1.7503034507824506
1024,400,309705.5634332461,257567.86842644215,1.2024231334650881
256,100,20867.007864836916,13011.59979464646,1.6037234616931975
128,900,361752.7201414784,102373.53702350879,3.5336546011730205
512,900,177345.0442072646,114159.9168451615,1.553479094136018
4096,1000,131430.93313323072,109849.57632880178,1.1964628132914379
8192,300,58214.337389350396,34770.69707161906,1.6742355572982393
512,500,187837.2884080573,134723.51647863665,1.394242767095847
128,800,302146.27832116693,84426.00544789649,3.578829493569212
128,100,47829.04710258848,26068.19735827815,1.8347661882880448
2048,200,40924.71071326182,20752.375075557742,1.9720494914080056
4096,500,42308.237711576985,35418.499695506645,1.1945237114869776
128,400,201073.42213724586,51327.80354104017,3.9174367158819408
1024,700,218941.98693568213,145939.20363147225,1.5002273651469111
128,300,175796.50962976916,46426.00783958498,3.7865954410122007
4096,500,159100.99683265103,110169.6014202929,1.4441460691655468
256,500,152403.61540469067,40888.66155932382,3.7272830558069017
512,500,146534.0088743934,114576.28797187006,1.2789208960092107
128,800,400441.30026127584,103240.3095790912,3.8787301383913655
128,400,235789.03782876398,142772.5734921948,1.6515009294950775
2048,600,90438.69827738708,51881.5556249558,1.743176302020611
4096,100,37363.69434691853,31218.56877485844,1.1968420018347863
256,900,434941.0764228609,303266.1858379448,1.43418916032821
2048,500,38394.574392618604,24114.557614326197,1.5921741135242227
1024,500,96835.47876819923,69563.61906013438,1.3920419908643575
128,200,103479.03000158434,25374.187301930957,4.078121942203432
8192,200,119214.35716807558,99756.89480744647,1.1950487973606883
2048,800,84702.74320194263,53333.70966416959,1.5881652286198882
512,800,120681.85757599896,36819.879889469856,3.277627682064027
512,800,206677.6933435406,117323.0806231038,1.7616115451953167
1024,600,117494.67912967196,74481.33456651334,1.5775050193917624
128,200,109635.93763793513,60040.30731987671,1.826038915054645
2048,600,59950.10846773769,50265.19690701414,1.1926762881012825
8192,500,50409.16660123241,34006.78819154014,1.4823265965991075
512,300,50408.638445347686,24111.71881778852,2.09062816410079
512,600,155920.11693520666,94447.6501421378,1.6508628504844391
4096,300,134715.93527114473,112569.83265804852,1.1967321269844031
2048,200,15156.031348585359,12653.47289062971,1.1977764112340155
512,800,155195.0136295824,66646.61187663602,2.328625705937624
128,500,351941.9225899002,253115.47456998134,1.3904401664410895
4096,600,96677.26635377819,71456.619906994,1.352950454130222
8192,400,91002.11625451782,56844.504840111076,1.600895574875413
256,100,60521.362882689056,47410.329663996534,1.276543810423007
2048,1000,80566.26919427351,41036.23401408571,1.9632958805776157
2048,500,162541.6326325872,102237.81420332319,1.5898386903043147
2048,1000,244681.57825498964,186143.3911687721,1.3144789977160256
1024,600,55379.170842082625,25425.24871719152,2.178117172345987
1024,800,199741.93206536732,163828.9339260643,1.2192103511795451
128,200,124152.06627243465,50493.626094343745,2.4587670935033534
512,100,22447.741754841296,16101.63022849706,1.3941285097401337
4096,900,116549.56105946464,97276.29608484646,1.1981290997943388
8192,900,224591.05873991986,174543.99859779057,1.2867303404538986
8192,300,41377.572199895905,29182.503094384378,1.417889756271738
4096,1000,156101.23088655694,111109.49416957432,1.4049315232082384
128,200,103574.95393711072,31673.672766490905,3.2700645327967024
4096,200,41465.842116111,34702.92658399461,1.1948802650908275
8192,600,154378.08354879858,88619.85145344147,1.7420259796971647
4096,800,92250.9079336745,73651.67654654282,1.2525296403182111
2048,500,54530.811487962485,34737.72064133729,1.569786689546687
128,300,168027.32048912175,45007.6355113429,3.733306995138085
128,100,58090.19512001363,21221.25277948328,2.737359369102623
128,400,178272.91741317848,50394.41325747465,3.537553190714777
4096,1000,60388.916567211694,48747.66573635519,1.2388063234415478
2048,800,79861.64553054614,65485.35111688879,1.2195345091453542
2048,100,26483.25858100699,22142.388512887606,1.1960434424494382
128,900,424682.0454871103,107296.26736457921,3.958031867446928
8192,700,65796.38673420718,55097.75917161366,1.194175366175426
1024,700,113944.2868055936,77611.39331459909,1.4681386577318425
512,700,93840.61304836234,30043.338927871162,3.123508118510308
8192,1000,710999.3505363063,594123.6410518169,1.196719506528265
8192,1000,111032.97887297075,92756.94828493604,1.197031391458604
1024,100,25049.623188423106,20880.261588422458,1.1996795673437561
8192,1000,259735.2722970015,217060.7610016852,1.1966016847005572
4096,900,94578.96505817167,79036.30171917535,1.19665220918637
8192,600,176962.70917518158,147931.95047990262,1.1962440067956985
8192,1000,49078.257450503974,40918.42390527257,1.1994171027731095
2048,100,46943.1964751117,36009.56108391144,1.3036314540386122
512,800,118923.57199443266,41133.52440023117,2.891159309309375
2048,200,28629.67939901792,22527.539467295755,1.270874674998613
2048,600,91552.48341812825,52514.09455749124,1.7433887833274677
1024,100,30461.22614568369,21207.98779051644,1.436309113649387
256,700,210224.08424123892,61572.56259002922,3.4142493896344934
128,1000,432229.7619145232,118514.74706755942,3.6470546713324232
1024,800,95719.73424016123,58330.64729665371,1.640985291203042
1024,800,82610.78646167592,69119.67131146269,1.195184885781942
1024,1000,115195.18995960847,80146.5687229894,1.43730657213483
8192,600,118374.78910940174,84911.06049106766,1.3941032937853173
4096,200,40108.846698952926,33587.36450215761,1.1941647489601748
1024,700,102712.81604656938,65373.77817459692,1.5711623056609836
8192,800,140988.62504123774,113903.40354683883,1.237791151545889
128,1000,423944.3762668309,114759.30901984677,3.6942046783630675
2048,1000,113130.50289684228,70808.53547371653,1.597695844716846
1024,1000,135870.41204754382,85399.97673139501,1.5909888649606003
2048,900,86857.41863187063,62122.524010291076,1.3981630659031503
512,600,97881.17152962493,41819.19699061202,2.3405798908955195
1024,700,60176.5178141904,36022.205004696705,1.6705395409954602
1024,100,39681.904881055714,33212.05639475801,1.19480421234377
4096,100,65189.14239737895,54461.868961599546,1.1969685146747917
128,700,306916.4342992749,87030.90404794872,3.526522419325699
128,300,133975.44220803204,36061.13127075538,3.7152312611080665
2048,1000,54470.50222599748,43331.913764574194,1.2570527699731922
256,500,138440.24434956198,35358.4879143905,3.9153327111937495
128,500,211738.32057915803,59540.26409032341,3.556220715748725
2048,400,58657.169388009606,42668.98421079895,1.374702737197204
128,900,397902.05961671146,109433.5624577617,3.636014863084536
128,300,105617.44298039579,39356.74427840015,2.683591971766856
4096,200,35871.40066214647,29955.14266930692,1.1975039163776562
128,500,227593.69393374602,103230.19362385968,2.204720207762374
256,200,63360.225589889684,30740.577879803866,2.0611266918152658
1024,300,59665.561202559344,50052.420972495536,1.1920614436481776
2048,200,50073.794632289835,41622.292262618,1.2030523046723771
4096,500,166084.52192929608,139026.15742020504,1.1946278672387343
8192,100,22268.5982664225,18587.00120410456,1.198073751752108
4096,700,118983.7932653295,66401.40119224958,1.7918867844496233
1024,500,64280.536853318765,51556.79794042655,1.2467907127900841
2048,1000,60912.41864128813,48061.693636227064,1.267379778630495
8192,1000,182219.33287762993,152180.5493602882,1.1973891121014735
2048,1000,75719.1056753467,63377.48507506607,1.1947319396732587
8192,400,80816.7710836399,66043.58447489416,1.2236884434151456
128,700,282543.0020684543,80058.73659126465,3.5291963638017623
128,1000,674167.8967246215,433656.1726002424,1.5546138607511306
2048,900,83625.16317698127,61913.30626049231,1.3506815937940562
4096,200,36083.65317830652,27777.016549631757,1.2990471137831714
2048,300,118445.48885072955,88389.16350127902,1.3400453648259225
128,100,80173.82451319083,54856.11162168177,1.4615294840092583
128,1000,431298.90048001835,133265.43601557915,3.2363898200100296
4096,300,48968.46390910077,40904.58886479182,1.1971386406293854
256,200,64766.554915991,24965.579774245634,2.5942339613840595
4096,400,75523.6446829825,63220.3046379777,1.1946105782858556
2048,200,40430.7593086306,33705.039523403946,1.1995464144332624
256,1000,391341.8338553025,275889.8750121948,1.4184711702015325
4096,600,49664.57260875338,41495.82519943877,1.1968570903230307
256,500,166942.74739927074,68455.21386786921,2.4387148613909826
