P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19860.463881479434,18779.00655706,1.0575886334100488
256,400,57599.28640997852,43244.960742362484,1.3319305977205949
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,211086.1970115125,119404.61005167404,1.767822841347264
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,108427.26215252517,51518.201495127876,2.1046398943639217
256,100,15866.184010119447,12924.548421892341,1.2276006474040049
4096,300,20427.414199512354,17279.41691731119,1.182181916048763
256,200,33720.43560293104,22891.533499154106,1.473052716375558
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60202.342442558154,60202.342442558154,1.0
1024,500,81324.18907986088,53664.96732667876,1.5154055453869948
256,600,91407.246072857,58028.72573355824,1.5752068465635087
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,116814.94640646863,58863.710166351215,1.984498531885688
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41611.35817859911,41611.35817859911,1.0
1024,600,59385.28480003673,43965.34404781527,1.3507294457982915
4096,1000,34364.0264928757,33915.21825046568,1.0132332405793631
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,64582.13912116842,54149.74440156318,1.1926582449261585
128,200,52207.2334590711,38939.521911435,1.3407261028477062
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,60573.79424177784,60573.79424177784,1.0
1024,100,9640.921141579869,9640.921141579869,1.0
512,900,63816.4211884158,46304.128599874144,1.378201536624733
256,800,120793.99770214182,86969.02217444926,1.388931307745921
1024,100,30243.541409133206,20829.72320776272,1.4519415888283236
1024,700,137147.78098229654,101971.47650017287,1.3449621961888925
256,300,46791.55230753202,35896.699653227304,1.3035056915970606
1024,600,88030.04882115226,86765.25402755744,1.0145772038331509
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19523.667224022633,18573.116360380285,1.0511788568594789
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,63835.00563899222,53309.00486140186,1.1974525843233599
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71120.75606203236,63377.543120814065,1.122175972117722
256,700,78292.8986605433,38261.990551516115,2.0462317180056115
256,400,49648.6098703598,22632.151942540644,2.1937202435017915
512,500,108903.80586512142,62904.27191045394,1.7312624811896584
256,900,90039.25763111263,47728.093563071816,1.8865043815782705
