P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,9804.977556930811,4118.24998149955,2.380860219990966
256,400,38964.51260771779,23531.7252532983,1.6558289793161838
8192,800,39289.59913953693,14795.02099803586,2.655596037663812
128,1000,162744.759910551,119404.61005167401,1.3629688153591466
2048,600,114835.59059952498,91443.0979502153,1.25581474352548
256,900,74792.40581332866,51518.201495127876,1.4517666308751451
256,100,5573.819675475502,4679.130547151785,1.1912084134665402
4096,300,2364.9198185172927,942.5154884959478,2.5091575124045935
256,200,31609.004475495047,11080.525409985707,2.8526629655132774
2048,400,57929.7999298036,16659.391108001237,3.4773059563972213
8192,1000,67649.51747993239,31785.267802615333,2.1283293222518043
1024,500,47382.92990264764,10972.920970408175,4.318169248683203
256,600,70154.25335584793,34696.429261633115,2.021944472350175
8192,900,64893.68195358707,42072.74163946224,1.54241628724095
8192,700,86178.98288556535,28301.923922736623,3.04498673379348
256,1000,71215.22878733595,58863.7101663512,1.2098324856873421
8192,900,81774.39706025958,26446.50237773516,3.092068504646724
2048,700,69333.19247756673,31784.101151865783,2.1813796824484606
1024,600,39297.80995448666,16874.141147700775,2.3288776365273725
4096,1000,54008.0989356495,25339.795717781904,2.1313549460759837
2048,200,16893.248228803866,5118.145442873633,3.300658103088017
512,800,48050.14973640224,21229.958775728857,2.26331808949792
128,200,89834.68219359728,28092.671302858154,3.1977977895059584
2048,800,76794.14754192502,26497.37844693629,2.8981790668730927
512,100,61313.28931667023,52844.49103612885,1.1602588673765712
1024,100,13621.937070632308,6901.431727873591,1.973784224455319
512,900,61426.567385101385,24134.145646769488,2.5452140831562327
256,800,113422.77710466523,46337.580997070676,2.4477492062400814
1024,100,51999.22784649419,16558.912626923186,3.140256188196107
1024,700,77235.30696552522,15601.0663687365,4.95064280479568
256,300,25667.59130872155,17275.812740351696,1.4857530406525474
1024,600,78171.20525841866,70364.7320429823,1.1109429822125632
8192,200,8781.075547102057,2650.3651611722858,3.3131568720206426
1024,300,8257.95733315479,3799.3333703103463,2.17352796616535
4096,900,28722.637590124432,12984.521812166118,2.212067414235629
512,900,98512.13344613415,39234.60108057627,2.510848351530817
4096,100,61313.28931667023,52844.49103612885,1.1602588673765712
8192,700,32246.14378858567,31347.334171878083,1.0286726013695262
1024,400,57733.62717779212,16121.07512688779,3.5812516673593424
256,700,66213.2796135282,38261.990551516115,1.7305236517786062
256,400,27712.52902403465,22632.15194254064,1.2244760946458941
512,500,38269.73804704285,16731.4559896685,2.287292753880715
256,900,77215.50833872647,47728.093563071816,1.6178209221092725
8192,500,42797.71736582566,14826.065726985928,2.886653691810271
8192,300,16697.271999602923,4160.156593477788,4.013616224394192
1024,800,48378.889333370986,40846.09768688062,1.1844188814372305
4096,800,76747.2207061172,26497.37844693629,2.8964080676815387
4096,800,82849.26773516438,29394.111289795015,2.818566852331671
8192,500,30301.637948893393,9178.81822404002,3.301257003818978
4096,700,76329.4415355889,15601.0663687365,4.892578477106413
4096,800,23880.542642535103,12582.997544262242,1.897842112623193
4096,100,4449.703085277198,2685.399498342895,1.656998553855029
8192,600,49568.761917470925,43098.54140707002,1.1501262061119197
8192,800,70274.47931480814,34870.55437275946,2.0152957295598912
