eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,3.5,6.386927732164396,6.386927732164396,0.4,3.5
2,0.9,1.5,3.057915435838529,3.057915435838529,0.9,1.5
3,0.3,3.0,5.830652201337649,3.057915435838529,0.9,1.5
4,0.1,2.5,8.570068966081106,3.057915435838529,0.9,1.5
5,0.2,3.5,6.386927732164396,3.057915435838529,0.9,1.5
6,0.9,4.0,7.731658665217852,3.057915435838529,0.9,1.5
7,0.1,1.5,8.545518902594662,3.057915435838529,0.9,1.5
8,0.8,1.5,3.057915435838529,3.057915435838529,0.9,1.5
9,0.7,1.5,3.057915435838529,3.057915435838529,0.9,1.5
10,0.9,1.0,2.3523122255788187,2.3523122255788187,0.9,1.0
11,0.7,1.0,2.297631642994382,2.297631642994382,0.7,1.0
12,0.6,1.0,2.3817685006310327,2.297631642994382,0.7,1.0
13,0.8,1.0,2.369017817224178,2.297631642994382,0.7,1.0
14,0.5,1.0,2.2738325114700477,2.2738325114700477,0.5,1.0
15,0.4,1.0,2.2934296495821194,2.2738325114700477,0.5,1.0
16,0.5,1.5,3.057915435838529,2.2738325114700477,0.5,1.0
17,0.4,1.5,3.057915435838529,2.2738325114700477,0.5,1.0
18,0.6,1.5,3.057915435838529,2.2738325114700477,0.5,1.0
19,0.3,1.0,2.8974049980327696,2.2738325114700477,0.5,1.0
20,0.3,1.5,3.0646348729884854,2.2738325114700477,0.5,1.0
21,0.6,2.0,3.9863241304173256,2.2738325114700477,0.5,1.0
22,0.3,2.0,3.9873793378283944,2.2738325114700477,0.5,1.0
