P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,46466.43202092118,25339.817846041748,1.8337318880206377
256,400,84538.59819515183,48679.56019676214,1.7366343872756438
8192,800,105223.16328201111,62137.90128877687,1.6933813517936782
128,1000,245424.4726548064,125295.95783362567,1.9587581028008378
2048,600,156565.92286474103,95460.11175339336,1.640118788769127
256,900,133224.973287624,77030.62312975689,1.7295066283341443
256,100,37904.015086618674,26193.65899088914,1.4470683572616836
4096,300,30362.882732825103,20887.76340872541,1.453620578646619
256,200,46476.87705139446,25775.82693292296,1.8031187582203407
2048,400,50072.27602205272,34397.99854935305,1.4556741128473147
8192,1000,104177.6951277378,71441.52524391812,1.4582232780172415
1024,500,116666.17918430894,69330.81468246617,1.6827464053125274
256,600,136346.4892218459,65997.13135384436,2.065945692257784
8192,900,73768.76344106023,50985.945546331204,1.4468450599592422
8192,700,107258.42104536969,54661.38833726035,1.9622337505148248
256,1000,152404.62085689703,62174.13220982782,2.4512544918609502
8192,900,293387.46289168455,200725.03795784948,1.4616385971404993
2048,700,66697.44136221283,45736.33575987692,1.4583031249461056
1024,600,115318.4361680416,69645.19944005155,1.6557987785978583
4096,1000,76392.71873094565,51207.743830232605,1.491819654937503
2048,200,48465.87706954651,33208.183834406,1.4594558170125662
512,800,94381.80153113979,58281.74602729851,1.6194058682959227
128,200,62607.91702814195,36920.89002320384,1.6957315218781146
2048,800,122650.5599885732,69914.3129245496,1.7542982954139263
512,100,49759.624911341714,34744.80913128068,1.4321455824761813
1024,100,25419.209173250107,17424.209760559108,1.4588443047092
512,900,106080.95118692829,65527.226447374065,1.6188835837897633
256,800,152063.78320941192,88988.07431158595,1.7088108084794653
1024,100,29440.485674138814,17010.884101954263,1.7306852188097972
1024,700,214828.07792368764,122698.14519501191,1.750866548000769
256,300,96955.19330933756,58817.967607809784,1.6483941430248255
1024,600,84686.4029096627,56839.82740281852,1.48991309050779
8192,200,73227.6703524844,48832.439654252754,1.4995701806208468
1024,300,76407.36936113238,51334.02512144949,1.4884351885589078
4096,900,128408.08363064984,68798.33552250691,1.8664417191988896
512,900,101988.06598113077,70503.79592528375,1.446561346699863
4096,100,49732.50646427773,34460.69141352587,1.4431662402675314
8192,700,36180.928124217404,24919.342184621364,1.4519214775479097
1024,400,116525.0370911792,71121.47502380062,1.6383945503405881
256,700,104646.39749147756,46686.09352875527,2.241489693864039
256,400,115066.83587660527,59315.77823058138,1.939902658434318
512,500,202364.08745417837,104189.08387589059,1.942277251379168
256,900,129280.73226728215,57244.69321120439,2.2583880708435395
8192,500,142492.79171828335,87191.89492611904,1.634243547969944
8192,300,65339.06073860446,37997.38137569971,1.7195674642040055
1024,800,110915.72468893157,76586.05734526525,1.4482495709225678
4096,800,122287.18078910492,69744.6297416748,1.7533562260211435
4096,800,114660.35275109409,49156.66889863417,2.3325492821235483
8192,500,134134.7592485937,93303.02350633578,1.4376250008606122
4096,700,212302.43367591294,121247.84298185878,1.7509790562433167
4096,800,62471.347612739795,43369.83132383738,1.4404332621511404
4096,100,36428.81530574637,25235.008428580157,1.4435824505011283
8192,600,69579.64904417521,37566.49697046091,1.8521729374683702
8192,800,182511.65838823785,84971.24391877686,2.1479226379538336
512,300,70120.3769792352,47234.241688785194,1.4845242449585858
256,100,82106.69696733338,56270.53628076332,1.4591418954612385
128,600,154525.3216369875,74899.47399565695,2.0631028950343184
2048,900,228999.79427624788,156586.64072292217,1.46244783858324
8192,1000,65471.40151293502,45312.78094590863,1.4448771438480108
4096,300,60479.326132121074,41796.45799396132,1.4469964450303188
256,500,140484.27422059624,95166.34282014595,1.4761970467447327
256,700,101848.01161950134,47967.297444383694,2.1232801730718798
128,500,110415.69205018658,56182.17500713485,1.9653153697977046
2048,700,71911.9107231637,48971.50074361899,1.4684440875039726
