P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,23808.834545965605,18779.00655706,1.2678431350254058
256,400,61725.47887199528,43244.960742362484,1.42734500881462
8192,800,56298.02290597455,46379.37991347244,1.2138588961518415
128,1000,148097.75975207592,119404.61005167404,1.2403018584289542
2048,600,129800.14471957622,111680.57587899217,1.1622445863837316
256,900,68213.43307173846,51518.201495127876,1.3240647206636176
256,100,15406.429968407407,12924.548421892341,1.1920284922536335
4096,300,24333.374196107652,17279.41691731119,1.4082288952545345
256,200,28663.481182059924,22891.533499154106,1.2521433386329974
2048,400,36487.88907087195,21733.26502109654,1.678895878527826
8192,1000,69068.67498431554,60202.342442558154,1.1472755408183188
1024,500,95709.95649847167,53664.96732667876,1.7834718116168657
256,600,102224.17794542761,58028.72573355824,1.761613350167208
8192,900,56109.871297892365,52575.017380802,1.067234479286756
8192,700,62932.13966908776,35360.41439156067,1.7797342240453926
256,1000,74310.63425357586,58863.710166351215,1.2624184585642158
8192,900,178872.5139845132,149649.57060028278,1.1952758251628102
2048,700,44585.30914719397,41611.35817859911,1.071469692381355
1024,600,67844.02478734069,43965.34404781527,1.543125074002736
4096,1000,36714.77550970721,33915.21825046568,1.082545753902176
2048,200,16568.15500155997,12441.910416424595,1.3316407566870367
512,800,67350.90223586443,54149.74440156318,1.2437898457360061
128,200,47814.79618894475,38939.521911435,1.2279245825795162
2048,800,105164.79208014089,71810.48771496736,1.4644767836359027
512,100,63601.62027531834,60573.79424177784,1.0499857417129106
1024,100,11423.364137793615,9640.921141579869,1.184883059412895
512,900,58616.236403821546,46304.128599874144,1.2658965447841484
256,800,131091.13713350685,86969.02217444926,1.5073313906019778
1024,100,33059.326282663686,20829.72320776272,1.5871226877533975
1024,700,162090.50897339307,101971.47650017287,1.5895671469768144
256,300,51699.00423456868,35896.699653227304,1.4402160848767795
1024,600,93020.24863697073,86765.25402755744,1.0720910078523673
8192,200,25210.10272726629,18018.92824454402,1.3990900227320513
1024,300,23266.03020364332,18573.116360380285,1.2526723976851748
4096,900,74054.38246239307,52757.84825268096,1.403665708800584
512,900,60275.758521982,53309.00486140186,1.130686244822859
4096,100,62591.69752293883,60573.79424177784,1.0333131398886226
8192,700,43254.60368770558,41694.171098573366,1.037425677211403
1024,400,84820.05791823388,63377.543120814065,1.3383298522087677
256,700,52995.294143369894,38261.990551516115,1.3850636984507325
256,400,35992.93431418639,22632.151942540644,1.5903452047143638
512,500,131998.5619069913,62904.27191045394,2.098403779236092
256,900,68352.7177508106,47728.093563071816,1.432127551050907
8192,500,99897.20168343338,84889.56492633495,1.1767901245591457
8192,300,40395.8188771031,23136.448596413335,1.7459818307363453
1024,800,75057.16837481319,66116.18200423285,1.1352314380465576
4096,800,105130.17711658131,71810.48771496736,1.4639947514890528
4096,800,79267.77168089474,64362.85987349461,1.231576282295345
