P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4912.609276278944,4118.24998149955,1.1928875853452077
256,400,28544.411350159295,23531.7252532983,1.2130182144702033
8192,800,15294.904281553452,14795.02099803586,1.0337872642143566
128,1000,134575.0214670894,119404.61005167401,1.1270504665510834
2048,600,93412.13144964089,91443.0979502153,1.021532882673087
256,900,57726.69932151445,51518.201495127876,1.1205107640835195
256,100,5449.205944293481,4679.130547151785,1.1645766001571478
4096,300,1232.3931553985615,942.5154884959478,1.3075574570824253
256,200,15465.127746162203,11080.525409985707,1.395703468377512
2048,400,16722.860397430104,16659.391108001237,1.0038098204800765
8192,1000,31785.267802615333,31785.267802615333,1.0
1024,500,16525.32388886167,10972.920970408175,1.5060095605743666
256,600,42020.993260365016,34696.429261633115,1.2111042592740606
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,64839.91463869143,58863.7101663512,1.101526126291585
8192,900,26446.50237773516,26446.50237773516,1.0
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23325.23526772225,16874.141147700775,1.3823065164356816
4096,1000,26346.974403284567,25339.795717781904,1.039746914170894
2048,200,5972.582848669968,5118.145442873633,1.1669427755293726
512,800,25832.144779822058,21229.958775728857,1.2167779058221557
128,200,33942.137766148575,28092.671302858154,1.208220371791247
2048,800,30109.551437023238,26497.37844693629,1.136321900572945
512,100,54025.4961160414,52844.49103612885,1.022348688704469
1024,100,6935.580415430124,6901.431727873591,1.0049480584468602
512,900,31076.442875027817,24134.145646769488,1.2876545675105595
256,800,67419.77847251542,46337.580997070676,1.4549697464090217
1024,100,18096.933151151243,16558.912626923186,1.09288173437955
1024,700,30288.06644944118,15601.0663687365,1.941410012211502
256,300,19994.913903326717,17275.812740351696,1.1573935307034167
1024,600,72477.75838103524,70364.7320429823,1.0300296224643077
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,4911.759830304253,3799.3333703103463,1.292795169986107
4096,900,16019.196667703854,12984.521812166118,1.2337147951566714
512,900,48081.22597024515,39234.60108057627,1.2254801793830024
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31674.479787837503,31347.334171878083,1.010436154288772
1024,400,18793.634102722157,16121.07512688779,1.1657804429790726
256,700,44981.58158747047,38261.990551516115,1.1756205293843003
256,400,25333.980667656957,22632.15194254064,1.1193801072021707
512,500,24315.90037525566,16731.4559896685,1.4533045056132878
256,900,61332.88858819066,47728.093563071816,1.2850479457584107
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,43355.46216807279,40846.09768688062,1.0614346197873916
4096,800,29719.045568229856,26497.37844693629,1.121584372119879
4096,800,35341.62799195702,29394.111289795015,1.2023370138163303
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.58127043795,15601.0663687365,1.6277465059264797
4096,800,13016.705062099529,12582.997544262242,1.0344677423890187
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,40278.54843189264,37353.09082643066,1.0783190236935347
256,100,7812.600789309362,4829.618848163767,1.6176433451430088
128,600,78195.9655601089,70900.57950763027,1.1028960003309072
2048,900,36844.11835319078,35054.15888407378,1.0510626848881612
8192,1000,8609.967138213582,7701.877971338275,1.1179049019284213
4096,300,7813.220397755444,7534.510577709549,1.036991098117301
256,500,31350.01452863485,27381.290499521965,1.1449429138185496
256,700,82278.66799559616,52807.571677195476,1.5580846719965262
128,500,56832.32208430141,53535.80791606614,1.061575874102873
