eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.16,0.8,4.350155337105952,4.350155337105952,0.16,0.8
2,0.78,0.9,5.915781876238473,4.350155337105952,0.16,0.8
3,0.68,0.45,2.8707478100446164,2.8707478100446164,0.68,0.45
4,0.52,1.0,19.023082823371293,2.8707478100446164,0.68,0.45
5,0.34,0.6,3.3149749071001895,2.8707478100446164,0.68,0.45
6,0.72,0.7,3.806522674216164,2.8707478100446164,0.68,0.45
7,0.54,0.8,4.350155337105952,2.8707478100446164,0.68,0.45
8,0.6,0.5,2.9987629698970677,2.8707478100446164,0.68,0.45
9,0.36,0.35,2.6694043738907474,2.6694043738907474,0.36,0.35
10,0.2,0.55,3.164692870312215,2.6694043738907474,0.36,0.35
11,0.5,0.1,3.326339302338173,2.6694043738907474,0.36,0.35
12,0.72,0.9,5.915781876238473,2.6694043738907474,0.36,0.35
13,0.84,0.95,7.398604392517096,2.6694043738907474,0.36,0.35
14,0.36,1.0,19.023082823371293,2.6694043738907474,0.36,0.35
15,0.82,0.5,3.3101694720953176,2.6694043738907474,0.36,0.35
16,0.26,0.6,3.3149749071001895,2.6694043738907474,0.36,0.35
17,0.58,0.7,3.806522674216164,2.6694043738907474,0.36,0.35
18,0.46,0.9,5.915781876238473,2.6694043738907474,0.36,0.35
19,0.86,0.3,4.238544060457696,2.6694043738907474,0.36,0.35
20,0.76,0.45,3.21101631754585,2.6694043738907474,0.36,0.35
21,0.36,0.4,2.7950573536704932,2.6694043738907474,0.36,0.35
22,0.18,0.15,2.453387993791804,2.453387993791804,0.18,0.15
23,0.9,0.2,5.222696222525928,2.453387993791804,0.18,0.15
24,0.18,0.0,3.8779240086616076,2.453387993791804,0.18,0.15
25,0.1,0.65,3.481282164078362,2.453387993791804,0.18,0.15
26,0.1,0.45,2.8707478100446164,2.453387993791804,0.18,0.15
27,0.1,0.75,4.0513432533955775,2.453387993791804,0.18,0.15
28,0.1,0.05,2.5291246731374777,2.453387993791804,0.18,0.15
29,0.9,0.15,5.494460173035496,2.453387993791804,0.18,0.15
30,0.1,0.1,2.329492430486861,2.329492430486861,0.1,0.1
31,0.1,0.25,2.461063310324238,2.329492430486861,0.1,0.1
32,0.1,0.2,2.400228548339532,2.329492430486861,0.1,0.1
33,0.1,0.15,2.342692885449598,2.329492430486861,0.1,0.1
34,0.1,0.35,2.632835870482175,2.329492430486861,0.1,0.1
35,0.12,0.1,2.392033228772002,2.329492430486861,0.1,0.1
36,0.12,0.15,2.3292045908814267,2.3292045908814267,0.12,0.15
37,0.14,0.1,2.4360613771353035,2.3292045908814267,0.12,0.15
38,0.1,0.5,2.9987629698970677,2.3292045908814267,0.12,0.15
39,0.14,0.15,2.3806826693533596,2.3292045908814267,0.12,0.15
40,0.1,0.3,2.529565040624419,2.3292045908814267,0.12,0.15
41,0.4,0.45,2.8707478100446164,2.3292045908814267,0.12,0.15
42,0.12,0.2,2.3532615906051038,2.3292045908814267,0.12,0.15
43,0.14,0.2,2.3924218087800835,2.3292045908814267,0.12,0.15
44,0.16,0.1,2.4826201054286403,2.3292045908814267,0.12,0.15
45,0.16,0.15,2.4084537348022983,2.3292045908814267,0.12,0.15
46,0.9,0.6,3.9342574839997044,2.3292045908814267,0.12,0.15
