P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,44376.178946277956,25339.817846041748,1.7512430127120988
256,400,178168.78838696535,48679.56019676214,3.6600328282919863
8192,800,100830.77466335618,62137.90128877687,1.6226935987869915
128,1000,551017.3180599087,125295.95783362567,4.397726212297906
2048,600,150850.92524222072,95460.11175339336,1.5802508762185516
256,900,385139.61650603986,77030.62312975689,4.999824756152863
256,100,35935.61988713237,26193.65899088914,1.3719205819863407
4096,300,29267.329946828453,20887.76340872541,1.4011710767751546
256,200,91476.50200767329,25775.82693292296,3.5489259857976525
2048,400,53353.16851297818,34397.99854935305,1.5510544439505374
8192,1000,98798.5714152644,71441.52524391812,1.382929200880621
1024,500,117909.08221194815,69330.81468246617,1.700673542521742
256,600,288266.7493593984,65997.13135384436,4.367867867072175
8192,900,71891.11341642863,50985.945546331204,1.41001824416693
8192,700,102891.31611992445,54661.38833726035,1.882339970677031
256,1000,405772.39729771175,62174.13220982782,6.526386181447525
8192,900,280466.61127584707,200725.03795784948,1.3972676957955918
2048,700,62933.379452776855,45736.33575987692,1.3760039672436193
1024,600,118925.91259007636,69645.19944005155,1.7075966979237978
4096,1000,73553.08123955842,51207.743830232605,1.4363663723089735
2048,200,45630.9000899757,33208.183834406,1.3740859878852782
512,800,175027.60551861647,58281.74602729851,3.003129066116782
128,200,144409.2882517852,36920.89002320384,3.911316551714426
2048,800,121167.80019165271,69914.3129245496,1.7330900515666237
512,100,47805.685165546056,34744.80913128068,1.3759087000569157
1024,100,24413.54179135213,17424.209760559108,1.4011276337256828
512,900,208594.36208694847,65527.226447374065,3.183323534294159
256,800,378400.59082193865,88988.07431158595,4.25226181990402
1024,100,32038.060324855956,17010.884101954263,1.8833859623542626
1024,700,222279.7593860073,122698.14519501191,1.8115983663218709
256,300,160930.94200372547,58817.967607809784,2.7360847126985264
1024,600,121358.38589403988,56839.82740281852,2.1350942013596277
8192,200,70604.2732696018,48832.439654252754,1.445847755498183
1024,300,72059.61138456596,51334.02512144949,1.4037397459887955
4096,900,121737.61976165233,68798.33552250691,1.7694849568246704
512,900,162968.24497520935,70503.79592528375,2.311481854791402
4096,100,47798.311693281175,34460.69141352587,1.3870386731277327
8192,700,34626.6218796499,24919.342184621364,1.3895479914
1024,400,114930.4607727165,71121.47502380062,1.6159740884768674
256,700,227986.04571468112,46686.09352875527,4.8833823625499555
256,400,158353.19027161444,59315.77823058138,2.6696638735150646
512,500,252954.3335735093,104189.08387589059,2.4278391186818284
256,900,246603.97191689673,57244.69321120439,4.307892279325369
8192,500,135713.95220390463,87191.89492611904,1.5564973363510466
8192,300,62220.245061096255,37997.38137569971,1.6374877112160071
1024,800,117139.12093714766,76586.05734526525,1.5295097436477387
4096,800,117586.56254281582,69744.6297416748,1.6859586605928145
4096,800,109017.32439224751,49156.66889863417,2.2177524806868387
