P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19860.463881479434,18779.00655706,1.0575886334100488
256,400,57382.73721370813,43244.960742362484,1.3269230964406074
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,207158.37563622842,119404.61005167404,1.734927785004094
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,108003.10690942321,51518.201495127876,2.0964067800316584
256,100,15911.479076073301,12924.548421892341,1.2311052236936593
4096,300,20427.414199512354,17279.41691731119,1.182181916048763
256,200,30808.17950398353,22891.533499154106,1.3458329257461918
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60202.342442558154,60202.342442558154,1.0
1024,500,80799.04730345139,53664.96732667876,1.5056199850378613
256,600,89476.81436558986,58028.72573355824,1.5419400173704843
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54692.88188405695,35360.41439156067,1.54672627075067
256,1000,113830.70452648957,58863.710166351215,1.9338010499983678
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41611.35817859911,41611.35817859911,1.0
1024,600,59469.037331122156,43965.34404781527,1.3526344128331074
4096,1000,34364.0264928757,33915.21825046568,1.0132332405793631
2048,200,13856.523859667745,12441.910416424595,1.1136974464448575
512,800,64547.16801962173,54149.74440156318,1.1920124228279534
128,200,51424.15345850283,38939.521911435,1.320615943243042
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,60573.79424177784,60573.79424177784,1.0
1024,100,9640.921141579869,9640.921141579869,1.0
512,900,63194.65705489907,46304.128599874144,1.3647737030315443
256,800,120958.94701345658,86969.02217444926,1.3908279521739093
1024,100,30201.18837266795,20829.72320776272,1.4499082907358423
1024,700,137031.3791937954,101971.47650017287,1.3438206829687624
256,300,44615.36167560549,35896.699653227304,1.2428819949076944
1024,600,87991.7976317958,86765.25402755744,1.014136345452856
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19501.10966671803,18573.116360380285,1.049964329535851
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,64016.18574370248,53309.00486140186,1.2008512616234017
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71120.8184456615,63377.543120814065,1.1221769564352904
256,700,78297.46748263336,38261.990551516115,2.0463511269026453
256,400,48153.0600880309,22632.151942540644,2.127639484317872
512,500,108935.05506513613,62904.27191045394,1.7317592550822039
256,900,90782.82495018916,47728.093563071816,1.9020836193723365
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,68112.39056714416,66116.18200423285,1.0301924355339138
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,60947.46333963169,60947.46333963169,1.0
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,51792.89336175282,51521.92639179481,1.0052592554070563
256,100,18591.55150130443,17954.53769414384,1.0354792653540927
128,600,125985.57059937065,70900.57950763027,1.7769328752215934
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30095.189684788515,28498.849543516073,1.0560141959006073
4096,300,18481.458954016285,18481.458954016285,1.0
256,500,76407.88909656221,66627.75825410518,1.1467876317428771
256,700,104957.97977391879,61827.216222082076,1.6976015772230777
128,500,95335.71782423015,53535.80791606614,1.78078414308603
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,170047.89312148004,89245.39881899078,1.905396752905709
512,300,25142.342066456084,25000.830378077444,1.0056602795282643
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,183060.54897624094,103084.41806074536,1.7758314245744438
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,182272.82227853508,103160.92321660006,1.766878548535564
1024,400,26611.894241008282,26611.894241008282,1.0
8192,600,26765.49781642046,18661.250273283804,1.4342821313928265
128,400,86154.76078590521,46532.57276323225,1.8514936026486044
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,99321.15677043704,51088.94408718974,1.9440831777797742
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19860.463881479434,18779.00655706,1.0575886334100488
4096,900,43598.44323267971,40761.55353335776,1.0695971927811914
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,71556.21083382351,32755.432020731212,2.1845601300124797
4096,700,92388.85545586015,80356.03512507299,1.1497438283516384
256,100,14532.939351129857,14135.174116163842,1.0281401015436493
2048,500,36276.16196639806,36276.16196639806,1.0
512,600,40951.67596242388,30580.976963775065,1.3391225535709177
512,500,35496.811911768345,35496.811911768345,1.0
512,400,39318.176059333724,34415.68964887445,1.1424491695641381
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,115658.98405291601,69365.62215019029,1.667381917262869
2048,800,44815.360516514986,42695.059714644456,1.0496615021981868
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,72351.65357167307,68462.06472805722,1.0568137823342891
1024,300,24884.360268374934,16760.521743464207,1.4847008135697584
1024,800,76863.64252647093,75591.86163784155,1.0168243096687106
1024,100,17347.873752067557,17347.873752067557,1.0
2048,200,27814.232772578187,27814.232772578187,1.0
256,100,22160.604795908428,18702.315368100946,1.1849123683213048
1024,700,57808.71146437831,42452.09110493904,1.3617400217454216
4096,800,52807.69621151402,44366.085532812314,1.1902717036520711
4096,800,78733.61137126268,78733.61137126268,1.0
8192,1000,58676.89014369309,45809.33523320091,1.2808937271188832
8192,700,64966.29240789171,57793.63501321383,1.1241080854844645
8192,1000,34363.77027208787,33915.21825046568,1.013225685835474
4096,900,32971.58209238425,32655.352187910106,1.009683861397496
512,700,85489.25337642858,85438.48061711625,1.0005942610278835
1024,200,39819.50324919486,39819.40708715139,1.0000024149541769
4096,700,144776.89101997757,132452.11299022113,1.0930508223048612
2048,700,99709.094848786,91119.24221630921,1.0942704572990765
8192,300,19674.24141386905,19674.24141386905,1.0
8192,500,75288.1433121715,53378.57096652857,1.4104563301138482
8192,700,57385.630059631025,49777.7756414471,1.1528363676389208
256,1000,109248.99522131064,90498.72860811553,1.2071881771332826
2048,100,34300.968848800694,34300.968848800694,1.0
4096,700,91526.83913463607,82072.46511123,1.1151954435704212
1024,800,105064.25452997841,101845.3758611526,1.0316055455793511
1024,400,193617.75633465478,193515.84305327947,1.000526640505332
256,100,17614.102954188682,17587.547381984677,1.0015099076424496
128,900,169095.17960168782,96720.06020199122,1.748294813387705
512,900,84999.74656440625,72227.30001714897,1.1768368268539002
4096,1000,90498.72860811553,90498.72860811553,1.0
8192,300,32671.02721643224,25922.78608210399,1.26032082789847
512,500,91224.39883285058,86843.01321389293,1.0504517917655203
128,800,141691.99116239845,79920.49096406845,1.7729119210003592
128,100,29419.051242879883,22982.09428187623,1.2800857433641224
2048,200,24337.522142430917,21228.428234486382,1.146458978196685
4096,500,97935.06095418494,97935.06095418494,1.0
128,400,86775.7017017943,48772.78954290394,1.7791826654790854
1024,700,112815.51168048913,107260.20847207752,1.0517927690757547
128,300,68713.83448212675,36726.85726982461,1.8709423999254944
4096,500,97704.51114863665,71401.30747796739,1.3683854623920684
256,500,73239.09279659892,49937.16420129462,1.4666249869811432
512,500,150391.02842108774,147481.94731846493,1.019724997910023
128,800,182163.23137855754,97370.5352483193,1.8708249976648026
128,400,153407.85743701507,125078.80246001596,1.226489656279329
2048,600,69810.88306363206,51282.51062023954,1.3613000264476127
4096,100,22656.454190491233,22656.454190491233,1.0
256,900,207903.7683622435,184098.91857787647,1.1293046692954758
2048,500,37441.44378906292,37441.44378906292,1.0
1024,500,44709.94751254691,44576.14394763512,1.0030016854995123
128,200,46491.81615383502,27723.977542298137,1.676953318942169
8192,200,67151.768032449,67151.768032449,1.0
2048,800,102111.58651335901,101845.3758611526,1.0026138707816183
512,800,72029.43030616596,52828.81053104514,1.363449783974172
512,800,86207.15827602493,76577.73322810722,1.125747063042907
1024,600,67293.2031554284,48408.82573041455,1.3901019522799347
128,200,42956.45180411836,24735.736732623263,1.7366150144808226
2048,600,30580.976963775065,30580.976963775065,1.0
8192,500,28469.146325251975,19560.487282935454,1.4554415702152996
512,300,42622.5946896303,33160.64237859692,1.2853368219772627
512,600,74746.68209840998,44462.8864987731,1.6811027799662202
4096,300,77306.4040908596,77306.4040908596,1.0
2048,200,10040.691196847953,10040.691196847953,1.0
512,800,61739.41686931282,50772.066671360866,1.2160114983883124
128,500,195043.96851347384,173629.6110728368,1.123333556461483
4096,600,79716.44372053785,72740.10717064606,1.0959077023838515
8192,400,48786.97977664097,45126.38541333707,1.0811187142461007
256,100,24045.44501432542,22363.056566867846,1.0752307021371188
2048,1000,44717.06413207334,28109.406843986402,1.590822046877873
2048,500,106470.18029386172,62891.775190494496,1.692911036003857
2048,1000,100629.9499995415,75796.72432283711,1.3276292728816816
1024,600,20038.494740054906,18779.00655706,1.067068946334725
1024,800,112712.6140324423,112592.55358879731,1.001066326678081
128,200,42812.31434770618,22186.36413155776,1.9296678849154103
512,100,12506.156799285585,12506.156799285585,1.0
4096,900,86400.2555317499,85663.51049156082,1.0086004535182067
8192,900,115414.78727487197,114082.80036744605,1.011675615457683
8192,300,34502.74586232038,24597.69281353905,1.40268219966262
4096,1000,109432.411547284,97058.77161015228,1.127486055426622
128,200,51000.06363004381,34129.72158000343,1.494300605719699
4096,200,39531.928160618925,38939.460754354994,1.0152150901626873
8192,600,104029.86993284992,85848.15788843864,1.2117891925886024
4096,800,60650.662845165505,60650.662845165505,1.0
2048,500,50705.354043764484,35523.310698868714,1.427382556586407
128,300,79548.11464352751,42868.394179046576,1.855635513457358
128,100,27397.926229908382,17899.559780833548,1.5306480475148598
128,400,91356.0314726509,47063.4505065966,1.94112481106429
4096,1000,38984.021898611805,30918.141407431434,1.2608785691510445
2048,800,50763.481713515124,50763.481713515124,1.0
2048,100,21949.84902967429,21949.84902967429,1.0
128,900,185748.15528772035,102028.33792508653,1.8205545544033503
8192,700,32132.281384762522,31684.037608755014,1.0141473060202293
1024,700,75389.2980294502,66320.27242801076,1.1367459039207608
512,700,77414.63322279861,61346.24441089266,1.2619294622875536
8192,1000,544585.7100480688,544585.7100480688,1.0
8192,1000,52342.92934087619,52314.885183268474,1.000536064592505
1024,100,32549.68860708646,31319.451246236975,1.039280297447654
8192,1000,121905.96704247322,120557.43492411824,1.0111858063271153
4096,900,31640.39833817212,31640.39833817212,1.0
8192,600,122634.8967329771,122634.8967329771,1.0
8192,1000,49557.77241888677,49557.77241888677,1.0
2048,100,23289.9839332401,23097.256435111492,1.0083441727665814
512,800,56569.42113527208,38336.594525084816,1.4755984937122406
2048,200,37946.30536557415,37946.30536557415,1.0
2048,600,47605.80001172237,33916.34753113008,1.4036240184184763
1024,100,30830.538373510248,29554.958545859663,1.0431595877785211
256,700,89927.23805350065,47523.960799855195,1.892250488805526
128,1000,208525.76639379346,111804.66682439692,1.8650900030971784
1024,800,47731.930702314814,40421.19798120487,1.1808638310153328
1024,800,37761.80003936651,34904.751507598776,1.0818527108306661
1024,1000,61418.44532081896,55735.236402641,1.1019679700848755
8192,600,60304.7350232043,60144.36411673883,1.0026664328207744
4096,200,16397.45685213153,15726.677746397436,1.0426523081702843
1024,700,145956.34759878524,132452.11299022113,1.1019555996782107
8192,800,120712.62684671115,107232.14310089932,1.1257130871023202
128,1000,200917.53073015128,109237.63657662571,1.8392702096700517
2048,1000,80492.86503772205,56446.32882143322,1.4260070888287446
1024,1000,96981.82358671691,70250.77350904822,1.3805089786552425
2048,900,94705.42658694458,82690.26725018611,1.1453031866544297
512,600,54755.79688940717,28950.864730709705,1.8913354540089027
1024,700,31562.4983366414,29025.881672657724,1.0873915456760495
1024,100,17402.954696611207,17402.954696611207,1.0
4096,100,17809.6328420409,17809.6328420409,1.0
128,700,152744.17076554615,83214.36890509089,1.8355504316779307
128,300,68273.7159891731,34512.68583773153,1.978220886956639
2048,1000,71261.14520805598,71261.14520805598,1.0
256,500,62459.60677016521,35523.310698868714,1.758270992803447
128,500,103170.26035006373,56026.380959696515,1.8414585875943144
2048,400,32986.48142357282,30788.555312709123,1.0713877636849176
128,900,186119.1471601092,103152.02937065497,1.8043188126850074
128,300,58015.04351586795,30815.59640870832,1.8826519774731088
4096,200,29262.956466577773,28939.495392742734,1.0111771497548694
128,500,110068.22462836649,62386.64500506909,1.7642914540351244
256,200,41121.70045114857,34123.56738045935,1.2050821062365435
1024,300,20366.163083435094,20366.163083435094,1.0
2048,200,61372.60518345501,61372.60518345501,1.0
4096,500,114981.83515243819,114521.14245494771,1.0040227742023418
8192,100,14996.978704083662,12056.98525864028,1.2438415061788786
4096,700,57520.205103725944,42452.09110493904,1.354943975822991
1024,500,38397.17028659358,38397.17028659358,1.0
2048,1000,91528.0634935453,90612.693267471,1.0101020088142874
8192,1000,162392.86932151654,162392.86932151654,1.0
2048,1000,60543.78817954,60543.78817954,1.0
8192,400,32120.436929723935,30165.425795839306,1.0648096647836571
128,700,132530.6994555005,75809.96321061933,1.7481963299111036
128,1000,357322.2319584792,288023.0601366038,1.2406028593301113
2048,900,53544.97242009216,42076.23356110103,1.272570472410198
4096,200,26168.682166838385,18050.62303154285,1.4497384451001776
2048,300,48198.78486748399,45111.95494347674,1.0684259843732091
128,100,29978.05768474354,14446.766271911083,2.0750704427903717
128,1000,243104.60799916982,110076.46947736123,2.208506587769584
4096,300,20570.96909448887,20570.96909448887,1.0
256,200,32679.090778539972,27723.977542298137,1.178730242754016
4096,400,66926.42590403692,66926.42590403692,1.0
2048,200,32540.902931029297,32540.902931029297,1.0
256,1000,206040.32497060753,194547.19755313522,1.0590762938866456
4096,600,57412.70684815128,57412.70684815128,1.0
256,500,118199.13331708002,73196.94614990943,1.6148096270984424
256,400,61864.91910145112,45126.42140747785,1.3709245531089145
512,500,117299.90909720205,114523.64185050332,1.0242418700788682
2048,900,61672.66649060858,52757.84825268096,1.1689761529930214
8192,300,84396.74424018276,84396.74424018276,1.0
512,900,152905.64972016896,149649.57060028278,1.0217580251438425
2048,600,36812.81167359563,32874.997452313044,1.1197814304623017
256,700,89355.84972514967,51196.085489777375,1.7453648823012433
128,300,56754.711462604,27253.416999670506,2.0824805734741507
128,300,68718.84406826447,33300.695014947356,2.0635858812381938
1024,700,49201.53957608187,49201.53957608187,1.0
256,800,91751.11279776754,57826.93902776309,1.5866499998161279
1024,1000,41299.96990167611,30928.88515915138,1.335320354715601
4096,900,49088.85342426217,42308.40617125458,1.1602624127593442
512,600,33285.57257209172,21988.935751463338,1.5137418631038841
2048,700,110859.18311471,110859.18311471,1.0
256,400,69003.3753047017,53259.20525974124,1.2956140627367099
2048,500,66624.56129320196,66624.56129320196,1.0
128,800,169498.6267628225,92351.37447544445,1.8353665846943181
512,200,29674.45065653877,23117.237029627373,1.2836504041770902
128,900,173322.4379118282,94518.05570423097,1.8337495055356885
512,300,34026.784427893814,32331.936268961428,1.0524202492802583
8192,400,34318.891360832946,33618.972390895855,1.0208191660886885
8192,500,31854.501985315517,30238.042864909574,1.053457795784852
128,400,88601.90414145727,48720.51320368562,1.8185749351826346
512,400,186810.55064719173,186703.3320474569,1.0005742725561404
8192,700,21733.392272247234,21733.392272247234,1.0
8192,400,35053.10290940029,26546.468859735378,1.3204431479987695
1024,600,38561.06539187572,29865.350306368007,1.291164007664547
512,700,42955.60886468702,29025.881672657724,1.4799071170041682
4096,400,39061.461442675914,36227.84755042349,1.0782164573346091
8192,300,30746.90512885161,27248.226586824265,1.1284002293095696
512,200,20330.555626091365,20330.555626091365,1.0
2048,500,150425.0517802286,150425.0517802286,1.0
128,400,82102.83135468206,42797.12681057494,1.9184192368351907
2048,400,19109.337999903033,17742.443550288524,1.0770409355250439
4096,400,27724.391935842763,27155.933418576842,1.0209331238408859
8192,800,48600.44480731025,48235.14390825591,1.0075733349059588
1024,900,86400.2555317499,85663.51049156082,1.0086004535182067
512,700,98677.19936897265,80357.08323268619,1.2279838366362523
256,1000,150477.60553617205,95719.83817352499,1.5720628911154222
256,700,94207.33391626015,66354.8129063725,1.4197513306109069
256,500,118653.43496831646,63127.950965255164,1.8795705096403625
8192,700,95854.95894721552,73742.01759573007,1.2998689495141489
128,500,92494.00633508094,55659.95529531376,1.6617693249004168
2048,900,47141.2083674515,47139.992713958745,1.0000257881561445
128,200,53698.84323954461,42776.4318576044,1.2553371309299264
4096,400,66503.6244481076,66503.6244481076,1.0
2048,400,25810.603068699493,23700.07824770922,1.0890513861992952
2048,100,9516.14337669928,9516.14337669928,1.0
256,300,37452.14526995846,16760.521743464207,2.2345453108918276
1024,800,36500.09774318068,35597.83621265971,1.02534596555619
128,900,226036.2346363483,110304.68081578685,2.0491989366601557
1024,900,75449.13454700036,75449.13454700036,1.0
2048,400,23344.740664976227,19252.6280861351,1.2125482588939682
8192,900,33314.868764375235,33158.57017036733,1.004713671102368
256,500,95212.47747079656,84910.77897470127,1.1213238015301288
512,100,11384.221460230954,9011.915100790524,1.2632410905904263
2048,400,32352.598258555856,32352.598258555856,1.0
128,700,268421.0079363777,237800.98990500558,1.1287632067621078
2048,400,78360.87006089554,50876.400696790595,1.5402203966413592
4096,1000,281398.91676139703,281398.91676139703,1.0
4096,800,120712.62684671115,107232.14310089932,1.1257130871023202
128,1000,232873.9793042366,163336.4654407616,1.4257317168938903
128,1000,214678.30259556757,115948.15552755489,1.8515025238547207
128,600,107321.69830212873,64016.28039679616,1.676475072230218
