P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,52301.03659634151,32086.250269673834,1.630013982835931
256,400,119522.27662828351,69344.18366491112,1.723609253313094
8192,800,100717.30097169959,68639.61815064191,1.4673348087493359
128,1000,441000.723381192,125295.95783362567,3.51967239012431
2048,600,228009.17569206594,191374.78812730435,1.191427449369099
256,900,233118.3410771864,79309.82918527524,2.939337323909751
256,100,35300.46333312971,27744.76099020595,1.2723289757511684
4096,300,28652.799098768737,24265.13520631133,1.180821736831542
256,200,66317.40258557243,32996.77807816611,2.0098144863863086
2048,400,57747.38231065424,49006.50439213838,1.1783615874450755
8192,1000,111091.68707286558,97895.23348711745,1.1348017989812007
1024,500,140114.85738894917,103433.70181766388,1.3546344656207698
256,600,189854.08835915296,107515.86756387605,1.7658238980061163
8192,900,80336.47064903792,76055.59330000391,1.0562861607317682
8192,700,117654.35636482693,80626.46962808013,1.4592522394636878
256,1000,262258.6085078736,66688.81108753479,3.9325728593907106
8192,900,325033.65083780687,294265.0674249581,1.1045607746855484
2048,700,63366.80902032094,53921.858220267735,1.1751599650270048
1024,600,119615.36313557636,87981.12037524463,1.359557171190931
4096,1000,73520.28109613786,57823.110280004155,1.2714688078887715
2048,200,48019.550182057996,43211.18708703341,1.1112758852317541
512,800,111863.50744051396,76745.1936743743,1.4575962621860694
128,200,110288.14686798325,55080.46923257345,2.0023095010737695
2048,800,137689.4874142843,91530.45019922058,1.5043025257124407
512,100,85508.93491841832,81541.92332472774,1.048649963502732
1024,100,27677.821284512742,26126.125239736124,1.059392505797859
512,900,129420.949093066,83768.9354752691,1.5449754537142786
256,800,251792.89044291293,140690.70674223357,1.7896909914898302
1024,100,37266.38305293361,26128.92828146623,1.4262499652298177
1024,700,289365.30497821554,209079.4040392636,1.383997177091029
256,300,112779.12390110608,73378.01257741736,1.5369607316921896
1024,600,129331.93540702626,121589.27436436518,1.0636788161055946
8192,200,76737.1412759594,66804.37457564907,1.148684375288365
1024,300,72712.56724339104,60661.299768006524,1.1986648410349507
4096,900,137897.67704768523,83867.31024046338,1.6442363139142844
512,900,113338.390036987,83934.36071927342,1.3503217164667305
4096,100,85508.93491841832,81541.92332472774,1.048649963502732
8192,700,48366.36010081021,48366.36010081021,1.0
1024,400,117230.95481767939,93715.09953214714,1.2509292035427608
256,700,159173.1425512234,54206.33391376397,2.9364306910046625
256,400,114636.35533018304,62094.6152682652,1.8461561414773824
512,500,253990.67631473456,150411.49619722992,1.6886387193548322
256,900,190678.38164170622,65851.69814960258,2.895572733880318
8192,500,165067.91119589674,145171.26830844925,1.1370563412394563
8192,300,65589.37560955515,49207.11959862682,1.3329245065461115
1024,800,123488.69507858108,113583.42103934956,1.087207040856781
4096,800,137689.4874142843,91530.45019922058,1.5043025257124407
4096,800,126129.97832789207,80495.74766274964,1.566914799727492
8192,500,140696.69016453528,126547.99516819877,1.1118049715250806
4096,700,289365.30497821554,209079.4040392636,1.383997177091029
4096,800,83449.65018397715,76289.52886222344,1.0938545751761644
4096,100,34299.703774139845,27021.11397775278,1.2693667552855048
8192,600,87509.55268976188,71516.09563181561,1.2236343709293773
8192,800,204518.33550120823,111382.24810651336,1.8361843020588888
512,300,70359.00988691687,64288.232254330745,1.0944306200327536
256,100,79880.39365934391,66621.99147149005,1.1990093945709746
128,600,277656.1871501975,74899.47399565695,3.7070512293089988
2048,900,279314.68084379303,246837.67939689083,1.1315723009803635
8192,1000,65939.58524748913,55350.7803146872,1.191303625217226
4096,300,55936.24188161909,44478.45983108848,1.2576029407052922
256,500,160743.62606981857,126547.99516819877,1.2702186696531172
256,700,195592.23041704195,88059.66488743904,2.2211330314174464
128,500,231323.75269879153,56182.17500713485,4.117386923333149
2048,700,117749.60436414367,82723.15596316708,1.4234176995927512
128,800,366089.341685268,133043.65281458962,2.7516483044512627
512,300,48846.16267943282,36792.68253707005,1.3276053636539933
4096,200,98346.95613804623,87248.16939999937,1.1272093937829593
4096,500,407358.924002126,374127.1854931126,1.0888247093437298
8192,1000,193160.3507909372,150682.91879743664,1.2818994503989072
128,900,384603.7118302555,109443.21737422631,3.5141849906984644
4096,300,39428.29477015754,36076.63280186646,1.0929039577140824
4096,400,123846.66877740408,80803.01007103526,1.5326987035325594
128,900,406000.3180917231,109318.34627419793,3.713926636553503
1024,400,62176.80706969736,55614.3310578869,1.117999729331992
8192,600,44335.957876248794,36813.11504024967,1.2043522485878746
128,400,213086.35703922165,101350.91774796846,2.102461050911331
4096,700,104182.23087818015,83298.65199605712,1.2507072849523608
8192,500,80693.58825427183,62291.80850112228,1.2954125140357422
256,900,204288.07202161016,72343.07089417889,2.82387890777316
8192,1000,281939.9591768486,193587.99783544827,1.4563917305271186
8192,600,52301.03659634151,32086.250269673834,1.630013982835931
4096,900,79877.63439656381,74506.27131782444,1.0720927645919431
8192,700,295026.67550101684,257665.43434439163,1.1449990420782974
128,300,128214.06058643569,39128.1871492468,3.2767697643999782
4096,700,164326.87505789372,120542.04638444567,1.3632328302591177
256,100,26229.705707088975,16062.953290333515,1.6329317052097565
2048,500,67587.034005472,64798.784885890724,1.0430293426719548
512,600,74778.6652047932,54759.00301290296,1.3655958123849146
512,500,64729.21967377493,40793.162330552455,1.5867664082834618
512,400,82773.8326851068,74066.52558882261,1.1175606257626078
8192,1000,320606.5498600749,296829.78369162104,1.0801023599207138
128,600,254513.9034002134,72849.63176490327,3.4936882621667613
2048,800,117947.64912323804,80691.6874824957,1.4617075538149353
8192,200,41482.192194662544,41095.10804137316,1.009419227050083
512,400,191636.16403342912,161388.29849094016,1.1874229161923222
1024,300,71569.09033470388,42146.23556164081,1.698113470419696
1024,800,197802.06665379362,164504.5334558055,1.2024110369391952
1024,100,18958.590370662885,18958.590370662885,1.0
2048,200,62241.671025236035,57462.271367614376,1.0831745690497594
256,100,67746.51370579659,54998.76131684471,1.2317825362559132
1024,700,157440.49422987702,99618.79371512462,1.580429639412243
4096,800,81196.72794316032,63505.82912459984,1.2785712597161836
4096,800,229459.97648608472,202353.75339573988,1.1339546345717326
8192,1000,135558.59027903655,97107.11998289233,1.3959696292395278
8192,700,179094.7897140429,143967.24459588702,1.2439967870244246
8192,1000,73520.28109613786,57823.110280004155,1.2714688078887715
4096,900,93707.46638166028,71933.22533163877,1.3027007471114247
512,700,203561.9401185781,177200.19832819805,1.1487681280218132
1024,200,58621.34438861845,54881.936751014604,1.0681354897253095
4096,700,179129.6996575959,168001.64809777957,1.0662377523424034
2048,700,225491.10839502138,177106.47023915342,1.273195203374176
8192,300,45246.44884681913,42831.51684479748,1.0563821265254811
8192,500,165370.53495529993,105591.85204537216,1.5661296942139176
8192,700,94179.72443194437,61680.706160931106,1.5268911511197698
256,1000,249166.64699142642,147856.9083645297,1.6851877247231861
2048,100,84267.66016108869,80097.32978272869,1.052065785334822
4096,700,164290.13640544377,124421.16221479316,1.3204356355538878
1024,800,130166.54077009376,124249.35109939276,1.047623505622718
1024,400,495879.4231474306,447124.8921868822,1.1090400731708105
256,100,25674.11729904667,18030.171622542253,1.4239530181147892
128,900,351547.5522070875,106569.95671190214,3.298749132060268
512,900,197968.60248688684,155561.6151421717,1.2726057280001775
4096,1000,160282.60988754028,147856.9083645297,1.084038694305551
8192,300,84512.90326494264,59646.42706960382,1.4168980007188212
512,500,235988.51533166494,191297.86620507852,1.2336181266061608
128,800,315002.85364884045,84426.00544789649,3.7311116637307267
128,100,59365.721693853484,33864.52550884084,1.7530356856278757
2048,200,50173.30207550245,38158.64128795635,1.3148608121782934
4096,500,100808.81710997372,100808.81710997372,1.0
128,400,216777.12170985664,56697.870143421365,3.823373279481279
1024,700,281162.3694183908,203696.4792654518,1.3803005846359646
128,300,189800.78493055142,56263.074324413734,3.373452076865854
4096,500,203811.68253820372,144967.29718427974,1.4059148959583767
256,500,135066.2577148567,64740.90042417872,2.086258560352269
512,500,239150.1377199471,225641.9561793339,1.0598655576708316
128,800,394666.2251658199,103240.3095790912,3.822791957665244
128,400,324102.6660424132,248839.23122737743,1.3024580748132262
2048,600,133959.45683560407,92901.70772451619,1.4419482711000047
4096,100,56249.97868910553,53822.603263146375,1.045099554439821
256,900,553857.2276372329,471069.48858223285,1.1757442183406197
2048,500,54568.11384020893,46117.50017027101,1.1832409310725278
1024,500,116388.08026303547,94363.66759019131,1.233399286349204
128,200,106161.7403152909,34021.21650844406,3.12045691514122
8192,200,173653.06925265447,148803.6312079928,1.1669948363687979
2048,800,129818.3550149251,124249.35109939276,1.0448211911471266
512,800,111758.34875956691,82757.78660001053,1.3504269912355618
512,800,236256.13233444546,151102.0773920206,1.5635531715523698
1024,600,146635.41556835145,105019.85128070624,1.39626378994207
128,200,121520.39167160592,70374.68498825342,1.7267628507593247
2048,600,66909.54381219627,54759.00301290296,1.221891198355643
8192,500,58462.22602039689,44043.12302968092,1.3273860253052185
512,300,77632.64948606546,53292.82538852232,1.4567185905438074
512,600,187106.99724113365,123966.35877611427,1.5093368804923328
4096,300,177132.68499295806,151327.6818856169,1.1705240097898693
2048,200,21370.040636156617,20700.962951012414,1.0323210899284025
512,800,149156.45437694903,108006.22245017193,1.3809987146412932
128,500,451623.51680249535,375731.15576153254,1.2019858078767625
4096,600,134786.69096209118,110655.08892051583,1.2180794600319667
8192,400,123846.66877740408,80803.01007103526,1.5326987035325594
256,100,75057.81063852704,64601.3564317874,1.1618612175393037
2048,1000,105981.79997222367,60509.32359768595,1.7514953675052602
2048,500,253677.10434757126,150399.0297809245,1.6866937553858197
2048,1000,345936.8883914221,254936.71337053613,1.356952020828096
1024,600,52301.03659634151,32086.250269673834,1.630013982835931
1024,800,250962.39883362537,220831.60557494673,1.1364423954634189
128,200,141472.31294230826,63311.651754383245,2.2345383357102784
512,100,22649.34942052895,19361.98507836203,1.169784468320901
4096,900,157644.3887502076,138660.26103350002,1.1369110917231078
