P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4907.315421596156,4118.24998149955,1.1916021231448628
256,400,35452.36282332061,23531.7252532983,1.5065772883928885
8192,800,15294.904281553452,14795.02099803586,1.0337872642143566
128,1000,173286.24224250988,119404.61005167401,1.4512525284201157
2048,600,93387.61517766304,91443.0979502153,1.02126477854574
256,900,73528.88520877772,51518.201495127876,1.427240918255491
256,100,6704.048413591094,4679.130547151785,1.4327551552653064
4096,300,1221.6735801706134,942.5154884959478,1.2961840893672123
256,200,17120.62208448821,11080.525409985707,1.5451092300243454
2048,400,16836.131159231765,16659.391108001237,1.010609034272906
8192,1000,31785.267802615333,31785.267802615333,1.0
1024,500,17046.245852401713,10972.920970408175,1.5534829694273848
256,600,54694.364678154234,34696.429261633115,1.576368688135715
8192,900,42072.74163946224,42072.74163946224,1.0
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,81853.64840665426,58863.7101663512,1.390562167680776
8192,900,26450.778381756234,26446.50237773516,1.0001616850485557
2048,700,31784.101151865783,31784.101151865783,1.0
1024,600,23335.899766517283,16874.141147700775,1.3829385189003809
4096,1000,26362.731359044552,25339.795717781904,1.0403687406424045
2048,200,6293.728152070236,5118.145442873633,1.2296891954943274
512,800,30311.84084798452,21229.958775728857,1.4277861378910695
128,200,39606.71983981612,28092.671302858154,1.4098595115013688
2048,800,30189.990622081183,26497.37844693629,1.1393576418338789
512,100,54270.94619297781,52844.49103612885,1.0269934505731868
1024,100,7055.426183239968,6901.431727873591,1.0223134070492101
512,900,37158.39224524855,24134.145646769488,1.5396605618074755
256,800,74142.25544024198,46337.580997070676,1.600045877339368
1024,100,18455.86543316253,16558.912626923186,1.114557812398568
1024,700,32540.180379759113,15601.0663687365,2.085766422029168
256,300,23727.628830341997,17275.812740351696,1.373459482743789
1024,600,75237.7667227904,70364.7320429823,1.0692539364298497
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,5585.295327383083,3799.3333703103463,1.4700724529805742
4096,900,16021.179309999721,12984.521812166118,1.2338674879030465
512,900,52555.3764279006,39234.60108057627,1.3395160134282338
4096,100,52845.76790741077,52844.49103612885,1.0000241628078328
8192,700,31679.85482662815,31347.334171878083,1.0106076214623818
1024,400,19805.768395156716,16121.07512688779,1.2285637427570417
256,700,55958.46161725696,38261.990551516115,1.4625078520657266
256,400,34288.587760287846,22632.15194254064,1.5150387752495214
512,500,28968.922099418265,16731.4559896685,1.731404733533428
256,900,67122.19287915614,47728.093563071816,1.4063455685791297
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44843.61107590372,40846.09768688062,1.0978676939879881
4096,800,29816.25949856366,26497.37844693629,1.1252531852641108
4096,800,35341.246192582,29394.111289795015,1.2023240248413871
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25394.65213087495,15601.0663687365,1.6277510479517059
4096,800,13016.705062099529,12582.997544262242,1.0344677423890187
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43098.54140707002,43098.54140707002,1.0
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,41336.20679805367,37353.09082643066,1.106634173598416
256,100,7648.230062964174,4829.618848163767,1.5836094531294223
128,600,105018.37880777864,70900.57950763027,1.4812062120941711
2048,900,36735.99628918339,35054.15888407378,1.0479782558945872
8192,1000,8609.967138213582,7701.877971338275,1.1179049019284213
4096,300,7813.2984147359375,7534.510577709549,1.0370014527355191
256,500,41944.38196813731,27381.290499521965,1.5318628597461321
256,700,90037.93037101072,52807.571677195476,1.7050193279365065
128,500,75715.84867212382,53535.80791606614,1.4143029052784954
2048,700,73918.01533831634,69459.09380371566,1.064194928128506
128,800,128719.86902829507,89245.39881899078,1.4423137857153527
512,300,13665.42447889601,8874.280036111113,1.539891058574761
4096,200,6390.349985032625,5846.530584549667,1.0930157454268832
4096,500,31287.499663475384,31281.94741052828,1.0001774906425818
8192,1000,18419.61272884568,11706.78763223605,1.5734130751740176
128,900,150168.521955512,103084.41806074536,1.4567528709045146
4096,300,11462.85888647809,11243.031887069747,1.0195522881742567
4096,400,18664.905530445343,16058.873985478984,1.1622798427413297
128,900,144629.076840033,103160.92321660006,1.4019754024143913
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6580.783429669313,6143.604662733954,1.071159977071313
128,400,66227.35485949117,46532.572763232245,1.4232472207472864
4096,700,8878.082531476492,7645.6808588148915,1.1611892642943282
8192,500,12395.199388157413,12395.199388157413,1.0
256,900,72194.1579702771,51088.94408718973,1.4131072634241306
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4482.2537616859345,4118.24998149955,1.088387975917344
4096,900,22644.228879187132,21576.530603346437,1.0494842426462714
8192,700,12378.625714957921,12303.529098815054,1.006103664691629
128,300,65341.21292486039,32755.432020731212,1.9948206722935402
4096,700,37438.432065951594,37261.21500737222,1.004756072998272
256,100,8187.895576164259,5731.651529726247,1.4285403663672007
2048,500,31911.92589194843,28634.316507153108,1.1144643834601935
512,600,35776.316734240514,17725.14487690757,2.0183934733786084
512,500,25013.11121314706,24995.547779787677,1.0007026624706976
512,400,16714.62703082464,10699.281702643733,1.5622195485043213
8192,1000,37946.05174834697,37945.93275199021,1.000003135944965
128,600,97336.66048316643,69365.62215019029,1.4032406466767258
2048,800,13690.132111816256,9344.456009563955,1.4650539419099995
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,15842.4818498523,9893.49469570031,1.601302910359613
1024,300,7081.897116558117,3874.652043565825,1.827750475895812
1024,800,57433.28844263282,54042.00044115176,1.0627528213944255
1024,100,10103.671116784297,8256.468069310878,1.2237279950660058
2048,200,7946.915012457537,7479.733511501313,1.0624596451515091
256,100,7901.117532589864,5741.098881538105,1.3762378415041452
1024,700,14306.800014522029,9298.972325300192,1.5385356052299222
4096,800,10859.059463003972,8113.94962465907,1.3383198029726795
4096,800,17613.492042265192,17329.60230789093,1.0163817801084214
8192,1000,25405.294756309915,24653.74296094643,1.0304842877835632
8192,700,17755.16506963425,16443.27112892882,1.0797830267724164
8192,1000,25633.09706799747,25339.795717781904,1.0115747322307633
4096,900,15847.381928418445,15123.145179145105,1.047889294237026
512,700,36089.18387226519,23042.05276203695,1.5662312835132512
1024,200,10339.678757253429,7925.6844354705545,1.3045786570784095
4096,700,120984.24581835448,119281.29786603454,1.014276738958965
2048,700,8964.530359695971,8384.147776288468,1.0692238017379543
8192,300,1196.5703771496112,1134.6245423979938,1.0545958882756905
8192,500,29540.59515664878,28805.068012604806,1.0255346435468269
8192,700,40693.286771595005,38693.833645176644,1.0516736890108485
256,1000,96429.39197518285,55694.48421872097,1.7313993176862812
2048,100,6624.709264264336,6527.528362389177,1.014887855935656
