eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,3.5,3.2995526962571184,3.2995526962571184,0.4,3.5
2,0.9,1.5,4.272749927005702,3.2995526962571184,0.4,3.5
3,0.3,3.0,2.8506293133729814,2.8506293133729814,0.3,3.0
4,0.1,2.5,2.371221337752,2.371221337752,0.1,2.5
5,0.2,3.5,2.8210732196719994,2.371221337752,0.1,2.5
6,0.9,4.0,7.753420694368442,2.371221337752,0.1,2.5
7,0.9,2.5,6.025897997574258,2.371221337752,0.1,2.5
8,0.1,1.0,19.023082823371293,2.371221337752,0.1,2.5
9,0.1,2.0,2.6716978682970725,2.371221337752,0.1,2.5
10,0.1,5.0,2.672117637804021,2.371221337752,0.1,2.5
11,0.1,4.5,2.578195081291466,2.371221337752,0.1,2.5
12,0.9,4.5,7.887213855844777,2.371221337752,0.1,2.5
