eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.42,3.0,2.4637977798705224,2.4637977798705224,0.42,3.0
2,0.8,4.0,3.366033772526787,2.4637977798705224,0.42,3.0
3,0.3,3.8,2.4637977798705224,2.4637977798705224,0.42,3.0
4,0.64,5.0,2.6466181521514436,2.4637977798705224,0.42,3.0
5,0.52,1.6,2.5379998999447326,2.4637977798705224,0.42,3.0
6,0.44,3.0,2.4637977798705224,2.4637977798705224,0.42,3.0
7,0.54,1.2,3.257967979820485,2.4637977798705224,0.42,3.0
8,0.3,2.8,2.4637977798705224,2.4637977798705224,0.42,3.0
9,0.48,2.8,2.4637977798705224,2.4637977798705224,0.42,3.0
10,0.82,3.4,3.4393283069282483,2.4637977798705224,0.42,3.0
11,0.84,1.2,3.257967979820485,2.4637977798705224,0.42,3.0
12,0.86,4.4,4.033664553257897,2.4637977798705224,0.42,3.0
13,0.5,1.8,2.4805213350486097,2.4637977798705224,0.42,3.0
14,0.72,1.6,2.5792440937251926,2.4637977798705224,0.42,3.0
15,0.32,3.0,2.4637977798705224,2.4637977798705224,0.42,3.0
16,0.1,4.6,2.9770773017895653,2.4637977798705224,0.42,3.0
17,0.12,4.8,2.5682396906772156,2.4637977798705224,0.42,3.0
18,0.42,3.4,2.4637977798705224,2.4637977798705224,0.42,3.0
19,0.16,3.0,2.4637977798705224,2.4637977798705224,0.42,3.0
20,0.76,4.4,3.2059098561245447,2.4637977798705224,0.42,3.0
21,0.4,3.0,2.4637977798705224,2.4637977798705224,0.42,3.0
22,0.36,5.0,2.4637977798705224,2.4637977798705224,0.42,3.0
23,0.5,4.2,2.4637977798705224,2.4637977798705224,0.42,3.0
24,0.1,2.0,2.9770773017895653,2.4637977798705224,0.42,3.0
25,0.14,1.0,38.99262825088499,2.4637977798705224,0.42,3.0
26,0.1,3.2,2.9770773017895653,2.4637977798705224,0.42,3.0
27,0.1,3.6,2.9770773017895653,2.4637977798705224,0.42,3.0
28,0.1,1.4,3.00229302669502,2.4637977798705224,0.42,3.0
29,0.4,2.6,2.4637977798705224,2.4637977798705224,0.42,3.0
30,0.4,2.4,2.4637977798705224,2.4637977798705224,0.42,3.0
