P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,101589.53265160279,25339.817846041748,4.009086934595773
256,400,181250.74578185633,48679.56019676214,3.723343946601884
8192,800,243138.89283918243,62137.90128877687,3.912891935458678
128,1000,204290.15658964156,125295.95783362567,1.6304608713786952
2048,600,342927.1437882805,95460.11175339336,3.592360594278168
256,900,246023.11086141368,77030.62312975689,3.1938351380981507
256,100,91296.24399255181,26193.65899088914,3.485433021186811
4096,300,62774.874453495075,20887.76340872541,3.0053420859445508
256,200,111787.08677175675,25775.82693292296,4.336896234703271
2048,400,104514.98355668924,34397.99854935305,3.0384030456520543
8192,1000,225915.80670469085,71441.52524391812,3.1622478094268187
1024,500,260175.9073378177,69330.81468246617,3.7526734472891814
256,600,289139.7561446374,65997.13135384436,4.381095817550181
8192,900,167064.24078176066,50985.945546331204,3.2766724043579516
8192,700,249876.49369338882,54661.38833726035,4.571352856090167
256,1000,182906.44574009418,62174.13220982782,2.9418415543431147
8192,900,646162.6467260072,200725.03795784948,3.2191432284680688
2048,700,142412.86363771436,45736.33575987692,3.1137794769000444
1024,600,222734.64856331656,69645.19944005155,3.19813354479715
4096,1000,170036.08542107441,51207.743830232605,3.320515076485104
2048,200,93507.59226253975,33208.183834406,2.8157996453169276
512,800,213543.62220041602,58281.74602729851,3.663988070988721
128,200,122262.55604775573,36920.89002320384,3.3114736933729607
2048,800,269121.31444517797,69914.3129245496,3.8493021412598214
512,100,110703.50434069015,34744.80913128068,3.1861883000250537
1024,100,62387.56348971049,17424.209760559108,3.5805103558227938
512,900,210506.13687301875,65527.226447374065,3.2124988082942822
256,800,317188.3308055193,88988.07431158595,3.564391445250349
1024,100,69318.40921263484,17010.884101954263,4.074944535344364
1024,700,495857.4446531152,122698.14519501191,4.041279058171724
256,300,194535.20443328857,58817.967607809784,3.3074111933010486
1024,600,187543.74952337844,56839.82740281852,3.299513001583793
8192,200,164581.18950934868,48832.439654252754,3.3703249453565958
1024,300,156652.10766210567,51334.02512144949,3.051623310104508
4096,900,284517.8428290235,68798.33552250691,4.135533812964783
512,900,234258.46043415606,70503.79592528375,3.322636141214453
4096,100,110587.16395383861,34460.69141352587,3.209081403121035
8192,700,81461.76788017905,24919.342184621364,3.269017587890104
1024,400,256067.35908134741,71121.47502380062,3.6004225024249723
256,700,150874.4335000898,46686.09352875527,3.231678259976111
256,400,233216.33477731963,59315.77823058138,3.931775688261652
512,500,464065.2925690246,104189.08387589059,4.454068269971702
256,900,178893.44321922137,57244.69321120439,3.125065978765817
8192,500,319610.63916195184,87191.89492611904,3.6656003339848264
8192,300,139934.74665246665,37997.38137569971,3.6827471153567037
1024,800,236063.5590829981,76586.05734526525,3.082330743555272
4096,800,268209.9202806061,69744.6297416748,3.845599600629057
4096,800,248670.47290338465,49156.66889863417,5.058733198870073
8192,500,288907.5451704632,93303.02350633578,3.0964435482719894
4096,700,491697.7022341826,121247.84298185878,4.055310924646725
4096,800,140540.6502713221,43369.83132383738,3.2405164138620175
4096,100,71035.676851709,25235.008428580157,2.814965449793821
8192,600,134273.25719747518,37566.49697046091,3.5742820871229015
8192,800,385815.9963385989,84971.24391877686,4.540547820005982
512,300,145413.6607396256,47234.241688785194,3.078564523121181
256,100,181343.14088465885,56270.53628076332,3.222701485904497
128,600,145904.9430444242,74899.47399565695,1.9480102497500116
2048,900,529393.8636190154,156586.64072292217,3.3808367123461722
8192,1000,159962.14627839095,45312.78094590863,3.5301772025279816
4096,300,126033.66147030078,41796.45799396132,3.015414882488605
256,500,291462.5837263013,95166.34282014595,3.0626645417816882
256,700,184675.11926095939,47967.297444383694,3.8500213499641784
128,500,96541.4116828058,56182.17500713485,1.7183637278290762
2048,700,170050.22301726294,48971.50074361899,3.47243234197638
128,800,314797.2259462876,93497.3020055607,3.3669124048901993
512,300,112421.43678400255,28600.5958497807,3.9307375753454648
4096,200,188132.88346458916,50831.013653404065,3.7011436511455487
4096,500,770453.5340576385,237564.50729901434,3.243134013650848
8192,1000,385698.7960312056,112393.23827909636,3.431690392916995
128,900,265597.0901272623,109443.21737422631,2.426802651635221
4096,300,82657.85559441768,27866.80417099782,2.966176354030695
4096,400,270175.5905308683,56915.493482307924,4.746960344196118
128,900,215746.93886481464,109318.34627419793,1.9735657025369466
1024,400,117562.15240618555,44207.66491546582,2.659316040125364
8192,600,103815.12065490696,32734.27780938007,3.171449856308073
128,400,249574.28673812473,81480.70461614145,3.0629863587198742
4096,700,241480.20306105388,53915.74341202593,4.478843984690224
8192,500,181183.20210948784,54509.002824173345,3.323913348661329
256,900,206839.46621248484,64837.41435415292,3.190125150313563
8192,1000,521555.41079184983,124535.58998606945,4.188002890179353
8192,600,101549.30936935186,25325.579367516788,4.009752665307294
4096,900,160348.2524351971,44998.63267930536,3.5634027722122417
8192,700,582883.2967142743,185768.68163866145,3.1376833359244065
128,300,118363.00400488859,38152.527144095155,3.1023634046010384
4096,700,324888.6978673678,86344.15596057125,3.762717861481292
