P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19954.377851182446,18779.00655706,1.0625896418189684
256,400,73750.48307829816,43244.960742362484,1.7054121870447825
8192,800,47465.5924468731,46379.37991347244,1.02342016075737
128,1000,203104.039495208,119404.61005167404,1.7009731819174474
2048,600,121790.16422036795,111680.57587899217,1.0905223514636035
256,900,102162.87272544077,51518.201495127876,1.983044239910091
256,100,16060.234944642838,12924.548421892341,1.242614783928473
4096,300,20438.018207995483,17279.41691731119,1.182795594654579
256,200,29892.035105688734,22891.533499154106,1.3058118236942629
2048,400,33320.99057480885,21733.26502109654,1.5331792320419446
8192,1000,60680.38098921877,60202.342442558154,1.007940530671489
1024,500,81436.85365641827,53664.96732667876,1.5175049517999637
256,600,107279.71744910035,58028.72573355824,1.8487346756790848
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54708.04094618545,35360.41439156067,1.5471549722347826
256,1000,108145.9109779029,58863.710166351215,1.8372255277874636
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41838.699041189575,41611.35817859911,1.0054634328832694
1024,600,58877.36550791177,43965.34404781527,1.3391767261932186
4096,1000,34515.90646328111,33915.21825046568,1.0177114653480723
2048,200,13950.165591646542,12441.910416424595,1.121223761041624
512,800,66333.54648698804,54149.74440156318,1.225002023925955
128,200,50555.10177863034,38939.521911435,1.2982979578848992
2048,800,88748.8860086083,71810.48771496736,1.2358763856454145
512,100,60626.38903131084,60573.79424177784,1.000868276293261
1024,100,9986.032359345849,9640.921141579869,1.0357964983530012
512,900,61614.44409873778,46304.128599874144,1.330646876678406
256,800,148431.36919617842,86969.02217444926,1.70671539687365
1024,100,30381.99077148462,20829.72320776272,1.4585883100050991
1024,700,138473.69434075768,101971.47650017287,1.357964982889337
256,300,59484.77267390976,35896.699653227304,1.6571097969604502
1024,600,88971.61183455714,86765.25402755744,1.0254290479723478
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19552.232052930238,18573.116360380285,1.0527168232595892
4096,900,61673.34428244976,52757.84825268096,1.1689890002160153
512,900,61258.20393227241,53309.00486140186,1.1491155029349671
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,42303.501636891764,41694.171098573366,1.0146142859364637
1024,400,71178.34689723863,63377.543120814065,1.1230846667810113
256,700,68900.86928329448,38261.990551516115,1.8007654147142722
256,400,57103.99817815526,22632.151942540644,2.523136037754299
512,500,110346.50171503403,62904.27191045394,1.754197264569177
256,900,90936.20815099574,47728.093563071816,1.9052973073568333
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66423.32291972199,66116.18200423285,1.0046454726540242
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68856.1888208384,64362.85987349461,1.069812450164201
8192,500,66628.04074202283,66624.56129320196,1.000052224716431
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,61004.695999063275,60947.46333963169,1.0009390490808887
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,52553.578963993255,51521.92639179481,1.020023563644599
256,100,21261.31384277192,17954.53769414384,1.1841749537058053
128,600,122213.5436609786,70900.57950763027,1.7237312375962464
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30568.196459565457,28498.849543516073,1.072611594825595
4096,300,18516.507270201342,18481.458954016285,1.0018964041893155
256,500,77341.49274254865,66627.75825410518,1.1607998643385748
256,700,111474.32796027057,61827.216222082076,1.8029976889119042
128,500,96672.55050056677,53535.80791606614,1.8057549566101767
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,173231.72719347413,89245.39881899078,1.9410718029825382
512,300,25338.7777027037,25000.830378077444,1.0135174440014838
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,179437.1764917621,103084.41806074536,1.7406818592701736
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,174659.5116720958,103160.92321660006,1.6930782143678083
1024,400,27437.74812084883,26611.894241008282,1.0310332617573659
8192,600,27001.767289876996,18661.250273283804,1.4469430983696634
128,400,86022.27488476815,46532.57276323225,1.848646437893473
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,98355.25635493107,51088.94408718974,1.9251769264809113
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19944.930361490133,18779.00655706,1.0620865539871596
4096,900,43925.733219342044,40761.55353335776,1.0776265723875034
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,71203.48484732707,32755.432020731212,2.1737916569765203
4096,700,92394.61983859021,80356.03512507299,1.1498155638811614
256,100,14963.00310551317,14135.174116163842,1.05856517808314
2048,500,36309.027184932274,36276.16196639806,1.0009059728690333
512,600,45269.841637936,30580.976963775065,1.480326861092788
512,500,36536.03161903584,35496.811911768345,1.0292764237490004
512,400,42864.1726793413,34415.68964887445,1.245483473283911
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,116146.52488794178,69365.62215019029,1.6744104829977822
2048,800,44818.09313716732,42695.059714644456,1.0497255054030212
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,77664.721411761,68462.06472805722,1.1344197946740033
1024,300,25003.756994135874,16760.521743464207,1.4918245014589793
1024,800,77735.75512679142,75591.86163784155,1.0283614325999961
1024,100,17369.54234519586,17347.873752067557,1.0012490633398643
2048,200,28030.36615406151,27814.232772578187,1.0077706037499048
256,100,23199.403941919238,18702.315368100946,1.240456247545083
1024,700,58407.57794269379,42452.09110493904,1.3758468999398341
4096,800,53002.77776825471,44366.085532812314,1.1946687910758964
4096,800,78733.61137126268,78733.61137126268,1.0
8192,1000,58676.89014369309,45809.33523320091,1.2808937271188832
8192,700,64966.29240789171,57793.63501321383,1.1241080854844645
8192,1000,34398.451344858455,33915.21825046568,1.0142482672770694
4096,900,33358.68572601887,32655.352187910106,1.0215380784767392
512,700,90469.90820170846,85438.48061711625,1.0588894787015237
1024,200,39826.18888408697,39819.40708715139,1.0001703138602929
4096,700,144818.5620404263,132452.11299022113,1.0933654342767503
2048,700,99709.094848786,91119.24221630921,1.0942704572990765
8192,300,19683.540766530285,19674.24141386905,1.0004726663898045
8192,500,75288.1433121715,53378.57096652857,1.4104563301138482
8192,700,57467.64664920688,49777.7756414471,1.1544840224109345
256,1000,108677.3260292185,90498.72860811553,1.2008713017375228
2048,100,34303.99586482677,34300.968848800694,1.0000882487033944
4096,700,91526.83913463607,82072.46511123,1.1151954435704212
1024,800,103108.82861215054,101845.3758611526,1.0124055976063207
1024,400,193527.3444020392,193515.84305327947,1.0000594336286799
256,100,18771.452350677067,17587.547381984677,1.0673149554613335
128,900,168233.28212711008,96720.06020199122,1.7393835547224628
512,900,85430.33598373407,72227.30001714897,1.1827984150515152
4096,1000,90532.60541793723,90498.72860811553,1.0003743346491463
8192,300,32671.02721643224,25922.78608210399,1.26032082789847
512,500,92208.65496117547,86843.01321389293,1.06178553171649
128,800,133889.61856952703,79920.49096406845,1.675285236044441
128,100,31798.4672891434,22982.09428187623,1.383619216731688
2048,200,24337.522142430917,21228.428234486382,1.146458978196685
4096,500,98068.7730849678,97935.06095418494,1.0013653142141343
128,400,105235.95379505961,48772.78954290394,2.1576775653253693
1024,700,112336.66100256989,107260.20847207752,1.0473283858273863
128,300,75558.97647492155,36726.85726982461,2.0573221367623535
4096,500,97704.51114863665,71401.30747796739,1.3683854623920684
256,500,69269.36332670898,49937.16420129462,1.3871304955861545
512,500,155685.78794312972,147481.94731846493,1.055626066605629
128,800,178984.75005630986,97370.5352483193,1.8381818442288915
128,400,183902.18179414968,125078.80246001596,1.470290554252291
2048,600,69810.88306363206,51282.51062023954,1.3613000264476127
4096,100,22656.454190491233,22656.454190491233,1.0
256,900,244834.84769953045,184098.91857787647,1.3299092118021423
2048,500,38485.38013106429,37441.44378906292,1.0278818399173568
1024,500,44651.99483046841,44576.14394763512,1.0017016026088392
128,200,41532.98664668029,27723.977542298137,1.498089030815074
8192,200,67151.768032449,67151.768032449,1.0
2048,800,102500.48552370623,101845.3758611526,1.0064323947652445
512,800,68390.28657433346,52828.81053104514,1.294564194931921
512,800,89414.06873187743,76577.73322810722,1.1676249082162535
1024,600,67376.65420789908,48408.82573041455,1.3918258332295657
128,200,51267.874245595995,24735.736732623263,2.072623702288206
2048,600,31216.02590658559,30580.976963775065,1.020766143068705
8192,500,28472.417685385342,19560.487282935454,1.45560881349948
512,300,45465.983954041876,33160.64237859692,1.3710827261714107
512,600,78712.28036917537,44462.8864987731,1.7702917324395333
4096,300,77306.4040908596,77306.4040908596,1.0
2048,200,10040.691196847953,10040.691196847953,1.0
512,800,77776.51727191922,50772.066671360866,1.5318761352645671
128,500,218070.19964158107,173629.6110728368,1.2559505161253957
4096,600,79716.44372053785,72740.10717064606,1.0959077023838515
8192,400,48786.97977664097,45126.38541333707,1.0811187142461007
256,100,26178.952928391955,22363.056566867846,1.170633935934213
2048,1000,44739.6158377822,28109.406843986402,1.5916243301076127
2048,500,106470.18029386172,62891.775190494496,1.692911036003857
2048,1000,100629.9499995415,75796.72432283711,1.3276292728816816
1024,600,20902.70753810556,18779.00655706,1.1130891016302003
1024,800,112680.22421589585,112592.55358879731,1.0007786538656787
128,200,47011.949171477514,22186.36413155776,2.11895689139114
512,100,12582.718885622971,12506.156799285585,1.0061219515768234
4096,900,86469.39188246918,85663.51049156082,1.009407522366104
8192,900,115414.78727487197,114082.80036744605,1.011675615457683
8192,300,34502.74586232038,24597.69281353905,1.40268219966262
4096,1000,109447.56685426271,97058.77161015228,1.1276422010972016
128,200,60575.24263839636,34129.72158000343,1.774853114356706
4096,200,39531.928160618925,38939.460754354994,1.0152150901626873
8192,600,104029.86993284992,85848.15788843864,1.2117891925886024
4096,800,60726.72573003513,60650.662845165505,1.0012541146510434
2048,500,50949.00383561437,35523.310698868714,1.4342414271999966
128,300,78256.4976825316,42868.394179046576,1.8255056943742995
128,100,26088.82882381174,17899.559780833548,1.4575123155680665
128,400,109354.98779417969,47063.4505065966,2.3235650301257036
4096,1000,38994.56404523407,30918.141407431434,1.2612195387611946
2048,800,50763.481713515124,50763.481713515124,1.0
2048,100,21949.84902967429,21949.84902967429,1.0
128,900,184314.43640332556,102028.33792508653,1.806502390920618
8192,700,32297.21068654128,31684.037608755014,1.0193527442858745
1024,700,75727.4654346091,66320.27242801076,1.1418449089878158
512,700,74608.59450748659,61346.24441089266,1.2161884598470882
8192,1000,544585.7100480688,544585.7100480688,1.0
8192,1000,52559.3787964747,52314.885183268474,1.004673499948432
1024,100,32521.61076866971,31319.451246236975,1.0383837990321485
8192,1000,121905.96704247322,120557.43492411824,1.0111858063271153
4096,900,32067.28514663496,31640.39833817212,1.013491827880935
8192,600,122634.8967329771,122634.8967329771,1.0
8192,1000,49557.77241888677,49557.77241888677,1.0
2048,100,23289.9839332401,23097.256435111492,1.0083441727665814
512,800,55847.62120239012,38336.594525084816,1.4567705320264506
2048,200,38042.54159427701,37946.30536557415,1.0025361159084059
2048,600,47633.11375018822,33916.34753113008,1.4044293450663643
1024,100,30829.501227707515,29554.958545859663,1.043124495670335
256,700,119136.94528560285,47523.960799855195,2.5068816504445453
128,1000,208616.55537289404,111804.66682439692,1.8659020352035232
1024,800,47946.83446392677,40421.19798120487,1.1861804414164367
1024,800,38647.74451779407,34904.751507598776,1.1072344838031705
1024,1000,63299.59565534771,55735.236402641,1.1357195149951544
8192,600,60304.7350232043,60144.36411673883,1.0026664328207744
4096,200,16397.45685213153,15726.677746397436,1.0426523081702843
1024,700,146110.81022706794,132452.11299022113,1.103121776833075
8192,800,120712.62684671115,107232.14310089932,1.1257130871023202
128,1000,198516.11143779173,109237.63657662571,1.817286767263047
2048,1000,80426.4039063174,56446.32882143322,1.4248296671470813
1024,1000,96916.62887693224,70250.77350904822,1.3795809503001344
2048,900,94842.33658446124,82690.26725018611,1.1469588832928554
512,600,55246.760175122334,28950.864730709705,1.9082939556039993
1024,700,29565.074122771573,29025.881672657724,1.0185762643214302
1024,100,17576.154848884675,17402.954696611207,1.0099523417312115
4096,100,17809.6328420409,17809.6328420409,1.0
128,700,153494.44956161347,83214.36890509089,1.844566648539745
128,300,63276.707683140274,34512.68583773153,1.833433305673418
2048,1000,71312.78112999344,71261.14520805598,1.0007246013488373
256,500,63776.61591648172,35523.310698868714,1.795345497414822
128,500,97826.22084365056,56026.380959696515,1.746074245167173
2048,400,32989.27040054199,30788.555312709123,1.071478348544806
128,900,185783.3643028276,103152.02937065497,1.8010635896968583
128,300,57470.872810610104,30815.59640870832,1.8649930395106404
4096,200,29268.652851049803,28939.495392742734,1.011373987481123
128,500,130161.80996582679,62386.64500506909,2.0863729722162616
256,200,42556.61124845499,34123.56738045935,1.2471325396307997
1024,300,21459.96684639746,20366.163083435094,1.053706913692153
2048,200,61372.60518345501,61372.60518345501,1.0
4096,500,114981.83515243819,114521.14245494771,1.0040227742023418
8192,100,14996.978704083662,12056.98525864028,1.2438415061788786
4096,700,57520.205103725944,42452.09110493904,1.354943975822991
1024,500,38911.039209761264,38397.17028659358,1.0133829894060475
2048,1000,91000.40389967037,90612.693267471,1.0042787673362157
8192,1000,162392.86932151654,162392.86932151654,1.0
2048,1000,61817.89001333661,60543.78817954,1.0210443031747256
8192,400,32123.678428376403,30165.425795839306,1.0649171221977975
128,700,132395.29949988486,75809.96321061933,1.7464102855723211
128,1000,404832.9748167742,288023.0601366038,1.4055575085716043
2048,900,53968.19797728566,42076.23356110103,1.2826290142846486
4096,200,26168.682166838385,18050.62303154285,1.4497384451001776
2048,300,48209.57070612963,45111.95494347674,1.0686650748462145
128,100,35626.12941552206,14446.766271911083,2.466027950129581
128,1000,266342.9257828436,110076.46947736123,2.419617262866709
4096,300,20634.41900099493,20570.96909448887,1.00308443934822
256,200,31629.860831954877,27723.977542298137,1.1408846650412114
4096,400,66926.42590403692,66926.42590403692,1.0
2048,200,32540.902931029297,32540.902931029297,1.0
256,1000,225186.05564940535,194547.19755313522,1.1574880465081074
4096,600,57412.70684815128,57412.70684815128,1.0
256,500,129757.99486520568,73196.94614990943,1.7727241598229742
256,400,73326.97742531988,45126.42140747785,1.6249233849766105
512,500,117725.19592974914,114523.64185050332,1.027955398793771
2048,900,61999.95271810579,52757.84825268096,1.1751797082617974
8192,300,84396.74424018276,84396.74424018276,1.0
512,900,152022.29055568983,149649.57060028278,1.0158551738296975
2048,600,37805.971380705116,32874.997452313044,1.149991614008327
256,700,92311.66412736029,51196.085489777375,1.8031000465024363
128,300,63496.182493647786,27253.416999670506,2.32984298792388
128,300,66408.55688247348,33300.695014947356,1.9942093356509623
1024,700,50545.12092380453,49201.53957608187,1.0273077094598846
256,800,106625.48406015751,57826.93902776309,1.8438721788294195
1024,1000,40805.981580212676,30928.88515915138,1.319348607951322
4096,900,49223.54622055526,42308.40617125458,1.1634460069544998
512,600,33822.802067817065,21988.935751463338,1.5381736728921134
2048,700,110923.32389674033,110859.18311471,1.0005785788802355
256,400,85993.58859816415,53259.20525974124,1.6146239542775698
2048,500,66864.35455650576,66624.56129320196,1.0035991721168491
128,800,157933.97149938138,92351.37447544445,1.7101420785174655
512,200,29735.23051062823,23117.237029627373,1.2862796048039453
128,900,171025.54443533625,94518.05570423097,1.8094483975687679
512,300,33303.112615341124,32331.936268961428,1.0300376797201602
8192,400,34320.405507745796,33618.972390895855,1.0208642045537326
8192,500,31863.14794550056,30238.042864909574,1.0537437256720368
128,400,102473.46778995733,48720.51320368562,2.103292043775216
512,400,189618.99769510963,186703.3320474569,1.0156165699651873
8192,700,21901.29115798373,21733.392272247234,1.0077253879023247
8192,400,35053.10290940029,26546.468859735378,1.3204431479987695
1024,600,40558.52305100488,29865.350306368007,1.3580461181584342
512,700,41492.82569448833,29025.881672657724,1.4295112948653141
4096,400,39252.58659216054,36227.84755042349,1.083492099207028
8192,300,30746.90512885161,27248.226586824265,1.1284002293095696
512,200,22376.24317859876,20330.555626091365,1.1006213302838634
2048,500,150425.0517802286,150425.0517802286,1.0
128,400,82291.6950070241,42797.12681057494,1.9228322352399194
2048,400,19932.143941321057,17742.443550288524,1.1234159423884387
4096,400,27725.892170906107,27155.933418576842,1.0209883690442165
8192,800,48600.44480731025,48235.14390825591,1.0075733349059588
1024,900,87289.77723320831,85663.51049156082,1.018984357894225
512,700,96350.5563162911,80357.08323268619,1.1990300349415792
256,1000,187429.17574936294,95719.83817352499,1.958101678040694
256,700,101149.10249198275,66354.8129063725,1.5243672321811144
256,500,134384.33043831255,63127.950965255164,2.1287611649596547
8192,700,95854.95894721552,73742.01759573007,1.2998689495141489
128,500,94075.83130903507,55659.95529531376,1.6901887687458437
2048,900,47139.992713958745,47139.992713958745,1.0
128,200,56814.05478509604,42776.4318576044,1.3281625492799527
4096,400,66503.6244481076,66503.6244481076,1.0
2048,400,25810.603068699493,23700.07824770922,1.0890513861992952
2048,100,9562.774027384485,9516.14337669928,1.0049001626855878
256,300,35904.04474983821,16760.521743464207,2.142179420150751
1024,800,38107.883294496176,35597.83621265971,1.0705112262116598
128,900,286757.63050800905,110304.68081578685,2.5996868708310354
1024,900,76158.32426327888,75449.13454700036,1.009399573905473
2048,400,23348.634101085,19252.6280861351,1.212750487706126
8192,900,33458.40145979087,33158.57017036733,1.009042346756299
256,500,98835.17476464043,84910.77897470127,1.1639885531386758
512,100,11713.749289594958,9011.915100790524,1.2998068843954633
2048,400,32495.786179157538,32352.598258555856,1.0044258553658458
128,700,297907.7598086783,237800.98990500558,1.2527608061164235
2048,400,78360.87006089554,50876.400696790595,1.5402203966413592
4096,1000,281398.91676139703,281398.91676139703,1.0
4096,800,120712.62684671115,107232.14310089932,1.1257130871023202
128,1000,259547.92912551246,163336.4654407616,1.58903848216089
128,1000,253194.64332202077,115948.15552755489,2.1836884094447666
128,600,108922.09372089482,64016.28039679616,1.7014748911644992
1024,400,21166.924048624845,18307.43976342798,1.1561924726858388
512,600,114268.28587253425,90097.16084726775,1.2682784318391704
128,700,253432.4155382848,142838.5537233773,1.7742577821747259
256,1000,352376.4042165187,320464.419199229,1.0995804311038049
4096,700,112106.62893233435,107260.20847207752,1.0451837687926784
8192,700,40128.05850609064,40106.49652901174,1.0005376180655245
512,400,60258.01269510797,52638.32287426997,1.1447555583987377
256,400,81514.00227098215,60987.569802147,1.3365674765435978
8192,600,154139.23729344973,127907.92965534359,1.2050796045936178
8192,900,183126.6918346876,183126.6918346876,1.0
4096,800,46304.766905722056,36672.2149998591,1.262666214895936
512,500,94644.84434126959,62600.06932840837,1.5118967975059265
8192,800,148024.03103293112,148024.03103293112,1.0
2048,200,13346.32097606308,13337.35876144625,1.0006719632257877
1024,200,30393.627444083195,26688.32812098575,1.1388359475460685
8192,500,48021.98700860474,41189.47869015632,1.165879941570644
256,500,84369.66352744779,64106.45222511053,1.3160869241551967
1024,100,7351.41564537493,7152.901243328333,1.027752990750677
1024,300,24567.466759211704,24078.953359370287,1.0202879831423948
512,900,271389.70864359604,229800.42209317343,1.1809800268058692
256,100,25709.863068002174,25440.224664257337,1.0105989002574993
128,700,155090.35559006463,92417.89181801837,1.6781421058105899
128,1000,301733.41393993003,155765.44053451647,1.9371011496806838
2048,700,26432.87456702557,26067.12107591305,1.0140312192530723
2048,800,106114.02049833984,82940.54724397566,1.279398605680738
8192,1000,172594.03018481666,111577.13934558528,1.546858354651352
2048,700,28593.87956654938,25871.051952994367,1.1052461113101306
256,1000,113844.19820028347,58569.061920395274,1.9437599727141943
4096,700,66582.97055012165,60285.399819468286,1.1044626186358917
128,200,48185.29840600673,21601.854967306153,2.230609291606389
8192,800,78175.44132986665,48425.21287150835,1.6143541079994355
2048,1000,62465.58879991733,60202.342442558154,1.0375939916211507
1024,700,58813.65056827522,58796.06304945136,1.0002991274910544
512,900,86188.18890559026,63466.880684134354,1.3580025987811915
128,300,71567.03860132235,34119.012930735975,2.09757060518159
4096,900,68817.41819972453,68817.41819972453,1.0
4096,200,28779.18209724736,23681.10697554874,1.2152802707644745
256,900,271250.5082323843,253651.7844619295,1.069381430955776
1024,500,68191.92864199314,62373.284305942194,1.0932874451104801
256,900,207039.5387280489,132038.8394742635,1.568019982244726
1024,700,117394.61684750406,116488.33981442524,1.007779980678947
128,700,160517.23772218256,78479.10754470208,2.04534993763469
1024,900,52946.23625118017,52575.017380802,1.007060746507974
256,300,43286.69970801205,21515.230474413613,2.011909645099528
1024,700,128081.96979774817,85672.54241504308,1.4950177289854596
1024,800,94170.76599979975,83711.93042021694,1.1249384111330556
256,300,28129.57434054462,22793.463249481996,1.2341070785363821
1024,800,60388.02876434685,53281.95779009162,1.1333673023474502
2048,700,22343.46360710825,20241.050244316226,1.1038687882997766
1024,200,24337.522142430917,21228.428234486382,1.146458978196685
8192,900,51151.844025608865,51151.844025608865,1.0
256,300,83949.3772449741,80517.55870716526,1.0426219894506494
512,100,14692.277537033582,12228.569679313945,1.2014714657828942
2048,700,40681.31151296214,37075.37110490693,1.0972597252729308
1024,800,88790.73554876391,62102.16000225037,1.4297527742279246
128,700,203047.5372463945,91940.15576527944,2.2084750189543834
128,100,37875.66953538029,31016.524467410036,1.2211448634477844
1024,900,262369.3486472806,255315.3157889041,1.0276287101562243
2048,300,25375.153373013247,24009.73900443229,1.0568691883043333
2048,900,115441.43043061736,114082.80036744605,1.0119091577239983
512,800,78277.93922966221,48658.058952929256,1.608735344444927
512,400,35501.784148334635,28824.379087289086,1.2316582445999726
1024,500,28416.31056203843,27319.151569382047,1.040160800377345
2048,400,71964.87182586924,61717.64616532399,1.166033967547885
512,800,78585.56034912134,64362.85987349461,1.2209768258213118
2048,300,19065.819955944044,18573.116360380285,1.0265277827373538
