P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,64055.25040941869,32086.250269673834,1.9963457827280056
256,400,101158.37900949552,69344.18366491112,1.4587867887856139
8192,800,108325.25958974019,68639.61815064191,1.5781739833109365
128,1000,226066.81657612248,125295.95783362567,1.8042626472939014
2048,600,248899.5888790969,191374.78812730435,1.300587142719795
256,900,135851.76042587194,79309.82918527524,1.71292463773323
256,100,39679.02102042857,27744.76099020595,1.430144632870886
4096,300,33193.69319923993,24265.13520631133,1.3679583038385996
256,200,53334.24463229622,32996.77807816611,1.6163470417006367
2048,400,71886.30317513725,49006.50439213838,1.4668726951002293
8192,1000,132832.26546190775,97895.23348711745,1.3568818494047297
1024,500,177889.55133622166,103433.70181766388,1.719841291669236
256,600,194052.97719496922,107515.86756387605,1.8048775645109385
8192,900,90869.15453992994,76055.59330000391,1.1947728049598327
8192,700,137239.71216819095,80626.46962808013,1.7021669533747499
256,1000,145368.93028214297,66688.81108753479,2.179809894816295
8192,900,397564.6332033311,294265.0674249581,1.3510425708437712
2048,700,74605.68024275218,53921.858220267735,1.3835888210304659
1024,600,146028.79428066238,87981.12037524463,1.6597742067598256
4096,1000,84763.46688102919,57823.110280004155,1.4659098493762848
2048,200,58693.650636536804,43211.18708703341,1.3582975750774802
512,800,123046.24598452833,76745.1936743743,1.6033088209615691
128,200,72139.48148657553,55080.46923257345,1.3097107285337675
2048,800,170826.32487062635,91530.45019922058,1.866333274869886
512,100,92164.78978633978,81541.92332472774,1.1302749068023348
1024,100,36116.48935735768,26126.125239736124,1.3823898119582947
512,900,116395.38272863085,83768.9354752691,1.389481459544081
256,800,223260.69442776378,140690.70674223357,1.586890133666119
1024,100,45081.14545819052,26128.92828146623,1.7253346548533135
1024,700,358616.8169123428,209079.4040392636,1.7152182854175209
256,300,110152.60275189586,73378.01257741736,1.5011663423791903
1024,600,139148.45062124936,121589.27436436518,1.1444138584482773
8192,200,91701.98390150441,66804.37457564907,1.372694295605767
1024,300,83697.92136275092,60661.299768006524,1.3797581272218993
4096,900,159135.43803191866,83867.31024046338,1.8974668148489247
512,900,114302.65666689334,83934.36071927342,1.3618100583286696
