P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4497.683455545206,4118.24998149955,1.0921346386815245
256,400,29672.787976664524,23531.7252532983,1.2609695063690864
8192,800,15169.767173311637,14795.02099803586,1.025329208747019
128,1000,149398.9834091216,119404.61005167401,1.2511994582492847
2048,600,92894.45327715005,91443.0979502153,1.0158716771354894
256,900,61615.24096564006,51518.201495127876,1.1959897507576438
256,100,5616.048077625592,4679.130547151785,1.2002332529585253
4096,300,1147.763195253428,942.5154884959478,1.2177658715030895
256,200,13781.993292558154,11080.525409985707,1.2438032297762613
2048,400,16951.685786016595,16659.391108001237,1.017545339809867
8192,1000,31809.230793722538,31785.267802615333,1.0007539024448688
1024,500,16703.641628240628,10972.920970408175,1.5222602690101468
256,600,48022.868165058695,34696.429261633115,1.3840867543727848
8192,900,42073.466672041846,42072.74163946224,1.0000172328341665
8192,700,30464.605359727622,28301.923922736623,1.07641464385584
256,1000,71184.44843106004,58863.7101663512,1.2093095768154936
8192,900,26454.81071313114,26446.50237773516,1.0003141563023084
2048,700,31799.645851274334,31784.101151865783,1.0004890715434827
1024,600,21142.610135827905,16874.141147700775,1.2529591847528632
4096,1000,25619.486512054966,25339.795717781904,1.0110376104601662
2048,200,5665.194550328479,5118.145442873633,1.10688424421712
512,800,25630.545147675784,21229.958775728857,1.207281908478216
128,200,37445.6794007179,28092.671302858154,1.3329340950537576
2048,800,30081.227188767774,26497.37844693629,1.1352529552690847
512,100,53458.49956981609,52844.49103612885,1.011619158811984
1024,100,6942.0453512642525,6901.431727873591,1.0058848112959853
512,900,27667.43026350825,24134.145646769488,1.1464018933362041
256,800,72006.86345056807,46337.580997070676,1.5539625051881782
1024,100,18204.663615209734,16558.912626923186,1.0993876243788325
1024,700,30306.863934908062,15601.0663687365,1.9426148968663453
256,300,21411.18943757175,17275.812740351696,1.2393737857299711
1024,600,75806.53755956049,70364.7320429823,1.0773371170269512
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,4571.684325413801,3799.3333703103463,1.2032859135602427
4096,900,16072.758203318575,12984.521812166118,1.2378398246640758
512,900,45528.60307589337,39234.60108057627,1.1604196760505117
4096,100,52866.31208985447,52844.49103612885,1.0004129295844804
8192,700,31572.39288721851,31347.334171878083,1.007179516896283
1024,400,18571.322547809636,16121.07512688779,1.1519903233274535
256,700,46464.659899458355,38261.990551516115,1.2143816678041914
256,400,28620.558920201507,22632.15194254064,1.2645973300667326
512,500,23203.97368052679,16731.4559896685,1.386847247176516
256,900,62359.23925120672,47728.093563071816,1.3065520660028063
8192,500,17617.146510930837,14826.065726985928,1.1882549851957471
8192,300,4632.381890380113,4160.156593477788,1.1135114234984977
1024,800,42136.06737945922,40846.09768688062,1.0315812223352963
4096,800,29658.462545722872,26497.37844693629,1.1192979941437216
4096,800,35084.322959143334,29394.111289795015,1.1935833886334857
8192,500,9198.341910975245,9178.81822404002,1.0021270371041984
4096,700,25399.33882821785,15601.0663687365,1.628051456733524
4096,800,12915.926579530396,12582.997544262242,1.0264586426324123
4096,100,2685.686144954427,2685.399498342895,1.0001067426324124
8192,600,43258.60977721529,43098.54140707002,1.0037140089877616
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,41316.940202166355,37353.09082643066,1.1061183770348373
256,100,6594.067897471024,4829.618848163767,1.3653391923418767
128,600,89148.72061350648,70900.57950763027,1.257376473261581
2048,900,36192.15502077257,35054.15888407378,1.0324639407398764
8192,1000,8626.735079575541,7701.877971338275,1.12008202566686
4096,300,7704.321680497846,7534.510577709549,1.0225377748211906
256,500,34155.9470909437,27381.290499521965,1.2474191854302854
256,700,83961.85466322204,52807.571677195476,1.5899586365468172
128,500,66033.61089600158,53535.80791606614,1.2334475459776306
2048,700,73710.3977450059,69459.09380371566,1.061205865329945
128,800,116085.97220456776,89245.39881899078,1.3007502206361983
512,300,10500.34338425725,8874.280036111113,1.183233269800973
4096,200,5915.303442514056,5846.530584549667,1.0117630203023535
4096,500,31303.466310916774,31281.94741052828,1.0006879015588797
8192,1000,18420.480156486163,11706.78763223605,1.5734871713024974
128,900,137047.0350342795,103084.41806074536,1.3294641189468688
4096,300,11284.687255214654,11243.031887069747,1.003704994218936
4096,400,16083.79057137357,16058.873985478984,1.001551577396841
128,900,129419.52649939117,103160.92321660006,1.254540212165974
1024,400,19582.870107221992,19518.106129237913,1.0033181486746332
8192,600,6147.751394264601,6143.604662733954,1.0006749671826705
128,400,58495.05948385088,46532.572763232245,1.257077698701216
4096,700,8912.252981389334,7645.6808588148915,1.1656585130824786
8192,500,12411.155402262848,12395.199388157413,1.0012872736940948
256,900,62094.56402235813,51088.94408718973,1.2154207751169395
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4235.078105372609,4118.24998149955,1.028368390553727
4096,900,22890.78083109283,21576.530603346437,1.0609111006726244
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,51174.839305921494,32755.432020731212,1.5623313798313656
4096,700,37288.580864737014,37261.21500737222,1.0007344327703587
256,100,7631.782459573613,5731.651529726247,1.3315154314585693
2048,500,31886.10559477531,28634.316507153108,1.1135626578273616
512,600,31578.56078515859,17725.14487690757,1.7815685572364115
512,500,25197.305190485757,24995.547779787677,1.0080717339133982
512,400,12410.936416941728,10699.281702643733,1.1599784697579327
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,87831.12070211359,69365.62215019029,1.26620533312513
2048,800,13829.156227837357,9344.456009563955,1.47993165291627
8192,200,2246.914344120791,2246.1903057130307,1.000322340634237
512,400,15709.502745287215,9893.49469570031,1.5878618454320825
1024,300,5295.198461129367,3874.652043565825,1.366625545104747
1024,800,57108.76011108798,54042.00044115176,1.0567477081696064
1024,100,8860.36306026671,8256.468069310878,1.0731420488623336
2048,200,7798.709625987674,7479.733511501313,1.042645384891839
256,100,6890.740693061347,5741.098881538105,1.2002476939075537
1024,700,12875.203224244779,9298.972325300192,1.3845834543688824
4096,800,10859.169288551157,8113.94962465907,1.3383333383718703
4096,800,17541.9189445836,17329.60230789093,1.0122516739230645
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.768090425776,16443.27112892882,1.077508723872753
8192,1000,25357.92283063646,25339.795717781904,1.0007153614439692
4096,900,15381.984333656841,15123.145179145105,1.017115431442705
512,700,30737.76995400318,23042.05276203695,1.3339857464715708
1024,200,9184.82381112764,7925.6844354705545,1.158868219635637
4096,700,120854.04897780184,119281.29786603454,1.013185228027395
2048,700,8866.676729230556,8384.147776288468,1.0575525343561747
8192,300,1152.7932031244393,1134.6245423979938,1.0160129276668444
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40864.14743528863,38693.833645176644,1.0560893968277687
256,1000,81092.93227572198,55694.48421872097,1.4560316593876212
2048,100,6556.462413957754,6527.528362389177,1.004432619815992
4096,700,53100.55533266096,51410.44753159222,1.0328747926193436
1024,800,87106.61460665826,83688.43623733887,1.0408440941544839
1024,400,41905.112622245186,40694.6858930326,1.0297440980965975
256,100,6388.607733194366,5063.0781886625155,1.261803095891357
128,900,138142.71647687207,96720.06020199122,1.4282736816785817
512,900,35326.79349312951,27287.43887670948,1.2946174117968186
4096,1000,55555.62241820773,55420.91730641427,1.0024305825009843
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,18983.743123548495,13699.604154479855,1.3857147191614798
128,800,100172.92323583833,79920.49096406845,1.253407255479389
128,100,12556.04963148447,9931.189861419074,1.2643046610419275
2048,200,3947.741556570207,3631.3880687245173,1.0871164088934195
4096,500,88361.25634859182,88189.90415189893,1.0019429910752342
128,400,60870.6362691711,48772.789542903934,1.248045002954466
1024,700,17444.883127327492,10218.636013742087,1.707163568979999
128,300,47326.41852277665,36726.85726982461,1.2886051799934652
4096,500,27632.55932382414,25343.09726656832,1.0903386840674758
256,500,57271.343199254465,40962.13789004808,1.3981531763059851
512,500,88603.80243123765,81134.30977008452,1.0920633044432115
128,800,130952.33362590546,97370.5352483193,1.344886656851009
128,400,98483.94738365128,56129.50996388722,1.7545841295784372
2048,600,8657.953149932739,7161.983183316524,1.2088764980768176
4096,100,1616.31237027108,1609.8572306473563,1.0040097590648631
256,900,77008.8733679202,54102.139652541075,1.4233979258952143
2048,500,28398.0498386406,26754.332671641892,1.0614374197694325
1024,500,31571.68710107065,29622.079368073526,1.06581603231738
128,200,28367.047745714797,22418.17440326771,1.2653594015032719
8192,200,13392.832125215462,13392.711084435161,1.0000090378101594
2048,800,84878.57947976851,83688.43623733887,1.0142211193796764
512,800,51382.72546832682,41317.49187667394,1.2436070810323139
512,800,44625.36597308295,29827.20615276463,1.496129598747106
1024,600,21139.906061822086,17584.595758729552,1.2021832262665217
128,200,32492.991400268318,24735.736732623263,1.3136051596722498
2048,600,16902.01569344761,14204.411019232688,1.18991316644966
8192,500,13661.95643677594,13172.843391400284,1.0371304076760655
512,300,10622.343801503825,7439.888445540946,1.427755789519971
512,600,23600.2996675045,15899.34500755958,1.4843567238954427
4096,300,8982.198712036605,8964.445714442161,1.0019803787272472
2048,200,3849.8247782161693,3331.151264730722,1.1557039810761567
512,800,36680.69197674994,23329.424969424435,1.572293017287125
128,500,94067.87409309781,58552.39607217396,1.6065589182233653
4096,600,20875.9736078922,19273.016075016418,1.0831710784983828
8192,400,16058.873985478984,16058.873985478984,1.0
256,100,9291.551650805328,6271.106141717587,1.4816447753921247
2048,1000,26232.35431194315,19519.021354171116,1.343937989305874
2048,500,11006.714647093595,8999.368116979864,1.2230541638058234
2048,1000,16683.479835488866,11945.840872571735,1.3965931752694776
1024,600,9199.568669280008,7574.492106364061,1.2145459444799689
1024,800,33233.90470515273,30245.172080792294,1.0988168497232151
128,200,29180.944601727282,20554.7935583826,1.4196661483776756
512,100,2179.803693135826,1647.1095834763269,1.3234114566531847
4096,900,17873.92660890171,17795.006342265573,1.0044349670417758
8192,900,29291.61995123438,29139.288958476114,1.00522768393475
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65807.5838509599,64026.0449036331,1.0278252225326152
