eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.62,3.4,5.902746651170154,5.902746651170154,0.62,3.4
2,0.9,4.0,6.0468940454183215,5.902746651170154,0.62,3.4
3,0.4,4.0,6.0468940454183215,5.902746651170154,0.62,3.4
4,0.6,1.0,22.27217110727872,5.902746651170154,0.62,3.4
5,0.9,1.0,22.242228447986683,5.902746651170154,0.62,3.4
6,0.5,4.0,6.0468940454183215,5.902746651170154,0.62,3.4
7,0.18,1.8,3.568974442885146,3.568974442885146,0.18,1.8
8,0.66,2.2,4.3085785346409935,3.568974442885146,0.18,1.8
9,0.22,2.6,4.956701814113901,3.568974442885146,0.18,1.8
10,0.72,1.2,3.8254850670051765,3.568974442885146,0.18,1.8
11,0.36,3.4,5.902746651170154,3.568974442885146,0.18,1.8
12,0.34,4.4,6.982082647879379,3.568974442885146,0.18,1.8
13,0.46,1.0,11.25240608187268,3.568974442885146,0.18,1.8
14,0.8,1.2,3.889389142123303,3.568974442885146,0.18,1.8
15,0.1,1.8,3.5734593518351927,3.568974442885146,0.18,1.8
16,0.76,3.2,5.6155066769701305,3.568974442885146,0.18,1.8
17,0.26,1.6,3.2095340002255695,3.2095340002255695,0.26,1.6
18,0.6,1.4,2.8428194520392127,2.8428194520392127,0.6,1.4
19,0.88,4.6,7.973940582239506,2.8428194520392127,0.6,1.4
20,0.14,1.8,3.5704678500837232,2.8428194520392127,0.6,1.4
21,0.14,1.0,3.3903509213099814,2.8428194520392127,0.6,1.4
22,0.36,1.4,2.8425881060145475,2.8425881060145475,0.36,1.4
23,0.52,1.6,3.2093911261523735,2.8425881060145475,0.36,1.4
24,0.9,1.4,2.8779173617124028,2.8425881060145475,0.36,1.4
25,0.1,1.4,3.3935140412382196,2.8425881060145475,0.36,1.4
26,0.86,1.6,3.2093911261523735,2.8425881060145475,0.36,1.4
27,0.62,1.8,3.5681409923984697,2.8425881060145475,0.36,1.4
28,0.9,1.8,3.5681409923984697,2.8425881060145475,0.36,1.4
29,0.24,1.2,3.236317436182179,2.8425881060145475,0.36,1.4
30,0.24,2.2,4.3085785346409935,2.8425881060145475,0.36,1.4
31,0.46,2.0,3.7934583692702364,2.8425881060145475,0.36,1.4
32,0.84,2.0,3.7934583692702364,2.8425881060145475,0.36,1.4
