eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.4,3.5,7.223578037070979,7.223578037070979,0.4,3.5
2,0.9,1.5,3.552728945736807,3.552728945736807,0.9,1.5
3,0.3,3.0,6.615760594459379,3.552728945736807,0.9,1.5
4,0.1,2.5,5.337045233865452,3.552728945736807,0.9,1.5
5,0.2,3.5,7.223578037070979,3.552728945736807,0.9,1.5
6,0.9,4.0,7.948608418849337,3.552728945736807,0.9,1.5
7,0.1,1.0,2.9770773017895653,2.9770773017895653,0.1,1.0
8,0.9,1.0,2.8154490311265628,2.8154490311265628,0.9,1.0
9,0.8,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
10,0.7,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
11,0.6,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
12,0.5,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
13,0.4,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
14,0.3,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
15,0.2,1.0,2.4637977798705224,2.4637977798705224,0.8,1.0
16,0.8,1.5,3.552728945736807,2.4637977798705224,0.8,1.0
17,0.1,1.5,3.552728945736807,2.4637977798705224,0.8,1.0
