P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,9816.759585262937,4118.24998149955,2.383721150819608
256,400,37157.92343891479,23531.7252532983,1.579056488164062
8192,800,39698.87524115293,14795.02099803586,2.683259134706414
128,1000,144158.4335488602,119404.61005167401,1.2073104504631238
2048,600,116863.469428858,91443.0979502153,1.2779911447497372
256,900,70915.34975494524,51518.201495127876,1.3765105864895493
256,100,5996.4536935314945,4679.130547151785,1.281531607871375
4096,300,2588.8610908360024,942.5154884959478,2.746757079787907
256,200,28912.592283666363,11080.525409985707,2.6093160038792473
2048,400,57961.64911662986,16659.391108001237,3.479217742165367
8192,1000,68481.86548490317,31785.267802615333,2.1545159194558807
1024,500,49130.52574366707,10972.920970408175,4.477433663849626
256,600,94500.62801119406,34696.429261633115,2.723641308983103
8192,900,65151.494157838504,42072.74163946224,1.5485440600982723
8192,700,86316.5183009123,28301.923922736623,3.0498463120936132
256,1000,65772.27297703843,58863.7101663512,1.1173653986669096
8192,900,85791.7418830657,26446.50237773516,3.2439730841418273
2048,700,72024.33362132868,31784.101151865783,2.2660490940798783
1024,600,66629.82309641379,16874.141147700775,3.9486349268503416
4096,1000,54152.54643273213,25339.795717781904,2.137055366816995
2048,200,20750.28593394921,5118.145442873633,4.054258747734757
512,800,46629.71735430514,21229.958775728857,2.1964111116228144
128,200,84971.32459365252,28092.671302858154,3.0246794146987197
2048,800,77092.65364296809,26497.37844693629,2.909444562500928
512,100,62853.172400498675,52844.49103612885,1.1893987654744762
1024,100,13271.188524115316,6901.431727873591,1.922961647293484
512,900,72565.08780060448,24134.145646769488,3.0067394496857935
256,800,114592.38725512709,46337.580997070676,2.4729902767770997
1024,100,52185.04813758684,16558.912626923186,3.1514779571177285
1024,700,78122.9289330306,15601.0663687365,5.0075377596997965
256,300,25303.43541714022,17275.812740351696,1.464674096520978
1024,600,86471.23509036169,70364.7320429823,1.2289002257201909
8192,200,8938.391656418567,2650.3651611722858,3.372513262461169
1024,300,8853.84068854619,3799.3333703103463,2.330366889553303
4096,900,31970.078192962956,12984.521812166118,2.462168315124853
512,900,95978.9247594315,39234.60108057627,2.4462826718263084
4096,100,62598.716046967056,52844.49103612885,1.1845835737952215
8192,700,32459.272334954705,31347.334171878083,1.0354715382488298
1024,400,58614.31642896576,16121.07512688779,3.6358813520572797
256,700,54218.19034692772,38261.990551516115,1.417024821903296
256,400,29048.203126792065,22632.15194254064,1.2834927584677205
512,500,37291.876501144434,16731.4559896685,2.228848255894274
256,900,72052.06480966312,47728.093563071816,1.5096363468707925
8192,500,52779.14041816012,14826.065726985928,3.559888468732013
8192,300,17501.17375383277,4160.156593477788,4.206854564386053
1024,800,60167.120504644845,40846.09768688062,1.4730200413727639
4096,800,77029.48785366131,26497.37844693629,2.9070607119840455
4096,800,87860.13947355706,29394.111289795015,2.989038811459497
8192,500,31670.25572640632,9178.81822404002,3.4503631026769352
4096,700,77286.04253904324,15601.0663687365,4.953894862848563
4096,800,25156.46998082026,12582.997544262242,1.9992430175980949
4096,100,4831.564238435663,2685.399498342895,1.7991975649869312
8192,600,50766.760530236366,43098.54140707002,1.1779229382901675
8192,800,88760.04874896012,34870.55437275946,2.545415475765955
512,300,86128.61855557047,37353.09082643066,2.3057962982443945
256,100,11887.60178321303,4829.618848163767,2.461395434493288
128,600,77673.29776903459,70900.57950763027,1.0955241594418201
2048,900,101989.01887176713,35054.15888407378,2.9094698637343135
8192,1000,31217.87033920535,7701.877971338275,4.053280311033148
4096,300,22620.847433815874,7534.510577709549,3.002298185198446
256,500,45358.63962239544,27381.290499521965,1.6565559473242262
256,700,195028.91878640867,52807.571677195476,3.693199906607907
128,500,113621.74574574154,53535.80791606614,2.1223504448439185
2048,700,79695.71333669609,69459.09380371566,1.147376232144751
128,800,97336.79997380468,89245.39881899078,1.0906646310273658
512,300,16133.805829484987,8874.280036111113,1.818041098977438
4096,200,19013.6286141055,5846.530584549667,3.2521216367792314
4096,500,113057.28803799469,31281.94741052828,3.61413842157231
8192,1000,63577.90538274664,11706.78763223605,5.430858351583762
128,900,171299.99116358286,103084.41806074536,1.6617447562505478
4096,300,12517.587257075727,11243.031887069747,1.1133640269642753
4096,400,27366.529423887194,16058.873985478984,1.7041375035779596
128,900,130420.74723241857,103160.92321660006,1.2642456384243759
1024,400,58583.58268968354,19518.106129237913,3.001499341266823
8192,600,11592.379103713578,6143.604662733954,1.886901866266062
128,400,55945.63522067158,46532.572763232245,1.2022897488461475
4096,700,33376.63483310566,7645.6808588148915,4.365423491960814
8192,500,37285.64798206796,12395.199388157413,3.0080716585883494
256,900,53413.70354996659,51088.94408718973,1.0455041595459353
8192,1000,69822.19549207446,16650.77136654941,4.193330984794126
8192,600,9696.358882830313,4118.24998149955,2.354485261067043
4096,900,71639.4533124325,21576.530603346437,3.32024896075375
8192,700,37926.144916430916,12303.529098815054,3.082541977332631
128,300,81012.3910473517,32755.432020731212,2.473250574014051
4096,700,114028.85419424358,37261.21500737222,3.060255930239599
256,100,6746.864892753759,5731.651529726247,1.1771240553900177
2048,500,88533.1131678646,28634.316507153108,3.0918535508171896
512,600,43522.042567519034,17725.14487690757,2.45538430685663
512,500,73894.70113150467,24995.547779787677,2.956314531792684
512,400,14427.755527650135,10699.281702643733,1.3484788912591317
8192,1000,70925.5634977335,37945.93275199021,1.869121625268615
128,600,75038.01151560292,69365.62215019029,1.0817752250982595
2048,800,42950.92762193287,9344.456009563955,4.596407493167396
8192,200,5711.22638002617,2246.1903057130307,2.5426280068523393
512,400,30893.286152075136,9893.49469570031,3.122585810401383
1024,300,7119.973751359162,3874.652043565825,1.8375775866590285
1024,800,136876.54449245697,54042.00044115176,2.532780862572004
1024,100,25398.361450389064,8256.468069310878,3.0761775176960047
2048,200,22011.467380558875,7479.733511501313,2.942814385928676
256,100,9074.608556749727,5741.098881538105,1.5806396552289546
1024,700,32510.99364521828,9298.972325300192,3.4961921068163573
4096,800,35305.09237323041,8113.94962465907,4.351159916735846
4096,800,45975.51889526198,17329.60230789093,2.6530048456061395
8192,1000,75659.26472969673,24653.74296094643,3.0688753772417954
8192,700,50177.67773547197,16443.27112892882,3.0515629975348304
8192,1000,54158.73596462301,25339.795717781904,2.13729962813464
4096,900,46078.05114029003,15123.145179145105,3.046856364496976
512,700,78807.48169661683,23042.05276203695,3.4201588942829124
1024,200,20647.37596652777,7925.6844354705545,2.6051221360924544
4096,700,128672.4914309774,119281.29786603454,1.0787314837527184
2048,700,25496.05796977346,8384.147776288468,3.0409838483381515
8192,300,4313.029587221216,1134.6245423979938,3.8012835312955264
8192,500,78819.04204151705,28805.068012604806,2.7362907807413137
8192,700,47555.7480557259,38693.833645176644,1.2290265289248208
256,1000,155104.40499191664,55694.48421872097,2.784915008509592
2048,100,24190.03833570452,6527.528362389177,3.705849594631342
4096,700,117085.38317629663,51410.44753159222,2.27746282707122
1024,800,94446.7281982466,83688.43623733887,1.128551714485349
1024,400,117145.94873392403,40694.6858930326,2.8786546981059455
256,100,7346.896436496105,5063.0781886625155,1.4510730750608638
128,900,157641.9481760435,96720.06020199122,1.6298785158613667
512,900,73455.16917051924,27287.43887670948,2.6919041212480765
4096,1000,134474.45530304362,55420.91730641427,2.42642059783229
8192,300,12009.434130066145,3203.678826598781,3.7486386058293135
512,500,28407.41605362453,13699.604154479855,2.073593932590755
128,800,84969.5171138457,79920.49096406845,1.06317561477503
128,100,17914.01420059155,9931.189861419074,1.8038134856513364
2048,200,14780.742214311951,3631.3880687245173,4.070273387086254
4096,500,91058.27848084673,88189.90415189893,1.0325249738791789
128,400,56112.98482896018,48772.789542903934,1.150497754072469
1024,700,42602.935026862586,10218.636013742087,4.169141064381772
128,300,52493.63937438508,36726.85726982461,1.4292984283606185
4096,500,95613.34111447998,25343.09726656832,3.772756743533853
256,500,53541.54423540982,40962.13789004808,1.3070983838570096
512,500,163011.4954783693,81134.30977008452,2.009156125692144
128,800,115630.41482581408,97370.5352483193,1.1875298264606178
128,400,159799.59978405637,56129.50996388722,2.8469801337454883
2048,600,28836.115395905716,7161.983183316524,4.026275217048537
4096,100,6759.37389224037,1609.8572306473563,4.198741207331962
256,900,116087.42741938867,54102.139652541075,2.145708620119912
2048,500,30085.84835751075,26754.332671641892,1.1245224736776962
1024,500,60899.876589002306,29622.079368073526,2.055894720700795
128,200,26101.721549419657,22418.17440326771,1.164310754296524
8192,200,48973.57016294977,13392.711084435161,3.6567331180515223
2048,800,92201.46576747183,83688.43623733887,1.1017228892411153
512,800,104185.96228810259,41317.49187667394,2.5215945488434026
512,800,116130.33169921362,29827.20615276463,3.89343645209123
1024,600,61597.832945578986,17584.595758729552,3.5029427909936377
128,200,29391.275894608836,24735.736732623263,1.1882110572370992
2048,600,29899.729347380355,14204.411019232688,2.104960867923091
8192,500,32494.103278330556,13172.843391400284,2.466749380740676
512,300,24179.823392898576,7439.888445540946,3.2500249929675507
512,600,38158.74473087359,15899.34500755958,2.4000199198602488
4096,300,31464.9270609971,8964.445714442161,3.509969055901087
2048,200,13982.08942199931,3331.151264730722,4.197374514342138
512,800,41621.41548321137,23329.424969424435,1.7840737839771206
128,500,162651.28105785826,58552.39607217396,2.777875748370194
4096,600,77601.85350546274,19273.016075016418,4.026450930327294
8192,400,27366.529423887194,16058.873985478984,1.7041375035779596
256,100,20744.59987533415,6271.106141717587,3.3079650394264304
2048,1000,74253.19283707309,19519.021354171116,3.8041452739742794
2048,500,32775.14162252118,8999.368116979864,3.641938100151895
2048,1000,49073.2168821733,11945.840872571735,4.1079751024348505
1024,600,13148.221908528212,7574.492106364061,1.7358552525892954
1024,800,104240.51086343582,30245.172080792294,3.446517367630899
128,200,40493.37349712798,20554.7935583826,1.9700209287976078
512,100,4806.3660756005675,1647.1095834763269,2.918060901240362
4096,900,50735.53689413703,17795.006342265573,2.8511109194512168
8192,900,73332.88458852022,29139.288958476114,2.5166326018805942
8192,300,20261.03060627293,4437.796551663437,4.565560942328103
4096,1000,178597.8409444366,64026.0449036331,2.789456091083681
128,200,40909.34786764341,22869.25446081218,1.7888360959796044
4096,200,82026.28786513706,27366.490666336336,2.997325775717309
8192,600,35663.709809400425,6739.31208828464,5.291891715683689
4096,800,98699.94034808542,25954.7004250599,3.802777097468951
2048,500,95144.05586360797,29096.494408489692,3.2699491054787377
128,300,49528.71821109288,42868.394179046576,1.1553667721778524
128,100,28843.39898001152,14368.875755705378,2.007352521547054
128,400,57065.544713007104,47063.4505065966,1.2125236058713666
4096,1000,43807.24103496693,11369.665935842593,3.8529928040247583
2048,800,26516.718473704535,23176.40263872809,1.1441257250767094
2048,100,2270.3332109851417,779.9525417109743,2.910860712120681
128,900,108983.92817676993,102028.33792508653,1.0681731212439283
8192,700,22499.19963227598,13342.922112172426,1.686227307866131
1024,700,52026.00201868049,23892.917564519732,2.1774654300041427
512,700,102348.46030462622,46034.918306536856,2.223278851568918
8192,1000,283813.4311600007,104842.27980968643,2.7070513124589555
8192,1000,25139.392515814503,17013.83585258804,1.477585227319003
1024,100,84943.11639594908,27862.279139187787,3.048677962474295
8192,1000,136463.98790087516,44093.542638006584,3.0948746627414225
4096,900,34355.88951225875,11517.73406831423,2.982868792462681
8192,600,76508.58581193097,34044.58840001379,2.2473053547594066
8192,1000,50317.856173526976,14355.924063056385,3.505023846080046
2048,100,35845.87950935143,8264.118251157186,4.337532259334757
512,800,65492.603457009594,21523.445853670353,3.0428493607514646
2048,200,74793.65110536771,37184.08459662799,2.011442581328204
2048,600,32005.495141324733,8424.948334473913,3.7988951232332138
1024,100,85930.72567846038,28456.760375258575,3.019694601398546
256,700,50365.570677631375,41979.70873698172,1.1997598885973735
128,1000,166028.1972371426,111804.66682439692,1.4849844997786223
1024,800,46727.77925695287,11723.473347553632,3.9858306383836046
1024,800,20252.340983779115,11709.843963234125,1.729514163243013
1024,1000,52782.951612263474,18902.043005270345,2.792446911561164
8192,600,23195.725596010525,5902.922290422559,3.929532603477669
4096,200,22389.728556650614,6514.510751938798,3.4369010059561504
1024,700,130010.14519310647,119281.29786603454,1.0899457628229494
8192,800,79614.53594130265,28906.407718974442,2.754217567098208
128,1000,190321.01771963132,109237.63657662571,1.7422659779546672
2048,1000,66279.66733805535,19174.55975050672,3.4566461082009354
1024,1000,70195.74625611778,21242.000587215385,3.304573218888125
2048,900,64766.97697341001,50700.94643714276,1.277431320807903
512,600,42061.34223257577,16673.63804033263,2.5226253641125984
1024,700,67614.68804443143,16689.36111657461,4.051364673107926
1024,100,13228.122011778341,4381.662305208172,3.018973414736916
4096,100,9391.135427012356,3011.031258518044,3.118909974928139
128,700,96805.85988151695,83214.36890509089,1.163331058749333
128,300,40918.09717085267,34512.68583773152,1.1855958520075054
