P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,44626.13049501482,25339.817846041748,1.761106996354582
256,400,78827.4423509877,48679.56019676214,1.6193129525486305
8192,800,100140.84105158497,62137.90128877687,1.6115903333489645
128,1000,260992.6678524205,125295.95783362567,2.0830094790366647
2048,600,147562.07983691478,95460.11175339336,1.5457983143589744
256,900,148946.52160243577,77030.62312975689,1.9336014113703541
256,100,37773.26475041979,26193.65899088914,1.442076678312043
4096,300,29413.49531432708,20887.76340872541,1.4081687320357255
256,200,49841.63025841014,25775.82693292296,1.9336578565690323
2048,400,46986.77141104557,34397.99854935305,1.3659739924586192
8192,1000,98950.72178675805,71441.52524391812,1.3850589198497243
1024,500,111642.73584153022,69330.81468246617,1.610290263468731
256,600,139878.016320869,65997.13135384436,2.1194560043967887
8192,900,70526.0677507129,50985.945546331204,1.3832452648470641
8192,700,101789.40122058403,54661.38833726035,1.8621810443698246
256,1000,165490.07253572054,62174.13220982782,2.661719056684504
8192,900,277251.44792600675,200725.03795784948,1.381249946427845
2048,700,66072.0354850677,45736.33575987692,1.4446289670417947
1024,600,108942.23169828224,69645.19944005155,1.5642461012988607
4096,1000,73122.8786657736,51207.743830232605,1.4279652489317933
2048,200,45801.29607345164,33208.183834406,1.3792171321937303
512,800,96995.6302758476,58281.74602729851,1.664254022698907
128,200,79581.84865130881,36920.89002320384,2.155469399608017
2048,800,116769.38380579963,69914.3129245496,1.6701785216971992
512,100,48508.019489518716,34744.80913128068,1.3961227792685453
1024,100,24975.054273147445,17424.209760559108,1.4333536278747165
512,900,105355.50057425284,65527.226447374065,1.60781260380165
256,800,147046.5837105958,88988.07431158595,1.6524302256021604
1024,100,28035.63934486063,17010.884101954263,1.6481000738603473
1024,700,202830.42388417842,122698.14519501191,1.6530846783527757
256,300,90240.07080532046,58817.967607809784,1.5342262658075674
1024,600,79650.51183434587,56839.82740281852,1.4013151600526543
8192,200,69860.31096328415,48832.439654252754,1.4306127536923112
1024,300,72632.39191485444,51334.02512144949,1.414897657898749
