P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19972.84074151371,18779.00655706,1.0635728083286113
256,400,71893.36111821362,43244.960742362484,1.662467947341373
8192,800,47465.5924468731,46379.37991347244,1.02342016075737
128,1000,204567.71792881447,119404.61005167404,1.713231321975633
2048,600,121790.16422036795,111680.57587899217,1.0905223514636035
256,900,103028.03393952097,51518.201495127876,1.9998375515741642
256,100,16202.423995766927,12924.548421892341,1.2536162554292676
4096,300,20438.018207995483,17279.41691731119,1.182795594654579
256,200,29637.910865916583,22891.533499154106,1.2947105910144365
2048,400,33320.99057480885,21733.26502109654,1.5331792320419446
8192,1000,60668.78437545339,60202.342442558154,1.0077479033866545
1024,500,81436.85365641827,53664.96732667876,1.5175049517999637
256,600,119778.42567351916,58028.72573355824,2.0641229694322036
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54708.04094618545,35360.41439156067,1.5471549722347826
256,1000,111262.86130468697,58863.710166351215,1.8901775132803156
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41838.699041189575,41611.35817859911,1.0054634328832694
1024,600,59413.30099869163,43965.34404781527,1.351366679493641
4096,1000,34563.74090690968,33915.21825046568,1.0191218777262356
2048,200,13950.165591646542,12441.910416424595,1.121223761041624
512,800,66999.34501019288,54149.74440156318,1.2372975302217448
128,200,56354.10967016264,38939.521911435,1.4472214065271733
2048,800,88748.8860086083,71810.48771496736,1.2358763856454145
512,100,60626.0495048069,60573.79424177784,1.0008626711217805
1024,100,9986.032359345849,9640.921141579869,1.0357964983530012
512,900,66542.90497343574,46304.128599874144,1.4370836248415353
256,800,150832.67836541892,86969.02217444926,1.7343264830880465
1024,100,30198.405792167527,20829.72320776272,1.4497747037230593
1024,700,139909.60568836765,101971.47650017287,1.3720464829018189
256,300,66748.970966777,35896.699653227304,1.8594737569635014
1024,600,88936.08930638288,86765.25402755744,1.0250196383697092
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,19562.347087468595,18573.116360380285,1.0532614294711744
4096,900,61673.34428244976,52757.84825268096,1.1689890002160153
512,900,63744.7694909604,53309.00486140186,1.1957598844077186
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,42321.98953690873,41694.171098573366,1.015057702834554
1024,400,71178.34689723863,63377.543120814065,1.1230846667810113
256,700,70190.13205264816,38261.990551516115,1.8344610680446396
256,400,58099.960454195294,22632.151942540644,2.567142559032904
512,500,110822.44196971178,62904.27191045394,1.7617633684318093
256,900,92487.03305213359,47728.093563071816,1.9377902226476664
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66495.21695812447,66116.18200423285,1.0057328620982282
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68792.65197862752,64362.85987349461,1.0688252839267813
8192,500,66628.04074202283,66624.56129320196,1.000052224716431
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8321.239576006265,8321.239576006265,1.0
8192,600,61012.87945017118,60947.46333963169,1.0010733196585222
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,52479.11626962125,51521.92639179481,1.0185783014118601
256,100,21745.01267689554,17954.53769414384,1.2111151535797007
128,600,124366.15637287073,70900.57950763027,1.7540922406633717
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30354.291812590356,28498.849543516073,1.0651058656329664
4096,300,18545.947860163298,18481.458954016285,1.0034893839446046
256,500,83389.99299286853,66627.75825410518,1.2515803499621807
256,700,110247.3933102632,61827.216222082076,1.7831531168127779
128,500,99076.12389121552,53535.80791606614,1.850651512470828
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,173564.6262694692,89245.39881899078,1.9448019569221298
512,300,27174.393083671566,25000.830378077444,1.0869396205135675
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,182123.5253273767,103084.41806074536,1.7667415575849237
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,176956.22902099503,103160.92321660006,1.715341657513591
1024,400,27453.50857937742,26611.894241008282,1.0316254953798902
8192,600,26998.84274431831,18661.250273283804,1.44678638081238
128,400,90132.13829411355,46532.57276323225,1.9369687283943073
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,97593.2564805833,51088.94408718974,1.9102617645420126
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19879.992673674533,18779.00655706,1.0586285602099976
4096,900,43918.076751412445,40761.55353335776,1.0774387368595142
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,64567.28158969668,32755.432020731212,1.9711931000889091
4096,700,92394.61983859021,80356.03512507299,1.1498155638811614
256,100,16864.318947966814,14135.174116163842,1.1930747233373054
2048,500,36309.027184932274,36276.16196639806,1.0009059728690333
512,600,44500.38968166374,30580.976963775065,1.4551657304597243
512,500,37270.89068636279,35496.811911768345,1.049978538326319
512,400,42843.59225825517,34415.68964887445,1.2448854779714214
8192,1000,146820.54879419197,146820.54879419197,1.0
128,600,113221.5482524689,69365.62215019029,1.6322429575751782
2048,800,44818.09313716732,42695.059714644456,1.0497255054030212
8192,200,16319.454371522042,16319.454371522042,1.0
512,400,79974.67587703152,68462.06472805722,1.1681604432280026
1024,300,25003.756994135874,16760.521743464207,1.4918245014589793
1024,800,77751.7113702632,75591.86163784155,1.0285725167448507
1024,100,17369.54234519586,17347.873752067557,1.0012490633398643
2048,200,28030.36615406151,27814.232772578187,1.0077706037499048
