P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,89647.59132662279,32086.250269673834,2.7939566192112135
256,400,148838.4281988502,69344.18366491112,2.146372202145686
8192,800,197406.98114713657,68639.61815064191,2.8759918319168336
128,1000,229394.46422873938,125295.95783362567,1.830820947419078
2048,600,349184.93237046927,191374.78812730435,1.8246130317760985
256,900,237584.84317702215,79309.82918527524,2.9956544556665423
256,100,74968.33427685802,27744.76099020595,2.7020717281840074
4096,300,56334.77509066497,24265.13520631133,2.321634501999905
256,200,87197.63675029404,32996.77807816611,2.6426106374304617
2048,400,107669.774841984,49006.50439213838,2.1970507012790814
8192,1000,202747.4054736448,97895.23348711745,2.07106514026881
1024,500,240000.29562293683,103433.70181766388,2.320329751380423
256,600,271728.6100503715,107515.86756387605,2.527334952572794
8192,900,147837.5962002083,76055.59330000391,1.943809650094475
8192,700,213853.87026535126,80626.46962808013,2.652402756214337
256,1000,178222.11535562822,66688.81108753479,2.672444034452742
8192,900,594155.2621204901,294265.0674249581,2.0191158512962413
2048,700,124093.41354478963,53921.858220267735,2.301356400550498
1024,600,209205.5824382101,87981.12037524463,2.37784631004852
4096,1000,144030.37215242867,57823.110280004155,2.4908790180080627
2048,200,90058.6973868041,43211.18708703341,2.0841523563195152
512,800,168665.73509056788,76745.1936743743,2.1977367834421977
128,200,100029.8177863766,55080.46923257345,1.8160669140999446
2048,800,259666.21320029418,91530.45019922058,2.8369380095380037
512,100,116767.63569542376,81541.92332472774,1.431995112874824
1024,100,55709.42571203875,26126.125239736124,2.132326366839441
512,900,182826.2520594992,83768.9354752691,2.182506570272396
256,800,297202.10918433947,140690.70674223357,2.1124501828600395
1024,100,69025.09184690093,26128.92828146623,2.6417115582908086
1024,700,508186.2178568498,209079.4040392636,2.430589565682022
256,300,174765.21860194442,73378.01257741736,2.381710984847929
1024,600,169935.83000718534,121589.27436436518,1.3976218782089331
8192,200,144777.83753717944,66804.37457564907,2.1671909729988337
1024,300,146371.2247003271,60661.299768006524,2.4129259554297415
4096,900,255477.98733730536,83867.31024046338,3.0462165366315173
512,900,197974.1474700446,83934.36071927342,2.3586782072742327
4096,100,116767.63569542376,81541.92332472774,1.431995112874824
8192,700,61598.496442795,48366.36010081021,1.2735813965410048
1024,400,226707.47577542486,93715.09953214714,2.419113642382221
256,700,152291.17918233335,54206.33391376397,2.809472033740763
256,400,218195.02393267816,62094.6152682652,3.513912164364298
512,500,454520.56125123653,150411.49619722992,3.021847217417729
256,900,168101.63953375956,65851.69814960258,2.552730518078129
8192,500,295805.17609875934,145171.26830844925,2.037628929921961
8192,300,123718.14576489426,49207.11959862682,2.514232630847727
1024,800,224371.76091009472,113583.42103934956,1.9753918208922754
4096,800,259666.21320029418,91530.45019922058,2.8369380095380037
4096,800,226778.7310188946,80495.74766274964,2.8172759133690133
8192,500,273745.9054432906,126547.99516819877,2.163178524317565
4096,700,508186.2178568498,209079.4040392636,2.430589565682022
4096,800,152633.34557982726,76289.52886222344,2.0007116029708145
4096,100,70483.86093732691,27021.11397775278,2.6084735438871323
8192,600,133147.01653581712,71516.09563181561,1.8617769239150628
8192,800,371719.9066821873,111382.24810651336,3.3373352845842765
512,300,135321.77028911197,64288.232254330745,2.104922869146026
256,100,152631.91112856707,66621.99147149005,2.2910139393518993
128,600,137399.0230476091,74899.47399565695,1.8344457673437893
2048,900,505132.9959514856,246837.67939689083,2.046417699217149
8192,1000,123989.28949616107,55350.7803146872,2.240063984486607
4096,300,97969.41434518553,44478.45983108848,2.2026260512894207
256,500,274400.3320022671,126547.99516819877,2.1683498947379873
256,700,179310.69934555585,88059.66488743904,2.0362409915454154
128,500,141427.94489128923,56182.17500713485,2.5173098918532184
2048,700,163329.40514624972,82723.15596316708,1.974409743493986
128,800,295137.29857683874,133043.65281458962,2.2183493337193902
512,300,85968.10740150664,36792.68253707005,2.336554485117807
4096,200,191629.0630337551,87248.16939999937,2.1963677215416335
4096,500,748398.6832475242,374127.1854931126,2.000385730486569
8192,1000,362217.03771989164,150682.91879743664,2.4038360858062537
128,900,245983.47678814855,109443.21737422631,2.247589962080896
4096,300,69861.0177108623,36076.63280186646,1.9364617006953038
4096,400,235419.23229428436,80803.01007103526,2.9134958225853644
128,900,236271.3115432928,109318.34627419793,2.161314359354329
1024,400,118142.84485545996,55614.3310578869,2.124323759868467
8192,600,80117.5458648503,36813.11504024967,2.176331608375267
128,400,230570.19144295843,101350.91774796846,2.274968955054974
4096,700,201258.51168696128,83298.65199605712,2.416107666382017
8192,500,154184.77849623683,62291.80850112228,2.4752015105398484
256,900,185447.48859052238,72343.07089417889,2.563445072186512
8192,1000,503515.64911112684,193587.99783544827,2.6009652186140184
8192,600,89647.59132662279,32086.250269673834,2.7939566192112135
4096,900,152019.3122806755,74506.27131782444,2.0403559269823144
8192,700,558195.5373750816,257665.43434439163,2.166357853917674
128,300,113520.26891217186,39128.1871492468,2.901240184708048
4096,700,292304.3181069272,120542.04638444567,2.4249158436773075
256,100,42283.59540321871,16062.953290333515,2.632367450676984
2048,500,108745.33426209037,64798.784885890724,1.6782002078216216
512,600,136258.8464962416,54759.00301290296,2.488336876113955
512,500,96864.89364817183,40793.162330552455,2.374537498791161
512,400,157256.81859110895,74066.52558882261,2.123183413032143
8192,1000,561185.2181230317,296829.78369162104,1.8905960552329604
128,600,131303.9326661327,72849.63176490327,1.8023966557562054
2048,800,236899.1357359642,80691.6874824957,2.935855515320017
8192,200,76949.39698966159,41095.10804137316,1.8724709742140486
512,400,344311.8213368698,161388.29849094016,2.133437334406239
1024,300,132188.8207850067,42146.23556164081,3.1364324481998986
1024,800,352384.0894574288,164504.5334558055,2.142093485539701
1024,100,30329.164127816934,18958.590370662885,1.5997583963177573
2048,200,123104.18558518542,57462.271367614376,2.1423480599579414
256,100,125450.13981780861,54998.76131684471,2.2809630037865314
1024,700,292064.55415680795,99618.79371512462,2.931821830647858
4096,800,146619.1525081641,63505.82912459984,2.308751094651391
4096,800,415466.50432586164,202353.75339573988,2.053169251144755
8192,1000,247701.60333166836,97107.11998289233,2.5508078437019526
8192,700,346680.5572597101,143967.24459588702,2.4080516247486363
8192,1000,144030.37215242867,57823.110280004155,2.4908790180080627
4096,900,178295.00435467687,71933.22533163877,2.4786182398004675
512,700,366369.2421650088,177200.19832819805,2.0675441992815653
1024,200,104149.13017375703,54881.936751014604,1.8976941474615803
4096,700,229772.8946051296,168001.64809777957,1.3676823841120784
2048,700,407918.3892447274,177106.47023915342,2.3032382085979135
8192,300,92611.58178911991,42831.51684479748,2.162229792717905
