P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4591.115565624456,4118.24998149955,1.1148219720146093
256,400,28704.402183435457,23531.7252532983,1.2198171563902709
8192,800,15170.04289446483,14795.02099803586,1.0253478448241984
128,1000,143000.20280117352,119404.61005167401,1.1976103999610082
2048,600,92894.45327715005,91443.0979502153,1.0158716771354894
256,900,60220.49890521756,51518.201495127876,1.1689169489139226
256,100,5661.232001968543,4679.130547151785,1.2098897316328499
4096,300,1175.88742315521,942.5154884959478,1.2476054107414973
256,200,13487.73495619634,11080.525409985707,1.217246877484823
2048,400,16751.987926062964,16659.391108001237,1.0055582354397847
8192,1000,31849.45568463644,31785.267802615333,1.002019422407252
1024,500,16605.488843874755,10972.920970408175,1.5133152684373208
256,600,46793.570560014545,34696.429261633115,1.3486566645564966
8192,900,42073.466672041846,42072.74163946224,1.0000172328341665
8192,700,30464.605359727622,28301.923922736623,1.07641464385584
256,1000,68822.669004401,58863.7101663512,1.1691867333864172
8192,900,26454.81071313114,26446.50237773516,1.0003141563023084
2048,700,31799.645851274334,31784.101151865783,1.0004890715434827
1024,600,21301.773767866565,16874.141147700775,1.2623915837499728
4096,1000,25860.130244636326,25339.795717781904,1.0205342826220687
2048,200,5665.194550328479,5118.145442873633,1.10688424421712
512,800,24824.29971535553,21229.958775728857,1.1693051304336917
128,200,36978.35073015348,28092.671302858154,1.3162988429082318
2048,800,30189.405542847508,26497.37844693629,1.139335561187869
512,100,53422.60884123286,52844.49103612885,1.010939982461157
1024,100,6974.712119976105,6901.431727873591,1.0106181434508072
512,900,28272.19723357894,24134.145646769488,1.1714604547173335
256,800,72920.11063308304,46337.580997070676,1.5736710692276499
1024,100,18136.530662100544,16558.912626923186,1.0952730454421449
1024,700,31396.257028801174,15601.0663687365,2.012443014261973
256,300,21987.018769751376,17275.812740351696,1.2727053192927682
1024,600,74488.80801486358,70364.7320429823,1.0586099861698057
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,5026.436115139516,3799.3333703103463,1.3229784346954883
4096,900,16072.758203318575,12984.521812166118,1.2378398246640758
512,900,47109.77176380033,39234.60108057627,1.2007200396163271
4096,100,52866.31208985447,52844.49103612885,1.0004129295844804
8192,700,31861.911509872127,31347.334171878083,1.0164153460441838
1024,400,17989.558617767136,16121.07512688779,1.1159031563448871
256,700,44357.9756332896,38261.990551516115,1.159322214916284
256,400,27462.457434694457,22632.15194254064,1.2134266995209815
512,500,22947.21552495113,16731.4559896685,1.3715014126159013
256,900,60849.05287926553,47728.093563071816,1.2749106100132537
8192,500,17617.146510930837,14826.065726985928,1.1882549851957471
8192,300,4632.381890380113,4160.156593477788,1.1135114234984977
1024,800,41661.68091053573,40846.09768688062,1.0199672250188314
4096,800,29658.462545722872,26497.37844693629,1.1192979941437216
4096,800,35084.322959143334,29394.111289795015,1.1935833886334857
8192,500,9198.341910975245,9178.81822404002,1.0021270371041984
4096,700,25398.880405680873,15601.0663687365,1.6280220726820662
4096,800,12915.926579530396,12582.997544262242,1.0264586426324123
4096,100,2685.686144954427,2685.399498342895,1.0001067426324124
8192,600,43258.28897744654,43098.54140707002,1.0037065655857744
8192,800,39024.93016916831,34870.55437275946,1.119137073417284
512,300,40762.47166670661,37353.09082643066,1.0912743969734227
256,100,6532.986406067266,4829.618848163767,1.3526919227903715
128,600,85308.29332535685,70900.57950763027,1.2032100995193702
2048,900,36192.15502077257,35054.15888407378,1.0324639407398764
8192,1000,8626.735079575541,7701.877971338275,1.12008202566686
4096,300,7705.028991329832,7534.510577709549,1.0226316509694409
256,500,32826.90946061959,27381.290499521965,1.198881019183252
256,700,83860.29413260995,52807.571677195476,1.5880354174442062
128,500,64490.590741313565,53535.80791606614,1.2046253386597325
2048,700,73710.3977450059,69459.09380371566,1.061205865329945
128,800,111273.23927935994,89245.39881899078,1.2468232620602262
512,300,10510.840362727231,8874.280036111113,1.1844161238947437
4096,200,5915.303442514056,5846.530584549667,1.0117630203023535
4096,500,31303.466310916774,31281.94741052828,1.0006879015588797
8192,1000,18420.480156486163,11706.78763223605,1.5734871713024974
128,900,129177.93862784171,103084.41806074536,1.2531276894992995
4096,300,11284.687255214654,11243.031887069747,1.003704994218936
4096,400,16083.79057137357,16058.873985478984,1.001551577396841
128,900,123862.67563058762,103160.92321660006,1.2006743616526336
1024,400,19518.106129237913,19518.106129237913,1.0
8192,600,6190.365599871694,6143.604662733954,1.0076113193645717
128,400,55903.49431308558,46532.572763232245,1.201384127147549
4096,700,8912.252981389334,7645.6808588148915,1.1656585130824786
8192,500,12411.155402262848,12395.199388157413,1.0012872736940948
256,900,61114.29420241953,51088.94408718973,1.1962332613122768
8192,1000,21190.926534383023,16650.77136654941,1.2726693597483758
8192,600,4241.284948814533,4118.24998149955,1.0298755461343274
4096,900,22835.60274010664,21576.530603346437,1.058353780777199
8192,700,12303.529098815054,12303.529098815054,1.0
128,300,46367.54970089756,32755.432020731212,1.4155682535816079
4096,700,37288.580864737014,37261.21500737222,1.0007344327703587
256,100,7344.946673649316,5731.651529726247,1.28147125406281
2048,500,31056.51492901612,28634.316507153108,1.0845907539388246
512,600,30866.22941033927,17725.14487690757,1.7413809379099625
512,500,25040.064638870488,24995.547779787677,1.0017809915379734
512,400,14446.220347423534,10699.281702643733,1.350204691204079
8192,1000,37945.93275199021,37945.93275199021,1.0
128,600,84333.90315773437,69365.62215019029,1.2157881749425499
2048,800,13943.481850984554,9344.456009563955,1.4921662466722025
8192,200,2246.914344120791,2246.1903057130307,1.000322340634237
512,400,15694.757343904514,9893.49469570031,1.586371431595897
1024,300,5239.894032708791,3874.652043565825,1.3523521528623614
1024,800,57409.17086405361,54042.00044115176,1.0623065466750898
1024,100,8860.35910980584,8256.468069310878,1.073141570393715
2048,200,7798.709625987674,7479.733511501313,1.042645384891839
256,100,7440.835060561821,5741.098881538105,1.2960646061139323
1024,700,12784.421797887511,9298.972325300192,1.3748209318898905
4096,800,10859.169288551157,8113.94962465907,1.3383333383718703
4096,800,17541.9189445836,17329.60230789093,1.0122516739230645
8192,1000,25405.097236080936,24653.74296094643,1.0304762760090713
8192,700,17717.768090425776,16443.27112892882,1.077508723872753
8192,1000,25359.647579012322,25339.795717781904,1.0007834262537676
4096,900,15381.984333656841,15123.145179145105,1.017115431442705
512,700,32410.474571198632,23042.05276203695,1.4065793054947202
1024,200,9552.752790371349,7925.6844354705545,1.2052905800310474
4096,700,120854.04897780184,119281.29786603454,1.013185228027395
2048,700,8866.676729230556,8384.147776288468,1.0575525343561747
8192,300,1152.7932031244393,1134.6245423979938,1.0160129276668444
8192,500,29540.462615440894,28805.068012604806,1.025530042231259
8192,700,40734.36308186393,38693.833645176644,1.0527352615251047
256,1000,78884.11728633851,55694.48421872097,1.416372166704125
2048,100,6556.462413957754,6527.528362389177,1.004432619815992
4096,700,53100.55533266096,51410.44753159222,1.0328747926193436
