eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.14,0.4,3.491306833556168,3.491306833556168,0.14,0.4
2,0.54,0.35,3.4192668787128406,3.4192668787128406,0.54,0.35
3,0.4,0.55,4.0521170734038785,3.4192668787128406,0.54,0.35
4,0.38,0.3,3.2099096505670612,3.2099096505670612,0.38,0.3
5,0.72,0.75,5.289491950850089,3.2099096505670612,0.38,0.3
6,0.86,0.25,3.57625991067097,3.2099096505670612,0.38,0.3
7,0.22,0.9,7.944171613476448,3.2099096505670612,0.38,0.3
8,0.8,0.7,4.949149899114055,3.2099096505670612,0.38,0.3
9,0.8,0.85,5.897964125703659,3.2099096505670612,0.38,0.3
10,0.22,0.85,5.897964125703659,3.2099096505670612,0.38,0.3
11,0.82,0.0,22.24806959836125,3.2099096505670612,0.38,0.3
12,0.14,0.25,3.1082749729096903,3.1082749729096903,0.14,0.25
13,0.2,0.1,2.8916727174066534,2.8916727174066534,0.2,0.1
14,0.84,0.4,3.487625626605163,2.8916727174066534,0.2,0.1
15,0.36,0.85,5.897964125703659,2.8916727174066534,0.2,0.1
16,0.56,0.75,5.289491950850089,2.8916727174066534,0.2,0.1
17,0.44,0.05,3.794242744641538,2.8916727174066534,0.2,0.1
18,0.54,0.15,3.126877741122864,2.8916727174066534,0.2,0.1
19,0.28,0.15,2.792669150483366,2.792669150483366,0.28,0.15
20,0.14,0.85,5.897964125703659,2.792669150483366,0.28,0.15
21,0.28,0.2,2.9738655732329864,2.792669150483366,0.28,0.15
22,0.28,0.45,3.7279561536780843,2.792669150483366,0.28,0.15
23,0.34,0.5,3.7888563675674294,2.792669150483366,0.28,0.15
24,0.38,0.6,4.30621244485535,2.792669150483366,0.28,0.15
25,0.28,0.65,4.461519853508124,2.792669150483366,0.28,0.15
26,0.9,1.0,48.62742266889515,2.792669150483366,0.28,0.15
27,0.1,0.15,3.383869636237649,2.792669150483366,0.28,0.15
28,0.1,0.1,3.3663934567797917,2.792669150483366,0.28,0.15
29,0.1,0.2,3.404116654444134,2.792669150483366,0.28,0.15
30,0.9,0.1,4.898339079608741,2.792669150483366,0.28,0.15
