eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.68,1.0,19.023082823371293,19.023082823371293,0.68,1.0
2,0.42,0.9,5.915781876238473,5.915781876238473,0.42,0.9
3,0.4,0.95,7.398604392517096,5.915781876238473,0.42,0.9
4,0.82,0.8,4.350155337105952,4.350155337105952,0.82,0.8
5,0.28,0.1,2.6747531125679234,2.6747531125679234,0.28,0.1
6,0.9,0.2,3.363486969619122,2.6747531125679234,0.28,0.1
7,0.32,0.7,3.806522674216164,2.6747531125679234,0.28,0.1
8,0.78,0.95,7.398604392517096,2.6747531125679234,0.28,0.1
9,0.26,0.25,2.461063310324238,2.461063310324238,0.26,0.25
10,0.44,0.8,4.350155337105952,2.461063310324238,0.26,0.25
11,0.74,0.05,3.494967276597889,2.461063310324238,0.26,0.25
12,0.66,0.25,2.5968288248992804,2.461063310324238,0.26,0.25
13,0.42,0.65,3.481282164078362,2.461063310324238,0.26,0.25
14,0.38,0.45,2.8707478100446164,2.461063310324238,0.26,0.25
15,0.88,0.1,3.4608852704576374,2.461063310324238,0.26,0.25
16,0.62,0.4,2.7950573536704932,2.461063310324238,0.26,0.25
17,0.48,0.4,2.7950573536704932,2.461063310324238,0.26,0.25
18,0.7,0.05,3.3639691131078955,2.461063310324238,0.26,0.25
19,0.12,0.6,3.3149749071001895,2.461063310324238,0.26,0.25
20,0.34,0.4,2.7950573536704932,2.461063310324238,0.26,0.25
21,0.1,0.3,2.529565040624419,2.461063310324238,0.26,0.25
22,0.9,0.5,2.9987629698970677,2.461063310324238,0.26,0.25
23,0.1,0.0,2.7689777291865245,2.461063310324238,0.26,0.25
24,0.1,0.35,2.632835870482175,2.461063310324238,0.26,0.25
25,0.1,0.15,2.5752250056637798,2.461063310324238,0.26,0.25
26,0.9,0.55,3.164692870312215,2.461063310324238,0.26,0.25
27,0.1,0.25,2.461063310324238,2.461063310324238,0.26,0.25
28,0.9,0.3,3.1261831932774116,2.461063310324238,0.26,0.25
29,0.1,0.1,2.3968681730849726,2.3968681730849726,0.1,0.1
30,0.1,0.05,2.6947232976178106,2.3968681730849726,0.1,0.1
31,0.12,0.1,2.482855123856028,2.3968681730849726,0.1,0.1
32,0.12,0.25,2.461063310324238,2.3968681730849726,0.1,0.1
33,0.14,0.25,2.461063310324238,2.3968681730849726,0.1,0.1
34,0.16,0.25,2.461063310324238,2.3968681730849726,0.1,0.1
35,0.9,0.75,4.0513432533955775,2.3968681730849726,0.1,0.1
36,0.18,0.25,2.461063310324238,2.3968681730849726,0.1,0.1
37,0.2,0.25,2.571959031597611,2.3968681730849726,0.1,0.1
38,0.14,0.1,2.4475769544370283,2.3968681730849726,0.1,0.1
39,0.1,0.85,4.661642797959597,2.3968681730849726,0.1,0.1
