eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.42,0.75,2.272420125909507,2.272420125909507,0.42,0.75
2,0.26,0.45,3.3070038305692697,2.272420125909507,0.42,0.75
3,0.86,1.0,165.01219809326884,2.272420125909507,0.42,0.75
4,0.74,0.35,2.408908912675234,2.272420125909507,0.42,0.75
5,0.48,0.35,2.177021243972116,2.177021243972116,0.48,0.35
6,0.34,0.7,2.6022790952499606,2.177021243972116,0.48,0.35
7,0.62,0.9,2.5283054703852375,2.177021243972116,0.48,0.35
8,0.2,0.85,4.292555767011104,2.177021243972116,0.48,0.35
9,0.32,0.9,2.7615380682157844,2.177021243972116,0.48,0.35
10,0.12,0.85,6.938941704471338,2.177021243972116,0.48,0.35
11,0.56,0.8,2.534072296759815,2.177021243972116,0.48,0.35
12,0.82,0.05,2.365736413207405,2.177021243972116,0.48,0.35
13,0.78,0.95,2.406051984174214,2.177021243972116,0.48,0.35
14,0.46,0.6,2.1798883969287877,2.177021243972116,0.48,0.35
15,0.9,0.0,2.3678768784749047,2.177021243972116,0.48,0.35
16,0.9,0.55,2.390364892518883,2.177021243972116,0.48,0.35
17,0.52,1.0,165.01219809326884,2.177021243972116,0.48,0.35
18,0.88,0.7,2.384724152282756,2.177021243972116,0.48,0.35
19,0.66,0.9,2.411925743154009,2.177021243972116,0.48,0.35
20,0.42,0.5,2.2605714622205055,2.177021243972116,0.48,0.35
21,0.48,0.3,2.143783113553623,2.143783113553623,0.48,0.3
22,0.48,0.25,2.137271012988464,2.137271012988464,0.48,0.25
23,0.48,0.2,2.137271012988464,2.137271012988464,0.48,0.25
24,0.5,0.25,2.137262819792521,2.137262819792521,0.5,0.25
25,0.5,0.15,2.14383481372246,2.137262819792521,0.5,0.25
26,0.54,0.25,2.558116567615339,2.137262819792521,0.5,0.25
27,0.5,0.1,2.147935545131564,2.137262819792521,0.5,0.25
28,0.44,0.25,2.2864100600043367,2.137262819792521,0.5,0.25
29,0.9,0.65,2.379260013501594,2.137262819792521,0.5,0.25
30,0.58,0.25,2.5624429548772496,2.137262819792521,0.5,0.25
31,0.5,0.4,2.1431875096499327,2.137262819792521,0.5,0.25
32,0.9,0.2,2.38187306234506,2.137262819792521,0.5,0.25
33,0.6,0.25,2.328632964824433,2.137262819792521,0.5,0.25
34,0.1,0.4,8.52677326694748,2.137262819792521,0.5,0.25
