P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,44430.232652241764,25339.817846041748,1.7533761656136795
256,400,79392.05457922725,48679.56019676214,1.6309115008090789
8192,800,100982.40113159371,62137.90128877687,1.6251337595438358
128,1000,214310.3312066779,125295.95783362567,1.7104329214774032
2048,600,149652.59720614165,95460.11175339336,1.5676976954808761
256,900,136833.43739485365,77030.62312975689,1.7763511683445667
256,100,37290.980576645496,26193.65899088914,1.4236644292275586
4096,300,29533.737114626245,20887.76340872541,1.4139252985932027
256,200,49193.27553834107,25775.82693292296,1.908504261235067
2048,400,47574.54416386147,34397.99854935305,1.3830614038663667
8192,1000,99572.22842663039,71441.52524391812,1.3937584351211352
1024,500,112384.66698880242,69330.81468246617,1.6209915822210093
256,600,138662.58645404354,65997.13135384436,2.101039599897191
8192,900,72486.36575315753,50985.945546331204,1.4216930759338136
8192,700,102904.78225801927,54661.38833726035,1.8825863262582638
256,1000,151793.5620549506,62174.13220982782,2.4414263080129763
8192,900,280466.61127584707,200725.03795784948,1.3972676957955918
2048,700,65650.10510047017,45736.33575987692,1.4354036896428197
1024,600,109007.37844079854,69645.19944005155,1.5651815102436275
4096,1000,73857.66565301297,51207.743830232605,1.4423143870167552
2048,200,45888.096166712945,33208.183834406,1.3818309485256965
512,800,95751.1558933176,58281.74602729851,1.6429012927730209
128,200,74206.83246401095,36920.89002320384,2.009887421927636
2048,800,118420.48978612082,69914.3129245496,1.693794658526049
512,100,48120.68922296074,34744.80913128068,1.3849749193078107
1024,100,24645.86818233176,17424.209760559108,1.414461173333632
512,900,110511.44178932227,65527.226447374065,1.6864965569399726
256,800,146191.48790218553,88988.07431158595,1.642821119943618
1024,100,29020.044739431065,17010.884101954263,1.705969223321976
1024,700,210222.59211840536,122698.14519501191,1.71333145895796
256,300,95017.32332161843,58817.967607809784,1.6154472380817548
1024,600,81229.6137606298,56839.82740281852,1.429096770209437
8192,200,70604.62965190163,48832.439654252754,1.4458550535627963
1024,300,72570.89601291927,51334.02512144949,1.413699701927253
4096,900,121904.57888488172,68798.33552250691,1.7719117469782601
512,900,108420.01172526008,70503.79592528375,1.5377897076656406
4096,100,47798.311693281175,34460.69141352587,1.3870386731277327
8192,700,35170.07689717649,24919.342184621364,1.4113565533395673
1024,400,112999.49311033024,71121.47502380062,1.5888238126742342
256,700,114962.665334966,46686.09352875527,2.4624605882725503
256,400,111624.69559628716,59315.77823058138,1.881871888494197
512,500,200953.2547556795,104189.08387589059,1.92873617158448
256,900,117578.00285166962,57244.69321120439,2.053954633276929
8192,500,135713.95220390463,87191.89492611904,1.5564973363510466
8192,300,62220.245061096255,37997.38137569971,1.6374877112160071
1024,800,107992.94116456783,76586.05734526525,1.4100861815841241
4096,800,117885.3224393442,69744.6297416748,1.6902422864093822
4096,800,109542.5651509159,49156.66889863417,2.2284375163175385
8192,500,130196.67604078093,93303.02350633578,1.3954175454125544
4096,700,204906.97261553188,121247.84298185878,1.6899844778780129
4096,800,60543.00416411251,43369.83132383738,1.3959704780045163
4096,100,34359.507247581016,25235.008428580157,1.3615809697399117
8192,600,66202.42429756404,37566.49697046091,1.762273026138689
8192,800,176273.62782978767,84971.24391877686,2.0745092068828113
512,300,67361.80901782592,47234.241688785194,1.4261223766786881
256,100,83621.50393312013,56270.53628076332,1.4860619688408234
128,600,140753.2025438327,74899.47399565695,1.8792281845930492
2048,900,221731.4272342035,156586.64072292217,1.4160302961384432
8192,1000,64333.036874112244,45312.78094590863,1.4197547696511659
4096,300,57164.655428071695,41796.45799396132,1.3676913827561836
256,500,134622.63781344352,95166.34282014595,1.414603459837326
256,700,98646.25523326352,47967.297444383694,2.0565314388962648
128,500,115920.2716416072,56182.17500713485,2.0632927014108287
2048,700,69651.91663789496,48971.50074361899,1.4222949180696822
128,800,176720.66407756292,93497.3020055607,1.8901151186913665
512,300,47304.120723489235,28600.5958497807,1.6539557767238597
4096,200,81483.61404935284,50831.013653404065,1.6030294930759466
4096,500,333472.4544069894,237564.50729901434,1.4037132827559085
8192,1000,167837.8921083746,112393.23827909636,1.4933095146844808
128,900,205957.2580529847,109443.21737422631,1.8818640660822465
4096,300,38771.171355746104,27866.80417099782,1.39130311168214
4096,400,108247.67940708071,56915.493482307924,1.9019017983342146
128,900,199035.8186058712,109318.34627419793,1.8206991359587463
1024,400,65251.3763378444,44207.66491546582,1.476019519751122
8192,600,45660.20855532884,32734.27780938007,1.3948744744337944
128,400,131077.54174676497,81480.70461614145,1.6086942591411797
4096,700,96595.01892396377,53915.74341202593,1.7915920807357024
8192,500,81132.98493296141,54509.002824173345,1.4884327492591922
256,900,127478.97352402066,64837.41435415292,1.966132900175645
8192,1000,211499.83502937038,124535.58998606945,1.6983083715508855
8192,600,44546.10569565637,25325.579367516788,1.7589372803369032
4096,900,65677.07647632531,44998.63267930536,1.4595349361921803
8192,700,259937.57726767467,185768.68163866145,1.3992540345055529
128,300,78543.3670467634,38152.527144095155,2.0586674835488457
4096,700,144517.83318784798,86344.15596057125,1.6737419177951258
256,100,22044.00243224327,14891.07425106187,1.4803500446363922
2048,500,53202.97839204868,38078.8838745444,1.3971779889172298
512,600,84508.09995982217,50523.437090590436,1.6726514430975064
512,500,54199.375986557076,33156.78306802833,1.6346391589122293
512,400,81434.88192243449,57470.31142497088,1.416990440860061
8192,1000,213464.50854185363,150569.03775101455,1.417718488012422
128,600,132197.21391413367,72849.63176490327,1.8146586428982094
2048,800,116413.55861348235,41519.7534269463,2.8038114151691955
8192,200,37407.37582397648,26972.824218293383,1.38685424712056
512,400,166031.35419324783,109009.50865491609,1.5230905656023261
1024,300,62513.912003047364,35788.66352580134,1.7467517879783028
1024,800,164396.45327056342,105506.57662913551,1.558163088244544
1024,100,14437.868845581215,10211.848879179503,1.4138349496160252
2048,200,55882.56640055836,40359.96560634527,1.3846039153158414
256,100,63390.24857106655,37681.884279448226,1.682247312819219
1024,700,139430.4752480529,66874.51640802078,2.084956762862362
4096,800,77247.465126941,46857.31231092819,1.648567989012147
4096,800,179009.14284386658,127268.05412448723,1.4065520532652194
8192,1000,121998.38254974513,61631.005637657836,1.9794968666745487
8192,700,166933.9472931634,116555.24523591898,1.4322302437378351
8192,1000,73576.39867916271,51177.51428416821,1.4376704243707985
4096,900,87363.18379141897,60367.665223331875,1.447185069494015
512,700,172931.761597195,123260.96281991307,1.4029726658054102
1024,200,44291.86147640859,30960.64519433914,1.430585867910367
4096,700,104423.77383943167,65060.34510421777,1.6050295102517373
2048,700,168555.29262065663,89844.51474818445,1.87607772264208
8192,300,38135.02463256239,27325.43722463806,1.3955869880163467
8192,500,129187.15360204614,68815.17228508745,1.8773062583764186
8192,700,87452.25977750673,46993.19158217273,1.8609559562386158
256,1000,181130.9822426455,111749.61276708746,1.6208645180736794
2048,100,67624.26516085297,47958.62701914873,1.410054235577933
4096,700,137154.09498339242,86817.79328982205,1.5797924571237805
1024,800,97914.69227893378,53472.408401124616,1.8311255319645277
1024,400,372874.2063851757,257567.86842644215,1.4476736118646083
256,100,23640.26847626562,13011.59979464646,1.8168610201177768
128,900,185896.65618063076,102373.53702350879,1.8158663028116528
512,900,183079.82092255546,114159.9168451615,1.6037136849956897
4096,1000,152862.22148565718,109849.57632880178,1.3915594997663892
8192,300,68226.5313269697,34770.69707161906,1.9621847438502562
512,500,207715.06458877661,134723.51647863665,1.541787729551391
128,800,157263.0312702141,84426.00544789649,1.8627321100400631
128,100,42439.63194369361,26068.19735827815,1.6280232714371632
2048,200,47734.22197125926,20752.375075557742,2.3001811502279987
4096,500,49771.624641948685,35418.499695506645,1.4052437305316732
128,400,107404.00702832748,51327.80354104017,2.092511263265931
1024,700,250837.2037084026,145939.20363147225,1.7187787617494492
128,300,88287.17249755686,46426.00783958498,1.9016748716067529
4096,500,186807.08114221253,110169.6014202929,1.695631814347322
256,500,86262.17384043222,40888.66155932382,2.109684458985719
512,500,164619.36405359153,114576.28797187006,1.4367664284429227
128,800,211934.28742632727,103240.3095790912,2.052824989486949
128,400,298870.12406133796,142772.5734921948,2.093330089603497
2048,600,105787.27519660142,51881.5556249558,2.0390150974138517
4096,100,43485.24604583025,31218.56877485844,1.3929288802262665
256,900,487472.58286808134,303266.1858379448,1.6074082955248108
2048,500,46427.30206493496,24114.557614326197,1.9252811022895564
1024,500,103995.5227177026,69563.61906013438,1.4949699875132072
128,200,50906.75864458816,25374.187301930957,2.0062419355087755
8192,200,139540.72126516525,99756.89480744647,1.398807787015731
2048,800,96941.91425331018,53333.70966416959,1.817648066555499
512,800,61000.26501054265,36819.879889469856,1.656720912552139
512,800,214349.56191948126,117323.0806231038,1.8270025026709924
1024,600,135525.78638767093,74481.33456651334,1.819593958358032
128,200,85906.52000187713,60040.30731987671,1.4308141286518241
2048,600,70276.67901518242,50265.19690701414,1.398118048660739
8192,500,59278.991729790985,34006.78819154014,1.7431517318221132
512,300,49884.45156235833,24111.71881778852,2.0688882422416053
512,600,170551.7306922893,94447.6501421378,1.8057805613545665
4096,300,158594.83692567068,112569.83265804852,1.408857357081018
2048,200,18591.055939245165,12653.47289062971,1.4692453289256597
512,800,96320.72850228933,66646.61187663602,1.445245689016879
128,500,412542.79336356616,253115.47456998134,1.62986002362928
4096,600,113857.50697134784,71456.619906994,1.593379411446297
8192,400,108219.46947451582,56844.504840111076,1.9037806693700519
256,100,81978.42870879392,47410.329663996534,1.7291258949217652
2048,1000,83570.00015858634,41036.23401408571,2.0364929230567523
2048,500,191437.283822433,102237.81420332319,1.8724704290108976
2048,1000,285770.5442242898,186143.3911687721,1.5352172453180892
1024,600,46450.96175877284,25425.24871719152,1.826961941472163
1024,800,229698.15004494085,163828.9339260643,1.4020609457704414
128,200,113984.54089734612,50493.626094343745,2.257404542196556
512,100,22365.062305420866,16101.63022849706,1.3889936601474446
4096,900,134887.0251727218,97276.29608484646,1.386638169848392
8192,900,262980.96363891114,174543.99859779057,1.506674338571272
8192,300,49015.440392443634,29182.503094384378,1.6796174143771694
4096,1000,180543.24176212997,111109.49416957432,1.624912822360495
128,200,63708.27118183216,31673.672766490905,2.011395130950276
4096,200,48254.46230283183,34702.92658399461,1.3905012358550575
